순번_정류장ID,12-2806325,13-2804109,14-2804107,15-2804105,16-2804103,17-2804731,18-2804033,19-2800268,20-2804528,21-2804527
12-2806325,0,1.032229,1.691402,1.977475,2.209592,2.362861,2.7306790000000003,3.318076,3.7895019999999997,3.713487
13-2804109,,0,0.659173,0.9452459999999999,1.177363,1.330632,1.69845,2.285847,2.757273,2.6802580000000003
14-2804107,,,0,0.286073,0.5181899999999999,0.671459,1.039277,1.626674,2.0981,2.021085
15-2804105,,,,0,0.23211700000000002,0.385386,0.753204,1.340601,1.812027,1.7360119999999999
16-2804103,,,,,0,0.15326900000000002,0.521087,1.108484,1.57991,1.503895
17-2804731,,,,,,0,0.367818,0.9552149999999999,1.426641,1.349626
18-2804033,,,,,,,0,0.5873970000000001,1.0588229999999998,0.982808
19-2800268,,,,,,,,0,0.472426,0.726869
20-2804528,,,,,,,,,0,0.258443
21-2804527,,,,,,,,,,0
