순번_정류장ID,1-2806577,2-2804581,3-2804582,4-2800267,5-2804730,6-2804102,7-2804104,8-2804106,9-2804108,10-2804110,11-2806326
1-2806577,0,0.481004,0.7779590000000001,0.897957,1.0734,1.213596,1.437324,1.7410970000000001,2.405942,2.630953,3.4157879999999996
2-2804581,,0,0.297955,0.66304,1.3554030000000001,1.4956,1.718327,2.0221009999999997,2.687945,2.911957,3.6977919999999997
3-2804582,,,0,0.365085,1.418352,1.558549,1.7822759999999997,2.08605,2.7508939999999997,2.975906,3.7607410000000003
4-2800267,,,,0,1.053268,1.193465,1.417192,1.720965,2.3858099999999998,2.610821,3.395656
5-2804730,,,,,0,0.14019700000000002,0.36392399999999997,0.6676979999999999,1.3325420000000001,1.557554,2.342389
6-2804102,,,,,,0,0.223727,0.527501,1.192345,1.417357,2.2021919999999997
7-2804104,,,,,,,0,0.303774,0.968618,1.19363,1.9834650000000003
8-2804106,,,,,,,,0,0.664845,0.889856,1.679691
9-2804108,,,,,,,,,0,0.225012,1.014846
10-2804110,,,,,,,,,,0,0.7898350000000001
11-2806326,,,,,,,,,,,0
