순번_정류장ID,49-2800225,50-2800222,51-2800221,52-2800216,53-2800211,54-2800206,55-2800200,56-2800195,57-2800198,58-2800203,59-2800208,60-2801378,61-2801385,62-2801389,63-2801160,64-2801330,65-2801287,66-2801270,67-2801057,68-2801043,69-2801024,70-2801015,71-2801008,72-2800986,73-2800980,74-2800988,75-2800971,76-2800941,77-2800927,78-2800925,79-2800923,80-2800874,81-2805941,82-2800821,83-2800876,84-2800846,85-2805865,86-2805871,87-2805869,88-2805866,89-2800867,90-2800824,91-2806788,92-2800889,93-2805296,94-2805295,95-2800899,96-2805370
49-2800225,0,0.262436,0.447115,0.715603,0.862725,1.261738,1.5046979999999999,1.603497,1.629277,1.931934,2.615929,3.169273,3.4205589999999995,3.6318660000000005,3.893901,4.333178,4.761783,4.958904,5.955132,6.358746,6.519171,6.552199,6.465994,6.731856,7.012861999999999,7.101315,7.27508,7.881999,8.124687,8.375604,8.970858,9.22919,9.283183,9.571039,9.926803,10.146485,10.36825,10.613727,10.810118,11.598089,11.823422,11.961064,11.504072,11.19256,11.779624,12.573348,12.916995,13.299428
50-2800222,,0,0.184679,0.453167,0.600288,0.999302,1.242262,1.584557,1.799723,2.103381,2.787375,3.339719,3.5910050000000004,3.8033120000000005,4.064347,4.503623999999999,4.932229,5.13035,6.126579,6.531192,6.689617,6.722645,6.6364399999999995,6.902303,7.183308,7.272761,7.445525999999999,8.053445,8.295134,8.54605,9.141304,9.399636,9.45363,9.741485,10.097249,10.316931,10.538696,10.784173,10.980564999999999,11.768536,11.992869,12.13151,11.674519,11.363007000000001,11.949069999999999,12.742794,13.087442,13.469873999999999
51-2800221,,,0,0.268488,0.415609,0.814623,1.057583,1.399879,1.935662,2.2383189999999997,2.9233130000000003,3.476658,3.7279440000000004,3.93725,4.199286,4.639563,5.068168,5.267288,6.2615169999999996,6.665131,6.825556,6.858584,6.772378999999999,7.038241,7.319247,7.4067,7.5814639999999995,8.187384,8.431072,8.681989,9.277242999999999,9.535575,9.589568,9.877423,10.233187,10.452869,10.674635,10.920112,11.116503,11.904474,12.129807000000001,12.267449000000001,11.810457000000001,11.497945,12.085009,12.878733,13.223379999999999,13.604813
52-2800216,,,,0,0.32762199999999997,0.726635,0.9695959999999999,1.311891,1.8476740000000003,2.151332,2.835326,3.3866699999999996,3.638957,3.8502629999999995,4.112298,4.551576,4.97818,5.177301,6.17353,6.578142999999999,6.737568,6.770596,6.684392,6.950253999999999,7.231260000000001,7.319711999999999,7.494477000000001,8.099397,8.343085,8.594000999999999,9.189256,9.447587,9.501581,9.789436,10.1452,10.364882000000001,10.586648,10.832124,11.028516,11.816487,12.04182,12.179462,11.72247,11.410958,11.997022,12.791745,13.135392999999999,13.517825
53-2800211,,,,,0,0.399014,0.6419739999999999,0.9842690000000001,1.520053,1.8227099999999998,2.506704,3.0590490000000004,3.312335,3.5216410000000002,3.7836760000000003,4.223954,4.652558,4.850679,5.847908,6.250521,6.409946,6.4429739999999995,6.35677,6.622632,6.903638000000001,6.993091000000001,7.1658550000000005,7.773775,8.015463,8.266378999999999,8.861634,9.119966,9.173959,9.461814,9.817578,10.03726,10.259025999999999,10.504503,10.700894,11.488864999999999,11.714198,11.85084,11.394848,11.082336,11.6704,12.463123,12.807771,13.189204
54-2800206,,,,,,0,0.243961,0.586256,1.122039,1.425697,2.109691,2.663035,2.9143220000000003,3.124628,3.3866629999999995,3.8259410000000003,4.254544999999999,4.452666000000001,5.449895,5.852508,6.011933,6.044961,5.958757,6.224619000000001,6.505625,6.595077000000001,6.769842,7.376761999999999,7.61745,7.868366,8.463621,8.721953,8.775946000000001,9.063801,9.419564999999999,9.639247,9.861013,10.106489,10.302881,11.090852,11.315185000000001,11.452827000000001,10.995835000000001,10.685323,11.271386999999999,12.06511,12.408758,12.79119
55-2800200,,,,,,,0,0.342296,0.878079,1.1817360000000001,1.8647310000000001,2.418075,2.670361,2.879668,3.142703,3.5809800000000003,4.008585,4.208705999999999,5.2039349999999995,5.608548000000001,5.7679730000000005,5.801001,5.714796,5.980658,6.261664,6.3511169999999995,6.522882,7.129801,7.373489,7.624406,8.219660000000001,8.477992,8.531986,8.819841,9.175605000000001,9.395287,9.617052000000001,9.862528999999999,10.05892,10.846891000000001,11.072225,11.208866,10.752874,10.440363,11.026425999999999,11.82115,12.164797,12.54723
56-2800195,,,,,,,,0,0.536784,0.839441,1.523435,2.07578,2.327066,2.5383720000000003,2.800407,3.2396849999999997,3.668289,3.8664099999999997,4.862639,5.266252,5.426677,5.459706,5.373501,5.6393629999999995,5.920369,6.007822,6.181586,6.788506,7.0321940000000005,7.283110000000001,7.878365,8.136697,8.19069,8.478545,8.834309,9.053991,9.275757,9.521234,9.717625,10.505596,10.730929,10.867571,10.410578999999998,10.101067,10.686131,11.479854,11.823502000000001,12.205935
57-2800198,,,,,,,,,0,0.303658,0.9876520000000001,1.539996,1.792283,2.002589,2.264624,2.7039020000000002,3.1325060000000002,3.329627,4.325856,4.730469,5.115894,5.324515,5.399280999999999,5.665143,5.771852,5.4720379999999995,5.645803,6.253723,6.637411,6.887327,7.483582000000001,7.741913,7.951907,8.239761999999999,8.595526,8.815208,9.036973,9.28245,9.477841999999999,10.265813,10.491146,10.473788,10.015796,9.705283999999999,10.292347999999999,11.085071000000001,11.429719,11.810151
58-2800203,,,,,,,,,,0,0.695995,1.2483389999999999,1.499625,1.710932,1.9719669999999998,2.412244,2.840849,3.03897,4.0351989999999995,4.438812,4.824237,5.032858,5.27006,5.535923,5.480194,5.180381,5.354146,5.962065,6.345754,6.59667,7.190924000000001,7.4502559999999995,7.66025,7.948105,8.304869,8.522551,8.745316,8.989792999999999,9.187184,9.975155,10.200489,10.18113,9.724138,9.414627000000001,9.99869,10.794414,11.137062,11.518494
