순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2803689,18-2803690,19-2803691,20-2803740,21-2803692,22-2803694,23-2803696,24-2803698,25-2804776,26-2804795,27-2804746,28-2804640,29-2804188,30-2806152,31-2804190,32-2804192,33-2804642,34-2804194,35-2804196,36-2804198,37-2804200
1-2800270,0,0.789926,1.059143,1.370099,1.506329,1.754101,2.04288,2.685899,3.012839,3.146703,3.581944,3.987714,4.7247580000000005,5.19413,5.837279,6.187937000000001,6.727971000000001,6.958996000000001,8.018856,8.820686,9.049515,9.338444,9.751158,10.125110000000001,10.432962,10.626247,12.244104,12.816455,13.165114,13.443298,13.618448,14.121491,14.281537,14.717320999999998,15.106651999999999,15.338942999999999,15.778483
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.935833,4.4052050000000005,5.048354,5.399012,5.939045,6.17007,7.229931,8.031761,8.260589,8.549517999999999,8.962233,9.336185,9.644036,9.837321000000001,11.455179,12.02753,12.376189,12.654373,12.829523,13.332566,13.492612,13.928396,14.317727,14.550017,14.989557999999999
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.667616,4.136988,4.780137,5.130795,5.670829,5.901854,6.961714,7.7635440000000004,7.9923720000000005,8.281302,8.694016,9.067967999999999,9.37582,9.569105,11.186962,11.759313,12.107972,12.386156,12.561306,13.064349,13.224395000000001,13.660179000000001,14.04951,14.281801000000002,14.721341
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.358659,3.8280309999999997,4.47118,4.821838,5.361872,5.592897,6.652757000000001,7.454586999999999,7.683416,7.972345,8.385059,8.759011,9.066863,9.260148,10.878005,11.450356,11.799016,12.077199,12.252349,12.755392,12.915438,13.351222,13.740553,13.972844,14.412385
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,3.222429,3.6918010000000003,4.33495,4.685608,5.225642,5.4566669999999995,6.516527,7.318357000000001,7.547186,7.8361149999999995,8.248828999999999,8.622781,8.930633,9.123918,10.741775,11.314126,11.662786,11.940969,12.116119,12.619162,12.779208,13.214992,13.604323,13.836614,14.276155
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.974657,3.44403,4.087178,4.437836,4.977869999999999,5.208895,6.2687550000000005,7.070585,7.299414,7.588342999999999,8.001058,8.375009,8.682861,8.876146,10.494003,11.066355,11.415014,11.693197,11.868347,12.37139,12.531436,12.967221,13.356551000000001,13.588842000000001,14.028382999999998
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.6818779999999998,3.15125,3.794399,4.1450569999999995,4.685091000000001,4.916116000000001,5.975976,6.777806,7.006635,7.295564,7.708278,8.082230000000001,8.390082000000001,8.583366999999999,10.201224,10.773575,11.122235,11.400418,11.575567999999999,12.078611,12.238657,12.674441,13.063772,13.296063,13.735604
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,2.038859,2.5082310000000003,3.15138,3.5020379999999998,4.042072,4.273096,5.332957,6.134787,6.363615,6.652544,7.065258999999999,7.439211,7.747063000000001,7.940347,9.558205000000001,10.130556,10.479215,10.757399000000001,10.932549,11.435592,11.595638000000001,12.031422000000001,12.420753,12.653044,13.092584
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.711919,2.181291,2.82444,3.1750979999999998,3.715132,3.946157,5.006017,5.807847,6.036676,6.325605,6.738319000000001,7.112271000000001,7.420122999999999,7.613408,9.231264999999999,9.803616,10.152275999999999,10.430458999999999,10.605609,11.108652000000001,11.268697999999999,11.704482,12.093813,12.326103999999999,12.765645
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.578055,2.047427,2.6905759999999996,3.041234,3.581268,3.812293,4.872153,5.673983,5.902812,6.191741,6.604455000000001,6.978407000000001,7.286258999999999,7.479544000000001,9.097401,9.669752,10.018412,10.296595,10.471745,10.974788,11.134834,11.570618,11.959949,12.19224,12.631781
