순번_정류장ID,50-2805980,51-2805340,52-2805841,53-2805450,54-2806913,55-2805580,56-2805332,57-2805742,58-2805229,59-2805231,60-2805400,61-2805038,62-2804895,63-2805911,64-2806175,65-2806603,66-2803657,67-2806659,68-2805674,69-2804974,70-2800541,71-2800530,72-2800523,73-2800519,74-2800517,75-2800515,76-2805304,77-2800498,78-2800497,79-2800493,80-2800344,81-2800481,82-2805944,83-2803595,84-2800468,85-2800465,86-2800462,87-2800460,88-2800453,89-2800445,90-2800437,91-2800416,92-2804855,93-2800343,94-2800303
50-2805980,0,0.525263,0.631791,0.8626,1.461052,1.901531,1.813137,1.629746,1.8417310000000002,2.15128,2.651472,2.847713,3.1257029999999997,3.3952440000000004,3.9430970000000003,4.0885739999999995,5.0430589999999995,5.309849,5.898752,6.715782000000001,6.939872,7.423466,7.706162,7.9510119999999995,8.11358,8.290251,8.957801,9.97327,10.255177999999999,10.763508,11.063308000000001,11.312268,11.598061,11.905217,12.136397,12.417244,12.698578999999999,12.945333999999999,13.373488,13.768652,14.091117,13.977262,14.389073999999999,14.812226,14.941061
51-2805340,,0,0.106528,0.338338,0.93679,1.377269,1.6786009999999998,1.9319959999999998,2.143981,2.4535299999999998,2.953722,3.149963,3.427954,3.6974940000000003,4.245347,4.389824,5.344309,5.613099,6.200002,7.017032,7.242122,7.726717,8.008412,8.253262,8.41583,8.592500999999999,9.261051,10.27652,10.558428,11.067758,11.366558,11.616518,11.901311999999999,12.209467,12.439647,12.720494,13.000829,13.247584,13.674738,14.069901999999999,14.394367,14.278512,14.691324,15.115476000000001,15.244310999999998
52-2805841,,,0,0.23181,0.8302620000000001,1.270741,1.572073,1.825468,2.0374529999999997,2.3470020000000003,2.847194,3.0434349999999997,3.321426,3.591966,4.138819,4.284296,5.2387809999999995,5.506571,6.094474,6.9105039999999995,7.1365940000000005,7.620189,7.902883999999999,8.147734,8.309302,8.485973,9.154523,10.169992,10.4529,10.960230000000001,11.26103,11.508989999999999,11.794784,12.101939,12.333119,12.613966,12.896301,13.140056,13.56821,13.963374,14.287839000000002,14.172984,14.585795999999998,15.009948000000001,15.137782999999999
53-2805450,,,,0,0.5984520000000001,1.038931,1.340263,1.679658,1.891643,2.201192,2.7013849999999997,2.897625,3.174616,3.445157,3.99201,4.137487,5.091971,5.359761,5.947664,6.764695,6.989785,7.4733789999999996,7.756075,8.000925,8.162493,8.339164,9.007714,10.023182,10.30609,10.814421000000001,11.113221000000001,11.363180999999999,11.647974000000001,11.955129,12.18731,12.467157,12.749491,12.994246,13.4214,13.816564999999999,14.141029000000001,14.027175,14.439986,14.862139,14.990974
54-2806913,,,,,0,0.440479,0.741811,1.081206,1.293191,1.60274,2.102933,2.299173,2.576164,2.847705,3.394558,3.540035,4.49452,4.762308999999999,5.3492120000000005,6.167243,6.391333,6.8749270000000005,7.1586229999999995,7.403473,7.5640410000000005,7.741712,8.409262,9.42573,9.707638000000001,10.215969,10.515769,10.764728999999999,11.050522,11.357677,11.588858,11.869705,12.151039,12.396794,12.823948,13.219113,13.543576999999999,13.428723000000002,13.841534,14.264687,14.392522
55-2805580,,,,,,0,0.301332,0.640727,0.852712,1.162261,1.662454,1.8586939999999998,2.135685,2.4062259999999998,2.9530790000000002,3.0985549999999997,4.05304,4.32083,4.908733,5.725764,5.950854,6.434448000000001,6.717144,6.961994,7.123562,7.300233,7.968782000000001,8.984250999999999,9.267159,9.77549,10.075289999999999,10.32325,10.609043,10.916198,11.148378999999998,11.428225999999999,11.70956,11.955314999999999,12.382469,12.777633999999999,13.102098,12.987244,13.400054999999998,13.824207000000001,13.952043
56-2805332,,,,,,,0,0.339395,0.55138,0.860929,1.361122,1.5573620000000001,1.8353529999999998,2.1058939999999997,2.652747,2.7972240000000004,3.7517080000000003,4.0194980000000005,4.608401000000001,5.425432,5.649522,6.134116000000001,6.415812,6.660661999999999,6.82223,6.998900999999999,7.668450999999999,8.683919,8.966827,9.473158,9.772958000000001,10.021918,10.308711,10.614866000000001,10.847047,11.128894,11.409228,11.654983,12.082137,12.478302000000001,12.800766000000001,12.687911999999999,13.100723,13.523876000000001,13.652710999999998
57-2805742,,,,,,,,0,0.21198499999999998,0.521534,1.021727,1.217967,1.495958,1.7664990000000003,2.313352,2.458828,3.4133129999999996,3.681103,4.269006,5.086037,5.311127,5.794721,6.077417,6.322267,6.483835,6.660506,7.329055,8.344524,8.626432000000001,9.134763000000001,9.434563,9.683523,9.969316000000001,10.276471,10.507652,10.788497999999999,11.069833000000001,11.315588,11.742742,12.137907,12.462371000000001,12.347517,12.760328,13.18348,13.312316000000001
58-2805229,,,,,,,,,0,0.30954899999999996,0.809742,1.005982,1.282973,1.553513,2.100367,2.245843,3.200328,3.468118,4.056021,4.8730519999999995,5.098141,5.581736,5.864431,6.109282,6.27085,6.447521,7.11607,8.131539,8.414447000000001,8.921778,9.222578,9.471537,9.757331,10.064486,10.295666,10.576513,10.857847999999999,11.103603,11.530757000000001,11.925922,12.250386,12.135532000000001,12.547343,12.971494999999999,13.099331
59-2805231,,,,,,,,,,0,0.500193,0.696433,0.974424,1.2449649999999999,1.7918180000000001,1.937295,2.891779,3.159569,3.747472,4.564503,4.789593,5.273187,5.555883000000001,5.800733,5.962301,6.138972,6.8075220000000005,7.822989999999999,8.104898,8.613228999999999,8.913029,9.162989,9.447782,9.754937,9.987117999999999,10.266964999999999,10.549299000000001,10.795053999999999,11.221208,11.617372999999999,11.941837,11.826983,12.238794,12.661947,12.790782
