순번_정류장ID,16-2801725,17-2801708,18-2801694,19-2801196,20-2801657,21-2801618,22-2801596,23-2801188,24-2801469,25-2801430
16-2801725,0,0.248223,0.494512,0.883647,1.267758,1.477571,1.6812209999999999,2.0551470000000003,2.48956,2.8636209999999997
17-2801708,,0,0.24629,0.635425,1.019536,1.229349,1.432999,1.806925,2.2413369999999997,2.615399
18-2801694,,,0,0.389135,0.773247,0.983059,1.18671,1.560635,1.995048,2.369109
19-2801196,,,,0,0.384112,0.593924,0.797575,1.1715,1.605913,1.979975
20-2801657,,,,,0,0.210813,0.414463,0.788389,1.222801,1.596863
21-2801618,,,,,,0,0.203651,0.577576,1.011989,1.38605
22-2801596,,,,,,,0,0.37392600000000004,0.808339,1.1824
23-2801188,,,,,,,,0,0.434413,0.808475
24-2801469,,,,,,,,,0,0.374062
25-2801430,,,,,,,,,,0
