순번_정류장ID,15-2802618,16-2802176,17-2807095,18-2807096,19-2807097
15-2802618,0,0.24536,0.749775,0.991898,1.2902120000000001
16-2802176,,0,0.504415,0.746538,1.0448520000000001
17-2807095,,,0,0.242123,0.540437
18-2807096,,,,0,0.29831399999999997
19-2807097,,,,,0
