순번_정류장ID,9-2800608,10-2807241,11-2807242,12-2807243,13-2807285,14-2807238,15-2806168
9-2800608,0,2.767376,3.2770040000000003,4.284845,5.35259,5.893679,6.014005
10-2807241,,0,0.511629,1.522469,2.590215,3.131304,3.25163
11-2807242,,,0,1.0108409999999999,2.078586,2.618675,2.740002
12-2807243,,,,0,1.0677459999999999,1.6078350000000001,1.732161
13-2807285,,,,,0,0.540089,1.8944159999999999
14-2807238,,,,,,0,1.358327
15-2806168,,,,,,,0
