순번_정류장ID,20-2801191,21-2801573,22-2801558,23-2801545,24-2801503,25-2801479,26-2801466,27-2801442,28-2801436,29-2801448,30-2801486,31-2801519,32-2801571
20-2801191,0,0.41026599999999996,0.622209,0.781537,1.077117,1.312899,1.52664,1.752207,1.985643,1.811164,1.5092290000000002,1.2233459999999998,1.301496
21-2801573,,0,0.21194200000000002,0.372271,0.66785,0.903633,1.1173739999999999,1.342941,1.5763770000000001,1.401897,1.099963,0.81408,0.89223
22-2801558,,,0,0.160329,0.455908,0.691691,0.905432,1.130999,1.364435,1.1899549999999999,0.888021,0.602137,0.680288
23-2801545,,,,0,0.295579,0.556362,0.770103,0.99567,1.243106,1.029627,0.727692,0.441809,0.5199590000000001
24-2801503,,,,,0,0.260783,0.474524,0.700091,0.947527,0.7990470000000001,0.795345,0.691772,0.7699229999999999
25-2801479,,,,,,0,0.213741,0.439308,0.6867439999999999,0.5382640000000001,0.534562,0.818445,0.9825969999999999
26-2801466,,,,,,,0,0.22556700000000002,0.47300299999999995,0.5091140000000001,0.5054109999999999,0.7892939999999999,0.9534459999999999
27-2801442,,,,,,,,0,0.24743600000000002,0.54732,0.730978,1.0148620000000002,1.1790129999999999
28-2801436,,,,,,,,,0,0.29988400000000004,0.6038180000000001,0.8877010000000001,1.0518530000000001
29-2801448,,,,,,,,,,0,0.303935,0.5878180000000001,0.75197
30-2801486,,,,,,,,,,,0,0.285884,0.450035
31-2801519,,,,,,,,,,,,0,0.164152
32-2801571,,,,,,,,,,,,,0
