순번_정류장ID,73-2802155,74-2807105,75-2802127,76-2802109,77-2802072,78-2802061,79-2802077,80-2802068,81-2802032,82-2802007,83-2801989,84-2801958,85-2801947,86-2801939,87-2801934,88-2801940,89-2801951,90-2801962,91-2801979,92-2801967,93-2801973,94-2801956,95-2801945,96-2801169,97-2805307,98-2801700,99-2801706,100-2801713,101-2801703,102-2801681,103-2801666,104-2801633,105-2801192,106-2801636,107-2801604,108-2801564,109-2801518,110-2801490,111-2801458,112-2801434,113-2801399,114-2801370,115-2801341,116-2801316,117-2801297,118-2801318,119-2801325,120-2807166,121-2801351,122-2803551,123-2801331,124-2801344,125-2801357,126-2801360,127-2800384,128-2800607,129-2800618,130-2800623,131-2800631,132-2800642,133-2800664,134-2800333,135-2803555,136-2800688,137-2805582,138-2800715,139-2800729,140-2800743,141-2800755,142-2800308,143-2800317,144-2800369
91-2801979,,,,,,,,,,,,,,,,,,,0,0.25016900000000003,0.5545,0.981404,1.1260649999999999,3.921886,4.086558,4.211936,4.431623,4.4125,4.500091,4.233581,4.053219,4.47365,4.7210589999999995,5.0784650000000005,5.337000000000001,5.5021510000000005,5.473887,5.6635279999999995,5.985513,6.222567,6.4972389999999995,6.785766000000001,7.044505,7.365888000000001,7.662012,7.565119999999999,7.56451,7.968586,8.324900999999999,8.449036,8.188077999999999,8.536767,8.827126,9.104375,9.768281,9.983007,9.891414,9.58501,9.322233,9.009269,8.613758,8.327624,8.552696000000001,8.57865,8.377864,8.202159,8.153346,8.695053999999999,9.142071000000001,9.340116,9.053107,8.722000000000001
92-2801967,,,,,,,,,,,,,,,,,,,,0,0.309332,0.7362350000000001,0.8808959999999999,3.677717,3.842389,3.967767,4.187454,4.167331,4.2549220000000005,3.989412,3.80905,4.2284809999999995,4.47689,4.834296,5.091832,5.256982,5.228718,5.419359,5.740345,5.978399,6.25207,6.541597,6.800336,7.1207199999999995,7.4178429999999995,7.319951,7.3193410000000005,7.724417,8.080732000000001,8.204867,7.944909,8.291598,8.583957,8.859206,9.525112,9.738839,9.647245,9.340842,9.078064,8.765101,8.369589,8.083455,8.305527,8.331482000000001,8.130695,7.954991000000001,7.907178,8.447886,8.894902,9.092947,8.805938000000001,8.473831
93-2801973,,,,,,,,,,,,,,,,,,,,,0,0.427904,0.572565,3.368386,3.533058,3.658436,3.8781230000000004,3.859,3.946591,3.680081,3.4997190000000002,3.91915,4.167559,4.524965,4.7825,4.9476510000000005,4.919387,5.110028,5.431013,5.669067,5.9427389999999995,6.232266,6.491005,6.811388000000001,7.108511999999999,7.010619999999999,7.01001,7.415086,7.7724009999999994,7.896536,7.634578,7.982267,8.273626,8.550875,9.216781,9.428507000000002,9.337914,9.03151,8.768733000000001,8.455769,8.060258000000001,7.775124000000001,8.000196,8.02615,7.823364,7.647659,7.599846,8.141554,8.588571,8.786616,8.500607,8.1685
94-2801956,,,,,,,,,,,,,,,,,,,,,,0,0.14466099999999998,2.941482,3.106154,3.231532,3.451219,3.4310959999999997,3.5186870000000003,3.252177,3.0728150000000003,3.4922459999999997,3.7406550000000003,4.098061,4.355596,4.520747,4.492483,4.683123999999999,5.004109,5.242164,5.514835,5.805362000000001,6.0631010000000005,6.384485,6.681608,6.583716000000001,6.583106,6.988182000000001,7.343497,7.467632000000001,7.2066740000000005,7.554363,7.845722,8.121971,8.787877,9.000603,9.263817,8.957414,8.694637,8.382672999999999,7.986161999999999,7.700028,7.9251,7.9520539999999995,7.7482679999999995,7.571563,7.52675,8.064458,8.514475,8.712519,8.426511,8.091403999999999
95-2801945,,,,,,,,,,,,,,,,,,,,,,,0,2.797821,2.962493,3.087871,3.307558,3.2884349999999998,3.3760260000000004,3.109516,2.929154,3.348585,3.596994,3.9544,4.211936,4.377086,4.348822,4.539463,4.860449,5.098503,5.372174,5.661701,5.92044,6.240824,6.537947,6.440055,6.439445,6.844521,7.200836,7.325971000000001,7.064013,7.412702,7.704061,7.98031,8.646216,8.856943,9.120522,9.102075,8.839298,8.526334,8.130823,7.844689,8.068761,8.094714999999999,7.891928999999999,7.716224,7.669411,8.210119,8.656136,8.85518,8.569172,8.237065
96-2801169,,,,,,,,,,,,,,,,,,,,,,,,0,0.16767200000000002,0.29305,0.512737,0.6996140000000001,0.9932049999999999,0.651466,0.471105,0.8905350000000001,1.138945,1.49635,1.753886,1.9190369999999999,1.8907720000000001,2.081413,2.402399,2.640453,2.914125,3.203651,3.462391,3.782774,4.079897,3.9820050000000005,3.9813949999999996,4.386471,4.792985,5.151922,5.628964,5.976652,6.268011,6.544261,7.209166000000001,7.422892999999999,7.6864729999999994,7.990875,7.7311190000000005,7.4181550000000005,7.0226429999999995,6.736510000000001,7.2875820000000004,7.888236,7.973978,7.798274,7.7504610000000005,8.361169,8.808185,9.259999,9.547008,9.502114
97-2805307,,,,,,,,,,,,,,,,,,,,,,,,,0,0.125379,0.345065,0.531943,0.825533,0.816138,0.635776,1.055207,1.3036159999999999,1.6610220000000002,1.9185580000000002,2.083708,2.055444,2.246085,2.567071,2.805125,3.078796,3.368323,3.6270629999999997,3.947446,4.244569,4.1466769999999995,4.1460669999999995,4.551143,4.939343,5.063479,5.540521,5.888209,6.179568,6.455818,7.120723,7.33345,7.597028999999999,7.901432000000001,7.637676,7.324712,6.9292,6.643066999999999,7.195139,7.794792999999999,7.806307,7.6306020000000006,7.582789,8.193497,8.640513,9.093327,9.379336,9.334442999999998
98-2801700,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.219687,0.406564,0.700155,0.941517,0.761155,1.1805860000000001,1.428995,1.7864,2.043936,2.209087,2.180823,2.3714630000000003,2.6924490000000003,2.930503,3.204175,3.493702,3.752441,4.072824,4.369948,4.272056,4.271445,4.676522,4.8139650000000005,4.9381,5.4151419999999995,5.762830999999999,6.05419,6.330439,6.9953449999999995,7.209071000000001,7.471651,7.777054,7.513297000000001,7.199333,6.803822,6.518688,7.06876,7.669414,7.681928,7.506222999999999,7.458410000000001,8.069118,8.515135,8.966949000000001,9.254958,9.209064
99-2801706,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.186878,0.480468,1.0477969999999999,0.980841,1.400272,1.648681,1.7098419999999999,1.9673779999999998,2.227529,2.400509,2.59115,2.9121360000000003,3.1501900000000003,3.423861,3.7133879999999997,3.9721269999999995,4.292511,4.589633999999999,4.405497,4.404887,4.809963,4.594278,4.718414,5.195456,5.543144,5.834503,6.110753,6.7766589999999995,6.989385,7.252965,7.557367999999999,7.293611,6.979647,6.584136,6.298001999999999,6.850074,7.450728,7.4612419999999995,7.285537,7.238724,7.849432000000001,8.296448,8.747262,9.034271,8.988377999999999
100-2801713,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29359,0.86092,1.167719,1.58715,1.584441,1.522964,1.7805,2.041651,2.354387,2.545027,2.866013,3.1040669999999997,3.377739,3.6682660000000005,3.9260050000000004,4.247388,4.543512000000001,4.21862,4.2180089999999995,4.623086,4.4074,4.531536,5.008578,5.356267,5.647626,5.923875,6.5897809999999994,6.801507000000001,7.065086999999999,7.369489999999999,7.105733,6.792769,6.397258,6.111124,6.662196000000001,7.26285,7.274364,7.098659,7.050846000000001,7.661554,8.108571000000001,8.560385,8.847392999999999,8.8025
101-2801703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.567329,0.9351290000000001,1.35456,1.602969,1.610555,1.868091,2.129241,2.354797,2.5454369999999997,2.866423,3.104477,3.3781489999999996,3.667676,3.926415,4.246798,4.543922,4.30621,4.3056,4.710676,4.494991000000001,4.6191260000000005,5.096168,5.443857,5.735216,6.011465,6.677371000000001,6.890097999999999,7.152677000000001,7.45708,7.194323,6.881360000000001,6.484848,6.198714,6.749786,7.350439999999999,7.361953999999999,7.18625,7.139436999999999,7.7491449999999995,8.197161,8.648975,8.934984,8.890091
102-2801681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3678,0.78723,1.03564,1.393045,1.650581,1.815732,1.787467,1.9781080000000002,2.2990939999999997,2.5371479999999997,2.81082,3.100346,3.359086,3.679469,3.9765919999999997,3.8787,3.8780900000000003,4.2831660000000005,4.68968,5.048617,5.525658999999999,5.873347,6.164706,6.440956,7.106861,7.319588,7.583168,7.887569999999999,7.627814,7.31485,6.919338000000001,6.633205,7.184277000000001,7.784930999999999,7.9084449999999995,7.73274,7.685927,8.296635,8.743651,9.194465,9.481474,9.457419999999999
103-2801666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.41943100000000005,0.66784,1.0252459999999999,1.282781,1.447932,1.419668,1.610309,1.931295,2.169349,2.44302,2.7325470000000003,2.991286,3.31167,3.608793,3.510901,3.5102910000000005,3.915367,4.321880999999999,4.680817,5.157858999999999,5.505548,5.796907,6.073156,6.738061999999999,6.9517880000000005,7.2143679999999994,7.518771000000001,7.260014,6.94705,6.551539,6.265405,6.816477000000001,7.4171309999999995,7.541645,7.365939999999999,7.317128,7.928835,8.375852,8.826666000000001,9.114675,9.510781
104-2801633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24841,0.606815,0.864351,1.125502,1.128536,1.319177,1.640163,1.8782169999999998,2.151888,2.441415,2.700155,3.020538,3.317661,3.219769,3.219159,3.6242349999999997,4.030749,4.389686,4.866728,5.214416,5.505775,5.782025,6.44693,6.6606570000000005,6.9242360000000005,7.228639,6.968883,6.655919,6.260407,5.974273999999999,6.525345,7.126,7.250514,7.074808999999999,7.0269960000000005,7.637703999999999,8.084719999999999,8.536534,8.823542999999999,9.091351
