순번_정류장ID,39-2801192,40-2806417,41-2801564,42-2801450,43-2801438,44-2801461,45-2804438,46-2803644,47-2800676,48-2800667,49-2800657,50-2800340,51-2800624,52-2800619,53-2806215,54-2807077,55-2807079,56-2806633,57-2805743,58-2804896,59-2805037,60-2805221,61-2805232,62-2806173,63-2804998,64-2805341,65-2805225,66-2805227,67-2805329,68-2805818,69-2805330,70-2805838,71-2805334,72-2805757,73-2806170,74-2806829,75-2807268,76-2806683
39-2801192,0,0.431228,0.876092,1.7770169999999998,2.208569,2.9611549999999998,3.7002870000000003,5.748591,6.477812,6.815747999999999,6.990748,7.279903999999999,7.824391,7.881094999999999,7.881467999999999,8.357863,8.713686000000001,9.035544,9.448758999999999,9.686331,10.017941,10.249236,10.591461,11.216938,11.828387,12.255423,11.843681,11.409500999999999,12.517669999999999,12.728104,13.190659,13.324496,13.04931,12.801349,12.864068,13.340874,13.574797,14.976315
40-2806417,,0,0.44486400000000004,1.345789,1.777341,2.5299270000000003,3.2690599999999996,5.317362999999999,6.046583999999999,6.384519999999999,6.55952,6.848675999999999,7.393163,7.449867,7.450241,7.926635000000001,8.282458,8.604316,9.016531,9.255103,9.585714,9.818008,10.161233,10.78571,11.397159,11.823195,11.411453999999999,10.977273,12.085442,12.295876,12.759432,12.893267999999999,12.618082000000001,12.369121,12.432839999999999,12.910646,13.144569,14.547087
41-2801564,,,0,0.900925,1.3324770000000001,2.085063,2.8241959999999997,4.8724989999999995,5.601719999999999,5.939655999999999,6.114656,6.403812,6.9482990000000004,7.004003,7.005377,7.481771000000001,7.837594,8.159452,8.572667,8.810239,9.14185,9.374144,9.717369,10.340846,10.953294999999999,11.379331,10.968589999999999,10.532409,11.642578,11.853012,12.315567999999999,12.449404,12.174218,11.926257000000001,11.988977,12.465782,12.699705,14.103223999999999
42-2801450,,,,0,0.43355200000000005,1.1861389999999998,1.925271,3.9735739999999997,4.702795,5.040731,5.215731,5.504887,6.049373999999999,6.105078,6.106452,6.5818460000000005,6.93767,7.260527000000001,7.6727419999999995,7.910315,8.242925,8.473219,8.818444,9.441922,10.05337,10.480406,10.067665,9.633484,10.742653,10.953087,11.414643,11.549479,11.274293,11.026333000000001,11.089052,11.567858,11.79978,13.203299
43-2801438,,,,,0,0.754586,1.493718,3.5420220000000002,4.271243,4.609179,4.784179,5.073335,5.617822,5.673526,5.674899,6.150294000000001,6.507117,6.828975,7.242189999999999,7.479761999999999,7.810372,8.043667,8.386892,9.010369,9.622817999999999,10.048853999999999,9.637112,9.202932,10.312101,10.520535,10.985091,11.117927,10.843741,10.59478,10.658499,11.136305,11.370228,12.770746
44-2801461,,,,,,0,0.740133,2.788436,3.517657,3.855593,4.030593,4.319749,4.864236,4.92094,4.921314,5.397708000000001,5.753531,6.075389,6.487604,6.726176,7.057786999999999,7.290081,7.633306,8.257783,8.869232,9.295268,8.884527,8.449346,9.558515,9.768949000000001,10.231505,10.365341,10.090155000000001,9.842194000000001,9.904913,10.382719,10.616642,12.019160000000001
45-2804438,,,,,,,0,2.048304,2.777525,3.1154610000000003,3.290461,3.579617,4.124104,4.405501,4.7458730000000005,4.963576,5.319399,5.820257,6.2324720000000005,6.470044000000001,6.801653999999999,7.033949000000001,7.377174,8.001650999999999,8.6121,9.040136,8.628394,8.193214,9.302383,9.513817,9.975372,10.109209,9.834023,9.587062,9.648781,10.127587,10.361509,11.763028
46-2803644,,,,,,,,0,0.729221,1.067157,1.242157,1.531313,2.0758,2.357197,2.769878,2.9152720000000003,3.271095,3.771953,4.185168,4.42274,4.753351,4.9846449999999995,5.32987,5.953347,6.563796000000001,6.9918320000000005,6.580091,6.14591,7.254078999999999,7.464513,7.928069,8.061905,7.786719000000001,7.5387580000000005,7.601478,8.079283,8.312206,9.714725
47-2800676,,,,,,,,,0,0.338936,0.513936,0.803092,1.347579,1.628976,2.415657,2.187051,2.542875,3.043732,3.456947,3.69452,4.02513,4.257423999999999,4.600649,5.224126999999999,5.835575,6.262611,5.85187,5.416689,6.525858,6.735291999999999,7.198848,7.3326839999999995,7.057498,6.809538000000001,6.872257,7.349063,7.583985,8.985503999999999
48-2800667,,,,,,,,,,0,0.175,0.464156,1.008643,1.2900399999999999,2.076721,1.8481150000000002,2.203938,2.704796,3.118011,3.355583,3.6871940000000003,3.9184879999999995,4.261712999999999,4.88619,5.498639,5.923675,5.512934,5.0777529999999995,6.186922,6.397355999999999,6.859912,6.993747999999999,6.7185619999999995,6.471601000000001,6.53332,7.011125999999999,7.246049,8.648567
