순번_정류장ID,1-2803031,2-2803025,3-2802976,4-2802957,5-2802933,6-2802911,7-2802891,8-2802879,9-2802621,10-2803264,11-2803251,12-2803242,13-2803231,14-2803229
1-2803031,0,0.171648,0.764722,0.987917,1.171331,1.3425770000000001,1.5361280000000002,1.742162,2.025691,2.801793,3.103834,3.3331,3.8712370000000003,4.104056
2-2803025,,0,0.593074,0.8162689999999999,0.999683,1.170929,1.36448,1.570514,1.854043,2.630145,2.932186,3.161452,3.69959,3.932408
3-2802976,,,0,0.254195,0.437609,0.608855,0.8024060000000001,1.00844,1.3789690000000001,2.179071,2.481112,2.710378,3.248516,3.4813339999999995
4-2802957,,,,0,0.18341500000000002,0.35466,0.548211,0.7542449999999999,1.124774,1.9248759999999998,2.226917,2.4561830000000002,2.994321,3.2271389999999998
5-2802933,,,,,0,0.171246,0.364797,0.5708310000000001,0.9413600000000001,1.7414619999999998,2.043503,2.272769,2.810906,3.043725
6-2802911,,,,,,0,0.193551,0.39958499999999997,0.7701140000000001,1.570216,1.872257,2.101523,2.6396599999999997,2.8724790000000002
7-2802891,,,,,,,0,0.20703400000000002,0.577563,1.377665,1.6797060000000001,1.9089720000000001,2.44711,2.679928
8-2802879,,,,,,,,0,0.370529,1.170631,1.472672,1.7019380000000002,2.2400759999999997,2.4728939999999997
9-2802621,,,,,,,,,0,0.8001020000000001,1.102143,1.331409,1.869547,2.1023650000000003
10-2803264,,,,,,,,,,0,0.312041,0.541307,1.079445,1.312263
11-2803251,,,,,,,,,,,0,0.229266,0.767404,1.000222
12-2803242,,,,,,,,,,,,0,0.538138,0.7709560000000001
13-2803231,,,,,,,,,,,,,0,0.232819
14-2803229,,,,,,,,,,,,,,0
