순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2805055,5-2802388,6-2806726,7-2805771,8-2807230,9-2807357,10-2807447,11-2807445,12-2803579,13-2802358,14-2804867,15-2802347,16-2805062,17-2802383,18-2802381,19-2802387,20-2802384,21-2802603,22-2802361,23-2802362,24-2802595,25-2802598,26-2805538,27-2802587,28-2802580,29-2802578,30-2803629,31-2802575,32-2802567,33-2802553,34-2802543,35-2802525,36-2802513,37-2802490,38-2802458,39-2802446,40-2802433,41-2802422,42-2802418,43-2802415,44-2802398,45-2802396,46-2804816,47-2802864,48-2802824,49-2802618,50-2802176,51-2802169,52-2802154,53-2802137,54-2802117,55-2802074,56-2802046,57-2802029,58-2802013,59-2802003,60-2802033,61-2802057,62-2802105,63-2802127,64-2802131,65-2802148,66-2802155,67-2806098,68-2806513,69-2807111,70-2806524,71-2806523,72-2806522,73-2806521,74-2805659,75-2802210,76-2802213,77-2802220,78-2801901,79-2805900,80-2801903,81-2803532,82-2801819,83-2803807,84-2804958,85-2803818,86-2804899,87-2805043,88-2804852,89-2804854,90-2805422,91-2806045,92-2806046,93-2805420,94-2802323,95-2803539,96-2803540,97-2802319,98-2802316,99-2802312,100-2802309,101-2802565,102-2802545,103-2802546,104-2802562,105-2802571,106-2802576,107-2802581,108-2804851,109-2802597,110-2802594,111-2802591,112-2802596,113-2802604,114-2802385,115-2802386,116-2802380,117-2802382,118-2804909,119-2802345,120-2802359,121-2803520,122-2807446,123-2807448,124-2807358,125-2807231,126-2805770,127-2806725,128-2805822,129-2805054,130-2803522,131-2805654,1-2805726,2-2805739,3-2800372,4-2800317,5-2805948,6-2800371,7-2803056,8-2802651,9-2802638,10-2803669,11-2803046,12-2803045,13-2803071,14-2803082,15-2803093,16-2803107,17-2803121,18-2803113,19-2803106,20-2803048,21-2803109,22-2803227,23-2803239,24-2803252,25-2804953,26-2803256,27-2803249,28-2803230,29-2803233,30-2803234,31-2803237,32-2803241,33-2802745,34-2802737,35-2802629,36-2802719,37-2802709,38-2802703,39-2802693,40-2802688,41-2802684,42-2802674,43-2802665,44-2802662,45-2802659,46-2802650,47-2800819,48-2800815,49-2800810,50-2800806,51-2800793,52-2800785,53-2800771,54-2800764,55-2800756,56-2800736,57-2800710,58-2800705,59-2800697,60-2801603,61-2801583,62-2801565,63-2801546,64-2801527,65-2801514,66-2801509,67-2801497,68-2801482,69-2801450,70-2801424,71-2801411,72-2801401,73-2801160,74-2801367,75-2801346,76-2800173,77-2801259,78-2805069,79-2801243,80-2801242,81-2801247,82-2801249,83-2801253,84-2801083,85-2801057,86-2801043,87-2801010
1-2805045,0,0.636848,0.92724,0.544079,0.825249,1.186957,1.360502,1.9255,1.943285,1.7213169999999998,1.572645,1.8681009999999998,2.316107,2.161763,2.048,2.587134,3.093204,3.3134580000000002,3.135116,2.655537,2.853806,3.165041,3.584023,3.6375,3.8055,3.6861980000000005,5.062235,5.5525,5.825692,5.670846,5.823017,6.148019000000001,6.494619,6.819357000000001,7.170014999999999,7.0151580000000004,7.166742999999999,7.654986999999999,8.052838000000001,8.183958,8.4265,8.703102000000001,8.837275,9.0857,9.538831,10.021968,10.620556,10.866756,11.053261000000001,11.25962,11.623406,12.042812,12.667627,13.275,13.599186999999999,13.9635,14.344584,14.806679,15.128051999999999,14.591057999999999,14.453698000000001,14.074554000000001,14.105954,14.161707,13.782282,13.387217000000001,13.620297,14.750070999999998,15.049428,15.155276,14.814195000000002,14.548135999999998,14.368567,13.856712,12.354597,12.212345,11.991658000000001,11.701619,11.001508,10.786838000000001,10.622035,10.721623,10.997713000000001,10.951042,10.649417999999999,10.419,10.220943,9.912516,9.694894,9.545296,9.418956,9.067463,8.842621000000001,8.8115,8.544763,8.091187,7.8150770000000005,7.293652000000001,6.904091,6.444394,5.988163,6.609133,6.6440470000000005,6.316896,6.026326,5.751261,5.586564,4.9346879999999995,3.8010269999999995,3.654552,3.462456,3.1215,2.7505,2.674011,3.156102,3.3038589999999997,3.075158,2.52407,2.048711,2.293212,1.822627,1.623594,1.7542060000000002,1.9634490000000002,1.9050619999999998,1.4773049999999999,1.169433,0.795554,0.697375,0.941,0.606058,16.8415,16.49625,16.353547,16.645107,16.270008999999998,15.8375,15.253588,14.76193,14.541451,14.410209,14.652742000000002,14.529000000000002,14.526703,14.828317000000002,14.738907000000001,14.475211999999999,14.284104999999998,14.534657000000001,14.758942000000001,15.047185,15.536647,15.120675,14.753114000000002,14.240081,13.968894,13.661906,13.587473000000001,14.06516,13.664819,13.405536999999999,13.371604000000001,12.969911,12.835360000000001,13.083426,13.718259,13.597835,13.299713,13.396147000000001,13.79465,14.022426999999999,14.058330999999999,14.035342000000002,14.249956,14.477073,14.655406,14.971414999999999,15.019878,14.764945999999998,15.145794,15.04955,15.302698000000001,15.495601,15.843254,16.025437,16.098124,16.240413,16.600753,16.680466,16.938445,17.917195,18.247405,18.353973,18.159397,18.349425,18.599157,18.770535,18.490271,18.688709,19.099076,19.60967,19.560498000000003,19.735273,19.734406,20.043591,20.48433,21.131137,21.812056,22.055,22.246338,22.421617,22.207860999999998,21.923917000000003,21.649101,21.857717,22.088638,22.492251,23.315837
2-2803524,,0,0.290392,0.828074,1.314402,1.6761099999999998,1.8496540000000001,2.414653,2.4324380000000003,2.210469,2.0617970000000003,2.004052,2.123259,1.8119150000000002,1.6961529999999998,2.237287,2.7443560000000002,2.96061,2.7842689999999997,2.3056900000000002,2.5039580000000004,2.814194,3.233175,3.2876529999999997,3.534153,3.8958510000000004,5.272888,5.762153,6.037344999999999,5.881498000000001,6.03367,6.359672,6.409771,6.7355100000000006,6.819167,6.664311,6.815896,7.304139999999999,7.7019910000000005,8.03111,8.273653,8.550253999999999,8.895878,9.296352,9.749483,10.232619999999999,10.524709,10.769908000000001,11.075413000000001,11.279772999999999,11.644559,12.062964,12.68978,13.296153,13.61934,13.984653,14.365737,14.827831,15.148204999999999,14.611210999999999,14.47485,14.094707000000001,14.128105999999999,14.181859,13.803435,13.409369,13.641449,14.770223999999999,15.070580999999999,15.364927999999999,15.024847,14.757789,14.579219,14.066365,12.565249,12.421997,12.201310000000001,11.911272,11.211161,10.998489999999999,10.831686999999999,10.931275,11.207366,11.159695,10.85907,10.628653,10.429594999999999,10.123168,9.905546000000001,9.755948,9.629608000000001,9.278115,9.053272999999999,9.022153,8.755416,8.302839,8.026729,7.503305,7.114744,6.655047,6.197816,6.819785,6.8537,6.526548,6.235978,5.9629129999999995,5.797216000000001,5.145341,3.5386260000000003,3.3037050000000003,3.111609,2.770653,2.399653,2.322163,2.8062549999999997,2.9550110000000003,2.72631,2.174223,1.697864,2.101365,1.981526,2.112746,2.243358,2.452602,2.394214,1.966457,1.6585849999999998,1.284706,0.675778,0.304153,0.121905,16.488653,16.145402,16.0037,16.294259,15.918160999999998,15.487653,14.903739999999999,14.411082,14.188603,14.058361999999999,14.300895,14.178153,14.174856,14.47647,14.38706,14.125364000000001,13.934257999999998,14.18481,14.406094,14.695338000000001,15.1838,14.770828,14.402266000000001,13.888233999999999,13.618046,13.311059,13.235625,13.714313,13.313970999999999,13.054689999999999,13.020757000000001,12.618063000000001,12.484511999999999,12.730578999999999,13.368412,13.246988,12.950866,13.045299,13.444803,13.671579999999999,13.707484,13.684495000000002,13.900108,14.126225,14.303557999999999,14.621568,14.670029999999999,14.415098,14.794947,14.698703,14.95085,15.144754,15.493406,15.673589999999999,15.748276,15.891565,16.250905,16.328619,16.590598,17.567347,17.898557999999998,18.004125,17.80955,17.999578,18.24931,18.420687,18.140424,18.336862,18.748228,19.257822,19.20865,19.385425,19.384558,19.691743,20.132482999999997,20.77929,21.460207999999998,21.704153,21.89449,22.070769,21.858013,21.574069,21.298254,21.506869000000002,21.738789999999998,22.140403,22.96699
3-2803525,,,0,0.537682,1.02401,1.385718,1.5592620000000001,2.124261,2.142046,1.920077,1.771405,1.71366,1.8328669999999998,1.521523,1.405761,1.946895,2.451964,2.671218,2.493877,2.014298,2.212566,2.523802,2.9437830000000003,2.995261,3.243761,3.6064589999999996,4.980496,5.473761,5.745953,5.590106,5.743278,6.068280000000001,6.119379,6.4441180000000005,6.528776000000001,6.373919,6.525504,7.013748,7.411599000000001,7.740717999999999,7.983261,8.259862,8.604486,9.00496,9.460091,9.943228,10.234316999999999,10.480516,10.785021,10.989381,11.353167,11.773572,12.398388,13.005761,13.328948,13.694261,14.074345000000001,14.537439000000001,14.857813,14.320819,14.183457999999998,13.805315,13.837714000000002,13.892467000000002,13.512042999999998,13.118977,13.352057,14.479832,14.780189000000002,15.073535999999999,14.733455,14.467397,14.289826999999999,13.776973000000002,12.274857,12.132605,11.912918,11.62188,10.921769,10.707098,10.541295,10.640883,10.915974,10.870303,10.567677999999999,10.338261,10.141202999999999,9.830776,9.614154,9.467556,9.340216,8.986723,8.762881,8.730761,8.466024,8.008447,7.734336999999999,7.213913000000001,6.824352,6.364655,5.908424,6.529393,6.563308,6.235156,5.9455860000000005,5.671521,5.506824,4.853949,3.248234,3.013313,2.8192169999999996,2.481261,2.108261,2.032771,2.514863,2.6636189999999997,2.434918,1.8828310000000001,1.406472,1.809973,1.691134,1.822354,1.952966,2.16221,2.103822,1.6760650000000001,1.368193,0.9943139999999999,0.385386,0.17324,0.412297,16.200260999999998,15.85401,15.712307999999998,16.003867,15.627769,15.197261,14.612348,14.12069,13.898210999999998,13.767970000000002,14.011503,13.887761,13.885464,14.186078,14.095668,13.834972,13.642866,13.893417999999999,14.116701999999998,14.406946,14.894407999999999,14.480436,14.111873999999998,13.597842000000002,13.328654,13.020667,12.946233,13.423921,13.023579,12.763297999999999,12.729365,12.327671,12.19412,12.441187,13.07702,12.957596,12.659474000000001,12.754907000000001,13.153410999999998,13.382188000000001,13.416092,13.394103,13.608716000000001,13.834832999999998,14.012166,14.332176,14.379638,14.124706,14.504554999999998,14.407310999999998,14.661457999999998,14.854362,15.202014000000002,15.383198000000002,15.457884,15.601173000000001,15.957513,16.036227,16.298206,17.275956,17.607166,17.713732999999998,17.519157999999997,17.709186,17.958918,18.127295,17.850032000000002,18.04747,18.458835999999998,18.96643,18.916258,19.095032999999997,19.095166,19.402351,19.843091,20.488898000000002,21.168816,21.413760999999997,21.604098,21.779377,21.567621,21.283676999999997,21.007862,21.217477,21.448398,21.849010999999997,22.674598
4-2805055,,,,0,0.486328,0.848036,1.0215809999999999,1.5865790000000002,1.604364,1.382396,1.233724,1.52918,1.9300279999999999,1.618683,1.5039209999999998,2.0440549999999997,2.550125,2.768379,2.591037,2.112458,2.310727,2.6199619999999997,3.0409439999999996,3.094421,3.340921,3.3472769999999996,4.722315,5.212579,5.486771,5.331925,5.483096,5.809099,6.154698000000001,6.480436,6.625936,6.4710790000000005,6.622664,7.110908,7.5087589999999995,7.837878999999999,8.080421000000001,8.356023,8.497354,8.745778999999999,9.19891,9.682047,10.280635,10.526835,10.71434,10.918699,11.283485,11.702891000000001,12.328706,12.935079,13.259266,13.623579000000001,14.004663,14.466757999999999,14.788131,14.251137,14.113776999999999,13.734634,13.767032999999998,13.821786,13.442360999999998,13.048296,13.281376000000002,14.41015,14.709507,14.814354999999999,14.475273999999999,14.208215,14.028645999999998,13.515791,12.015676,11.873424,11.652737,11.361697999999999,10.661586999999999,10.447917,10.282114,10.381702,10.658792,10.611121,10.310497,10.079079,9.880022,9.572595,9.354973,9.206375,9.079035000000001,8.727542,8.5027,8.470578999999999,8.205842,7.751266,7.476156,6.953730999999999,6.56417,6.1044730000000005,5.648242,6.2692120000000005,6.304126,5.976975,5.687405,5.41234,5.246643,4.594767,3.345395,3.111473,2.918377,2.578421,2.2064209999999997,2.129932,2.613023,2.76078,2.532078,1.980991,1.504632,1.9071330000000002,1.483706,1.284673,1.4152850000000001,1.624528,1.566141,1.138384,0.830512,0.456633,0.23854699999999998,0.524921,0.9499790000000001,16.297421,15.952171,15.811468,16.103028,15.72693,15.294421,14.709508,14.21985,13.997372,13.86713,14.109663000000001,13.985921,13.981623999999998,14.285238,14.195828,13.932132999999999,13.740026,13.990578,14.213861999999999,14.503105999999999,14.991568,14.576595999999999,14.209035,13.696001999999998,13.426815,13.116826999999999,13.041394,13.520081,13.121739999999999,12.862458,12.827525,12.425832000000002,12.292281,12.539347,13.174179999999998,13.054756,12.758633999999999,12.855068,13.248570999999998,13.477348000000001,13.513252,13.492263000000001,13.705877,13.931994,14.109326999999999,14.427335999999999,14.476799,14.220867000000002,14.600715,14.503471,14.756619,14.952522,15.299175,15.482357999999998,15.554045,15.696334,16.056673999999997,16.134387,16.394366,17.373116,17.704326000000002,17.809893,17.616318,17.804346,18.055077999999998,18.225456,17.945192000000002,18.143629999999998,18.554997,19.065591,19.015418,19.191194,19.190327,19.499512,19.939251000000002,20.586057999999998,21.266976,21.508921,21.700259,21.876537,21.663782,21.379838,21.104022,21.312638,21.545558,21.948172,22.773757999999997
5-2802388,,,,,0,0.361709,0.535253,1.100252,1.1180370000000002,0.896068,0.747396,1.042853,1.490858,2.001989,1.9902490000000002,2.529383,3.035453,3.103294,2.822868,2.598786,2.797054,3.10629,3.492729,3.2267509999999997,2.980252,2.86095,4.236987,4.727252,5.001444,4.846597,4.9967690000000005,5.323771,5.66937,5.993108,6.517737,6.88691,7.038494999999999,7.515739,7.432913,7.358708999999999,7.600252,7.876853,8.012027,8.261451,8.712582000000001,9.195719,9.796307,10.039507,10.230012,10.434372,10.798158,11.217563,11.842379,12.448752,12.774939,13.139251999999999,13.520335999999999,13.982429999999999,14.302804,13.766810000000001,13.628449,13.249305999999999,13.282704999999998,13.335458,12.957033000000001,12.563968,12.797048,13.924822,14.224179999999999,14.330027,13.989946,13.723887,13.544317999999999,13.030463000000001,11.529347999999999,11.387096000000001,11.166409,10.87637,10.17726,9.962589,9.795786,9.895374,10.172464,10.124792999999999,9.824169,9.593752,9.396694,9.087267,8.869645,8.721047,8.593707,8.242214,8.017372,7.985252,7.719514,7.265938,6.990828,6.4684029999999995,6.078843,5.619146,5.162915,5.784884,5.818798,5.491647,5.201077,4.927012,4.762315,4.10944,2.975778,3.209699,3.4037050000000004,3.063749,2.691749,2.61626,2.844854,3.109893,3.0174060000000003,2.466319,1.9909599999999998,1.467963,0.9973790000000001,0.798345,0.9289569999999999,1.138201,1.079813,0.6520560000000001,0.344184,0.215802,0.639624,1.011249,1.4303059999999999,16.782749,16.436498999999998,16.294795999999998,16.587356,16.211257,15.780748999999998,15.195835999999998,14.704178,14.480699,14.351458,14.594991,14.471248999999998,14.468952,14.769566000000001,14.681156,14.418460999999999,14.227354,14.477905999999999,14.70219,14.989434,15.478895999999999,15.063923999999998,14.695363,14.182329999999999,13.913143,13.604154999999999,13.528722,14.008409,13.608067000000002,13.347786,13.313853,12.912158999999999,12.777609,13.024675,13.660507999999998,13.543084,13.244962,13.338396,13.735899,13.964676,13.807082999999999,13.784094,13.998707000000001,14.224824,14.403157,14.719166,14.769629,14.514697,14.892546,14.990798999999999,15.243947,15.43785,15.785503,15.968189,15.843875,15.989164,16.350504,16.426218,16.880694000000002,17.859444,18.188654,17.989724,17.796149,17.985176,18.234909,18.211217,17.903023,18.100461,18.512826999999998,19.021421,18.973249,19.092024,19.092157,19.401342,19.739082,20.386888,21.068807,21.311752,21.501089,21.677367999999998,21.566612,21.280668,21.004853,21.214468,21.446389,21.851001999999998,22.675588
6-2806726,,,,,,0,0.175545,0.7405430000000001,0.758328,0.536359,0.731399,1.112058,1.560064,2.071195,2.208957,2.749091,3.255161,3.1725,2.892073,2.817494,3.015763,3.3249980000000003,3.561935,3.295957,3.049457,2.930155,4.305192,4.795457,5.068649,4.913802,5.064973999999999,5.390976,5.736576,6.061314,6.584942999999999,6.954115,7.1057,7.582944,7.500119000000001,7.425915,7.668457000000001,7.944058999999999,8.080232,8.328657000000002,8.781788,9.264925,9.863513000000001,10.108713,10.297217999999999,10.502577,10.866363,11.285769,11.911584,12.517957000000001,12.842144000000001,13.206457,13.587541,14.049635999999998,14.371008999999999,13.834014999999999,13.696654999999998,13.317510999999998,13.349910999999999,13.404664000000002,13.025239,12.631174,12.864253999999999,13.993028,14.292385000000001,14.345319,14.005238,13.740179000000001,13.56061,13.046755000000001,11.49264,11.350388,11.130701,10.838662,10.139550999999999,9.924881,9.759078,9.858666,10.135756,10.088085000000001,9.788461,9.556042999999999,9.357986,9.050559,8.833936999999999,8.684339,8.556999000000001,8.205506,7.980664,7.948542999999999,7.683806,7.22823,6.95412,6.4316949999999995,6.147048000000001,5.6873510000000005,5.23112,5.8520900000000005,5.887004,5.5598529999999995,5.270283,4.994218,4.829521,4.1786449999999995,3.044984,3.2789050000000004,3.472001,3.282457,2.911457,2.834968,2.914059,3.1790990000000003,3.237115,2.686027,2.186246,1.5381690000000001,1.066584,0.581451,0.569249,0.778492,0.720105,0.292348,0.220611,0.391404,1.0013319999999999,1.372957,1.7930150000000002,17.002457,16.659207000000002,16.515504,16.807064,16.431966,16.001457000000002,15.414544,14.924887,14.702407999999998,14.571166,14.812698999999999,14.690957000000001,14.68966,14.990274,14.898864000000001,14.639169,14.448062,14.698614000000001,14.919899,15.211142,15.698604000000001,15.282632000000001,14.916070999999999,14.402038000000001,14.130851000000002,13.824863,13.748429999999999,14.227117000000002,13.827776,13.566494,13.533560999999999,13.131867999999999,12.998317,13.244383,13.880216,13.761792000000002,13.46067,13.557104,13.955607,14.110529999999999,13.875288000000001,13.851299,14.066913000000001,14.293029999999998,14.471363,14.788372,14.836835,14.581903,14.961751000000001,15.211507000000001,15.464654999999999,15.658558,15.994210999999998,16.033394,15.915080999999999,16.057370000000002,16.41871,16.495423000000002,16.997401999999997,17.976152,18.307362,18.057929,17.863354,18.053382,18.303114,18.278423,17.971228,18.169666,18.581032999999998,19.090626999999998,19.041455,19.162229999999997,19.161363,19.469548,19.809287,20.457094,21.137013,21.380957000000002,21.571295000000003,21.745573999999998,21.634818,21.350873999999997,21.074057999999997,21.284674,21.515595,21.918208,22.744794
7-2805771,,,,,,,0,0.564999,0.728787,0.506818,0.701858,1.186603,1.634608,2.145739,2.283502,2.824636,3.3307050000000005,3.247044,2.966618,2.893039,3.091307,3.399543,3.636479,3.3705019999999997,3.124002,3.0047,4.380737,4.871002,5.144194000000001,4.990347,5.140519,5.466521,5.812119999999999,6.138859,6.662487,7.029660000000001,7.180244999999999,7.659489,7.578663000000001,7.501459,7.746002000000001,8.020603,8.155777,8.404200999999999,8.857332000000001,9.339469,9.939058000000001,10.185257,10.372762,10.576122,10.941908,11.361313,11.986129,12.593502,12.916689,13.282001999999999,13.662085999999999,14.124179999999999,14.445554000000001,13.90956,13.772198999999999,13.393056,13.425455,13.480208,13.099784,12.705718,12.938798,14.068573,14.36793,14.228774,13.889693,13.623634,13.444065,12.931211,11.377094999999999,11.234843,11.014156,10.723117,10.023007000000002,9.809336,9.642533,9.743121,10.019212,9.972539999999999,9.671916,9.439499,9.241441,8.934014,8.716391999999999,8.567794000000001,8.441454,8.088961,7.8641190000000005,7.830999,7.5672619999999995,7.112685000000001,6.836575,6.31515,6.221593,5.761896,5.305665,5.926634,5.9615480000000005,5.634397,5.3448269999999996,5.069762,4.904065,4.25319,3.119528,3.353449,3.5465459999999998,3.3580019999999995,2.987002,2.909512,2.988604,3.253643,3.3136589999999995,2.761572,2.26179,1.6117139999999999,1.141129,0.551909,0.5397069999999999,0.748951,0.54456,0.262806,0.19106900000000002,0.564948,1.174877,1.546502,1.966559,17.075001999999998,16.729751,16.590049,16.881608,16.50451,16.075001999999998,15.491089,14.999431,14.775951999999998,14.645710999999999,14.887244,14.764501999999998,14.762204999999998,15.065819,14.975408999999999,14.712713,14.521607000000001,14.771158999999999,14.994442999999999,15.284687,15.774149,15.357176999999998,14.989614999999999,14.475582999999999,14.206395,13.898407999999998,13.821973999999999,14.300661999999999,13.902320000000001,13.642039000000002,13.608106,13.205411999999999,13.072861,13.317927,13.955760999999999,13.835336999999999,13.539214999999999,13.633648,14.032151999999998,14.185075,13.949832999999998,13.926844000000001,14.141457,14.368573999999999,14.545907000000001,14.863917,14.910379,14.658447,15.036295999999998,15.286052,15.541198999999999,15.733103,16.069754999999997,16.110939000000002,15.989625,16.133914,16.492254,16.569968,17.071947,18.050696,18.380906,18.132474,17.936899,18.129927,18.377659,18.354967000000002,18.046773,18.245210999999998,18.655576999999997,19.166171,19.117998999999998,19.237773999999998,19.235907,19.545092,19.884832,20.531639000000002,21.212557,21.454501999999998,21.648839000000002,21.822118,21.709362,21.424418,21.150603,21.359218,21.591139000000002,21.994752,22.819339000000003
8-2807230,,,,,,,,0,0.506216,0.728184,1.030856,1.518601,1.966607,2.478738,2.6155,3.155634,3.662704,3.579042,3.2986160000000004,3.224037,3.422306,3.7325410000000003,3.9684779999999997,3.7025,3.4560000000000004,3.336698,4.7127349999999995,5.202000000000001,5.477192,5.321345,5.472517,5.797519,6.144119,6.469857,6.993485000000001,7.362658000000001,7.514243,7.991486999999999,7.909662,7.834458000000001,8.077,8.353602,8.486775,8.7362,9.189331,9.671467999999999,10.271056,10.516256,10.703761,10.90912,11.272905999999999,11.693311999999999,12.318127,12.9255,13.248687,13.614,13.995084,14.456178,14.778552,14.241558,14.104198,13.724054,13.756454000000002,13.812207,13.432782000000001,13.038717,12.843204,13.887571,14.076072,13.663776,13.323695,13.058636,12.880067,12.365212,10.811097,10.669845,10.449158,10.158119000000001,9.458008,9.244338,9.078535,9.178123,9.455213,9.407542,9.106917999999999,8.8755,8.678443,8.371016000000001,8.153394,8.002796,7.875456,7.5249630000000005,7.299121,7.267,7.002263,6.547687000000001,6.272577,5.751151999999999,5.848408999999999,6.093894000000001,5.638662999999999,6.259633,6.294547000000001,5.967396,5.6778260000000005,5.402761,5.237064,4.584188,3.4515260000000003,3.6854480000000005,3.878544,3.6889999999999996,3.318,3.241511,3.3206019999999996,3.585642,3.6436580000000003,3.0925700000000003,2.593789,1.9437119999999999,1.483127,0.893908,0.608295,0.39905100000000004,0.11556199999999998,0.448196,0.7560680000000001,1.129947,1.739875,2.1115,2.531558,17.408,17.06375,16.922047,17.212607000000002,16.837509,16.406,15.821087,15.330429,15.106951,14.976709,15.219242000000001,15.0955,15.093202999999999,15.395817000000001,15.306407,15.044711999999999,14.853604999999998,15.104157,15.327442000000001,15.615685000000001,16.105147,15.690175,15.321614000000002,14.807580999999999,14.538394,14.230406,14.154973000000002,14.63366,14.234319000000001,13.974037,13.940104000000002,13.537410999999999,13.40386,13.649926,14.285758999999999,14.166335,13.869213,13.964647,14.36315,14.518073000000001,14.281831,14.258842000000001,14.473456,14.701573000000002,14.877906,15.196914999999999,15.244378,14.989446,15.369294,15.61805,15.871198000000001,16.065101000000002,16.400754,16.441937,16.322623999999998,16.463913,16.824253,16.902966,17.404945,18.383695,18.714904999999998,18.464472,18.269897,18.461925,18.710657,18.684966,18.379770999999998,18.577209,18.987576,19.498170000000002,19.448998,19.569773,19.568906,19.876091,20.216829999999998,20.864637,21.542555,21.7875,21.978838,22.156116,22.042361,21.756417000000003,21.482601000000003,21.690217,21.921136999999998,22.324751000000003,23.150337
9-2807357,,,,,,,,,0,0.221969,0.524641,1.012386,1.461392,1.972523,2.109285,2.649419,3.1554889999999998,3.072828,2.792401,2.7188220000000003,2.917091,3.226326,3.4622629999999996,3.196285,2.949785,2.830483,4.20552,4.697785,4.968977,4.81613,4.967302,5.293304,5.638904,5.963642,6.48827,6.854442999999999,7.0080279999999995,7.4862720000000005,7.404447,7.329242999999999,7.5727850000000005,7.845387,7.981560000000001,8.229985000000001,8.682116,9.165253,9.764841,10.009041,10.197546,10.403905,10.768691,11.186097,11.812911999999999,12.418285000000001,12.743472,13.107785,13.489869,13.949963,14.272337,13.735342999999999,13.597983,13.217839000000001,13.251239000000002,13.305992000000002,12.926567,12.532502000000001,12.765582,13.893355999999999,14.165287,13.754991,13.413910000000001,13.147851000000001,12.969282000000002,12.455427,10.901311999999999,10.75906,10.538373,10.247334,9.549224,9.334553,9.16975,9.269338000000001,9.545428,9.497757,9.198133,8.965716,8.766658,8.461231,8.241609,8.092011,7.965671,7.614178,7.3903360000000005,7.357216,7.093478,6.636902,6.3617919999999994,5.840367,5.938624,5.588679,5.132448,5.753418,5.788332,5.459181,5.171611,4.896546,4.730849,4.079973000000001,2.9453110000000002,3.179233,3.372329,3.183785,2.811785,2.736296,2.814387,3.079427,3.138443,2.5863549999999997,2.087574,1.438497,1.062912,0.47469300000000003,0.462491,0.573267,0.526654,0.84559,0.773853,1.147732,1.7576599999999998,2.129285,2.548343,16.902785,16.558535,16.416832,16.708392,16.332294,15.900785,15.316872,14.826214000000002,14.603735999999998,14.473494,14.716026999999999,14.591285000000001,14.588988,14.891601999999999,14.801192000000002,14.539497,14.34839,14.598942000000001,14.821226999999999,15.11147,15.598932000000001,15.18496,14.816398999999999,14.302366000000001,14.033179,13.725191,13.649757999999999,14.128445000000001,13.729104000000001,13.468822,13.434889000000002,13.033196,12.898645,13.145710999999999,13.781544,13.660120000000001,13.363998,13.459432000000001,13.856935,14.012858,13.775616000000001,13.753627,13.968241,14.195357999999999,14.371691,14.6917,14.739163000000001,14.483231,14.864079,15.111835000000001,15.363983,15.558886,15.896539,15.934722,15.817409,15.960698,16.319038,16.397751,16.899729999999998,17.87748,18.20969,17.958257,17.765682,17.95371,18.203442000000003,18.181751000000002,17.871555999999998,18.069994,18.483361,18.991954999999997,18.942783,19.063558,19.064691,19.370876000000003,19.711615,20.358422,21.03734,21.280285,21.474623,21.647902,21.535145999999997,21.252202,20.976385999999998,21.186002,21.416923,21.818535999999998,22.646122000000002
