순번_정류장ID,1-2800886,2-2800879,3-2800880,4-2800882,5-2800885,6-2801092,7-2801109,8-2801123,9-2801133,10-2801306,11-2801320,12-2801328,13-2801163,14-2801394,15-2801431,16-2801178,17-2801179,18-2801439,19-2801500,20-2801584,21-2806837,22-2801647
1-2800886,0,0.21369200000000002,0.431302,0.5827760000000001,0.788552,1.0576940000000001,1.264289,1.517103,1.7193509999999999,2.167719,1.773163,1.806056,2.302807,2.455516,2.757614,3.2925489999999997,3.876723,4.171733000000001,4.795259,5.302092,5.702609,6.073341
2-2800879,,0,0.21761,0.369085,0.574861,0.8680030000000001,1.1245969999999998,1.387181,1.589429,2.0377970000000003,1.643241,1.676135,2.172885,2.3255939999999997,2.627693,3.162627,3.746801,4.041812,4.665337,5.1721699999999995,5.571687,5.94342
3-2800880,,,0,0.151474,0.35725100000000004,0.650392,0.9069870000000001,1.2078010000000001,1.4100489999999999,2.001593,1.8608509999999998,1.893745,2.390495,2.5432040000000002,2.845303,3.380237,3.937589,3.850432,4.473957,4.98079,5.380307,5.75204
4-2800882,,,,0,0.20577600000000001,0.49891800000000003,0.755513,1.056327,1.257575,1.849119,2.012326,2.045219,2.54197,2.6946790000000003,2.9967770000000002,3.531712,3.786115,3.698957,4.322483,4.829316,5.229832,5.6005650000000005
5-2800885,,,,,0,0.293142,0.549737,0.8505510000000001,1.051799,1.643343,2.0388990000000002,2.1495040000000003,2.646255,2.798964,3.1010619999999998,3.635997,3.580339,3.493181,4.116707,4.62354,5.023057,5.394789
6-2801092,,,,,,0,0.25659499999999996,0.557409,0.758657,1.350201,1.744757,1.8563619999999998,2.353113,2.505822,2.80792,3.342855,3.287197,3.200039,3.8235650000000003,4.330398000000001,4.729914,5.102647
7-2801109,,,,,,,0,0.30081399999999997,0.503062,1.094606,1.489162,1.600768,2.097518,2.250227,2.552326,3.0872599999999997,3.097602,3.0104450000000003,3.6339699999999997,4.140803,4.54132,4.913053
8-2801123,,,,,,,,0,0.202248,0.793792,1.188348,1.299954,1.796704,1.949413,2.251512,2.7864459999999998,2.7967880000000003,2.7096310000000003,3.333156,3.839989,4.2395059999999996,4.611239
9-2801133,,,,,,,,,0,0.592544,0.9871,1.1387049999999999,1.635456,1.7881650000000002,2.090263,2.625198,2.59554,2.508382,3.131908,3.6387410000000004,4.038258,4.41099
10-2801306,,,,,,,,,,0,0.394556,0.546162,1.042912,1.1956209999999998,1.4977200000000002,2.032654,2.093172,2.006015,2.629541,3.136374,3.53689,3.9086230000000004
11-2801320,,,,,,,,,,,0,0.151606,0.648356,0.8010649999999999,1.103164,1.638098,2.2222720000000002,2.400571,3.0240970000000003,3.53093,3.9314459999999998,4.302179
12-2801328,,,,,,,,,,,,0,0.496751,0.64946,0.951558,1.486493,2.070667,2.3656770000000003,2.989203,3.496036,3.896552,4.268285
13-2801163,,,,,,,,,,,,,0,0.15270899999999998,0.454808,0.989742,1.573916,1.868927,2.492453,2.999286,3.3998019999999998,3.7715349999999996
14-2801394,,,,,,,,,,,,,,0,0.30209899999999995,0.837033,1.4212069999999999,1.716218,2.339744,2.8465759999999998,3.246093,3.6188260000000003
15-2801431,,,,,,,,,,,,,,,0,0.534935,1.119109,1.4141190000000001,2.037645,2.544478,2.943994,3.315727
16-2801178,,,,,,,,,,,,,,,,0,0.584174,0.879185,1.50271,2.009543,2.4100599999999996,2.781793
17-2801179,,,,,,,,,,,,,,,,,0,0.295011,0.918537,1.42537,1.8258860000000001,2.1966189999999997
18-2801439,,,,,,,,,,,,,,,,,,0,0.623526,1.1303590000000001,1.529876,1.9016080000000002
19-2801500,,,,,,,,,,,,,,,,,,,0,0.505833,0.90535,1.277083
20-2801584,,,,,,,,,,,,,,,,,,,,0,0.400517,0.77225
21-2806837,,,,,,,,,,,,,,,,,,,,,0,0.372733
22-2801647,,,,,,,,,,,,,,,,,,,,,,0
