순번_정류장ID,117-2802185,118-2801848,119-2802173,120-2802162,121-2802153,122-2801846,123-2802103,124-2802052,125-2801847,126-2801990,127-2801952,128-2801805,129-2801799,130-2801777,131-2801772,132-2801770,133-2800791,134-2800789,135-2800766,136-2800748,137-2800721,138-2800703,139-2800699,140-2800712,141-2800691,142-2800684,143-2800676,144-2800667,145-2800657,146-2800340,147-2800624,148-2800619,149-2806245,150-2800594,151-2804976,152-2800583,153-2800571,154-2800554,155-2800547,156-2800525,157-2800520,158-2800513,159-2805304,160-2800498,161-2800497,162-2800493,163-2800344,164-2800481,165-2803595,166-2800468,167-2800465,168-2800462,169-2800460,170-2800453,171-2800450,172-2804825,173-2800455,174-2800457,175-2800438,176-2800427,177-2800423,178-2800414,179-2800023,180-2800054,181-2805419,182-2805722,183-2805399,184-2800034,185-2800047,186-2804479,187-2804480,188-2804481,189-2803585,190-2805219,191-2800056,192-2800057,193-2800006,194-2800299,195-2800293,196-2804058,197-2806304,198-2800295,199-2804482,200-2800300,201-2805078,202-2800297,203-2803994,204-2803992,205-2806003,206-2803990,207-2803981,208-2806017,209-2805721,210-2803974,211-2803875,212-2803871,213-2803868,214-2803864,215-2800255,216-2803615,217-2803614,218-2803859,219-2803858,220-2803611,221-2803609,222-2803607,223-2803853,224-2803600,225-2800273,226-2803601,227-2804331,228-2803581,229-2800271,230-2807150
117-2802185,0,0.25217399999999995,0.5427420000000001,0.9915799999999999,1.298235,1.471364,1.7685380000000002,2.243075,2.511724,2.820129,3.315639,3.8232019999999998,4.181696,4.787069,5.018912,4.967358,5.773178,5.965749,6.736928,6.987842999999999,7.325457000000001,7.552171,7.95644,8.140174,8.453766,8.683829,8.993044,9.33198,9.505980000000001,9.796136,10.340622999999999,10.62102,11.041047,11.368075,12.035926,12.806867,13.165674,13.646521,13.776851,14.535292000000002,14.907406,15.391376000000001,15.822731,16.8382,17.122107999999997,17.630438,17.929238,18.178198000000002,18.773146,19.004327,19.284174,19.565507999999998,19.812263,20.237417,20.573938000000002,20.768245999999998,21.015221,21.314284,21.957667,22.439117,22.855985999999998,23.309413,23.606485,25.504305,26.420106,26.846528999999997,27.362652,28.633982,30.821337,31.111394,31.421858,31.812860999999998,32.381195,33.552475,34.008302,34.604389000000005,35.513651,37.568087,37.993767,38.346052,39.448894,40.008621000000005,40.39457,40.913055,41.49828,42.220671,42.674176,43.078359000000006,43.542265,44.28872,46.308099,46.999614,47.867096000000004,49.037914,49.456113,49.959276,48.880514,49.895682,50.023018,50.568287,51.535214,51.901923,52.814918000000006,53.16423,53.599472,52.390533000000005,51.02874,48.244355,47.782073,47.571346000000005,47.400638,47.140972,46.663523,45.782889000000004
118-2801848,,0,0.290569,0.739406,1.0460610000000001,1.4641899999999999,1.761364,2.2359009999999997,2.50455,2.8129560000000002,3.308466,3.817028,4.175522,4.780896,4.766739,4.713185,5.518004,5.712575,6.483755,6.733669,7.0722830000000005,7.2979970000000005,7.703266,7.8870000000000005,8.200593,8.430655999999999,8.74187,9.079807,9.254807000000001,9.542962,10.08845,10.368847,10.788872999999999,11.115901,11.782752,12.553694,12.9135,13.393347,13.523677,14.284118,14.655232999999999,15.140201999999999,15.570557,16.587026,16.867933999999998,17.377264999999998,17.676064999999998,17.925024,18.519973,18.751153,19.03,19.311335,19.55809,19.985244,20.321764,20.515073,20.764048000000003,21.06411,21.706493,22.188943,22.600813,23.05624,23.354311,25.252132,26.166932,26.592354999999998,27.110478999999998,28.384808000000003,30.567164000000002,30.86122,31.172684999999998,31.561687,32.129021,33.301301,33.752128000000006,34.352216,35.260477,37.318914,37.743594,38.094878,39.197721,39.756446999999994,40.138396,40.660880999999996,41.244106,41.969497,42.422003000000004,42.821185,43.292092,44.037546999999996,46.052925,46.748441,47.611923,48.785740000000004,49.20694,49.704102,48.627340000000004,49.641509,49.770844,50.313113,51.28604,51.647749,52.561744999999995,52.913056999999995,53.344297999999995,52.13836,50.774567,47.990181,47.528898999999996,47.318173,47.144464,46.889798,46.41235,45.531715000000005
119-2802173,,,0,0.448838,0.7564930000000001,1.397622,1.694796,2.169333,2.437982,2.746387,3.242897,3.75046,4.107954,4.714327,4.812307,4.759753,5.5655730000000005,5.757144,6.530323,6.779238,7.117852,7.344566,7.748835000000001,7.932569,8.246161,8.476224,8.787439,9.125375,9.300375,9.590531,10.133018,10.416414999999999,10.834442,11.16147,11.829321,12.598262,12.957069,13.439916,13.568245999999998,14.330687,14.699801,15.184771,15.617126,16.633595,16.913503,17.423833,17.721632999999997,17.972593,18.565542,18.795722,19.076569,19.359904,19.604658999999998,20.031813,20.368333,20.559641,20.807617,21.108679000000002,21.750062,22.233512,22.648381,23.102808,23.400879999999997,25.2987,26.210501,26.640924,27.153048,28.427377000000003,30.610732000000002,30.905789000000002,31.218253999999998,31.606256,32.17459,33.34687,33.798697,34.394784,35.306046,37.364483,37.785163,38.138447,39.241289,39.805015999999995,40.186965,40.70445,41.288675,42.013065999999995,42.467572,42.868753999999996,43.33566,44.085115,46.099494,46.791009,47.659490999999996,48.830309,49.249509,49.749671,48.676909,49.688077,49.814413,50.358682,51.328609,51.694318,52.606314000000005,52.955625,53.39086700000001,52.184929,50.823135,48.03475,47.573468,47.362742,47.193033,46.935367,46.455919,45.575284
120-2802162,,,,0,0.307655,0.948784,1.245958,1.721495,1.990144,2.29855,2.79406,3.301622,3.6601160000000004,4.26549,4.402332,4.349778,5.155598,5.347169,6.121348,6.370263,6.707877000000001,6.9355910000000005,7.339860000000001,7.522594000000001,7.837186,8.066249000000001,8.377464,8.7144,8.8884,9.178556,9.723042999999999,10.00344,10.424467,10.750494999999999,11.418346000000001,12.188286999999999,12.548094,13.026941,13.160271,13.920712,14.290826000000001,14.775796,15.206151,16.222620000000003,16.505527999999998,17.013858,17.311657999999998,17.561618,18.155567,18.385747,18.665594,18.948929,19.192684,19.619838,19.956357999999998,20.151666,20.398642000000002,20.696704,21.342087,21.825537,22.237406,22.692833,22.990904999999998,24.888725,25.803526,26.227949,26.744072999999997,28.018402000000002,30.200757,30.494814,30.804278999999998,31.195281,31.767615000000003,32.935895,33.391721999999994,33.984809000000006,34.896071,36.951508000000004,37.372188,37.729471999999994,38.832314000000004,39.394040999999994,39.776990000000005,40.296475,40.8797,41.603091,42.057596999999994,42.458779,42.920685,43.669140000000006,45.689519,46.381034,47.247516,48.417334000000004,48.843534000000005,49.339696,48.263934000000006,49.281102000000004,49.406438,49.948707,50.915634000000004,51.285343,52.197339,52.54865,52.98289200000001,51.769954,50.41316,47.621775,47.165493,46.951767,46.780058000000004,46.525392,46.042944,45.162309
121-2802153,,,,,0,0.642129,0.9393030000000001,1.41384,1.682489,1.990895,2.486405,2.993967,3.352461,3.9578349999999998,4.2132,4.434246,5.238066000000001,5.4296370000000005,6.203816000000001,6.452731,6.790344,7.017059,7.421328,7.606061,7.918653999999999,8.149716999999999,8.459932,8.798867999999999,8.972868,9.262024,9.806511,10.087908,10.507933999999999,10.832963000000001,11.500814,12.273755,12.632561,13.113407999999998,13.243738,14.003179999999999,14.374294,14.859264000000001,15.289617999999999,16.305087,16.587995000000003,17.096326,17.396126000000002,17.645085,18.238034,18.469214,18.750061,19.030396,19.277151,19.706305,20.038826,20.233134,20.482109,20.781171,21.422554,21.907004,22.319874,22.773301,23.073372,24.970193,25.884994,26.311417,26.828540000000004,28.100869,30.286225,30.579280999999998,30.888746,31.279749,31.851083000000003,33.019362,33.473189,34.068277,34.979538,37.033975,37.458655,37.810939000000005,38.917782,39.475509,39.860458,40.377943,40.963167,41.689559,42.142064000000005,42.541247,43.008153,43.756608,45.771986,46.464502,47.331984000000006,48.502801,48.923001,49.423164,48.347401,49.35957,49.487906,50.035175,51.004101,51.368811,52.281806,52.629118000000005,53.06536,51.856421000000005,50.496628,47.707242,47.24796,47.035234,46.863526,46.60686,46.128411,45.247776
122-2801846,,,,,,0,0.297175,0.7717109999999999,1.040361,1.348766,1.8442759999999998,2.3518380000000003,2.710332,3.3157059999999996,3.571072,4.017995,4.822815,5.014386,5.786565,6.03748,6.376093,6.6028080000000005,7.007077000000001,7.38881,7.704403,7.933466,8.244681,8.582616999999999,8.757617,9.046773,9.589260000000001,9.872657,10.138683,10.464711999999999,11.133563,11.905503999999999,12.262310000000001,12.744157000000001,12.874487,13.635929,14.007043,14.491013,14.922367000000001,15.937835999999999,16.219744,16.729075,17.027875,17.277834,17.869782999999998,18.100963,18.38081,18.663145,18.9089,19.336054,19.672575,19.865883,20.115858,20.414920000000002,21.058303,21.538753,21.951623,22.40905,22.706121,24.604942,25.517743,25.943166,26.460289000000003,27.732618,29.917973999999997,30.21003,30.520495,30.911497999999998,31.481832,32.651111,33.102938,33.699026,34.610287,36.665724,37.090404,37.444688,38.548531,39.108258,39.492207,40.008691999999996,40.593916,41.320308000000004,41.772813,42.173996,42.639902,43.388357,45.405735,46.098251,46.962733,48.13555,48.55575,49.054913,47.97815,48.993319,49.118655,49.662924,50.63285,51.00056,51.913555,52.261866999999995,52.696109,51.49017,50.128377,47.338991,46.878709,46.667983,46.496275,46.240609,45.762159999999994,44.882525
123-2802103,,,,,,,0,0.475537,0.744186,1.052592,1.548102,2.055664,2.414158,3.0205319999999998,3.275897,3.721821,4.52764,4.7192110000000005,5.491391,5.742305,6.079919,6.306633000000001,6.710902000000001,7.094636,7.410228999999999,7.640292,7.950506,8.286442999999998,8.461443,8.751598,9.297086,9.578483,9.844509,10.170537,10.839388,11.60933,11.967136,12.448983,12.578313,13.339754000000001,13.709868,14.195838,14.628193,15.642662,15.924570000000001,16.4319,16.7327,16.98266,17.574609,17.806789000000002,18.085635999999997,18.368971,18.613726,19.04188,19.3754,19.568709,19.818684,20.118745999999998,20.762129,21.244579,21.657448000000002,22.110876,22.408947,24.305768,25.219568,25.648991,26.164115,27.436444,29.6198,29.917856,30.226321000000002,30.617323,31.187657,32.354937,32.811764000000004,33.405852,34.319113,36.37355,36.79623,37.151514,38.252357,38.812083,39.199032,39.716516999999996,40.299741999999995,41.023133,41.477639,41.879821,42.346728000000006,43.092183,45.108561,45.804077,46.668559,47.840376,48.263576,48.759738,47.683976,48.696145,48.82448,49.370748999999996,50.338676,50.706385,51.616381,51.964693,52.399934,51.195996,49.832203,47.045817,46.584534999999995,46.373809,46.2041,45.944434,45.463986,44.587351
124-2802052,,,,,,,,0,0.26864899999999997,0.577055,1.072565,1.580127,1.938621,2.544995,2.800361,3.246284,4.052103,4.241674,5.015854,5.266769,5.604382,5.831097,6.235365,6.620099000000001,6.933692,7.163755,7.47397,7.812906,7.985906,8.277061,8.820549,9.101946,9.369972,9.693,10.361852,11.134793,11.490599000000001,11.971446,12.104776,12.864217,13.235332000000001,13.720301000000001,14.152656,15.168125,15.449032999999998,15.958364000000001,16.255164,16.506123000000002,17.101072,17.331252,17.611099,17.892433999999998,18.136189,18.566343,18.901863,19.095172,19.345147,19.640209,20.285592,20.767042,21.181912,21.638339000000002,21.93541,23.829231,24.744031,25.172454000000002,25.687578,26.960907000000002,29.146263,29.439319,29.747784000000003,30.138786,30.70812,31.8804,32.336227,32.928315000000005,33.840576,35.892013,36.320693,36.675977,37.77482,38.332546,38.717496000000004,39.23798,39.823205,40.547596,41.001102,41.403285,41.867191,42.614646,44.633024,45.325540000000004,46.192021999999994,47.362839,47.788039000000005,48.282202000000005,47.206439,48.220608,48.346942999999996,48.892212,49.862139,50.225849,51.141844,51.489156,51.924397,50.715459,49.355666,46.56828,46.105998,45.895272,45.723563,45.466896999999996,44.988448999999996,44.107814000000005
125-2801847,,,,,,,,,0,0.308406,0.803916,1.3114780000000001,1.669972,2.2763459999999998,2.531711,2.977634,3.783454,3.975025,4.747204,4.999119,5.335733,5.562447,5.966716,6.35045,6.664042,6.895105,7.20432,7.5432559999999995,7.718255999999999,8.006412,8.550899000000001,8.832296000000001,9.100323,9.426350999999999,10.094202000000001,10.864142999999999,11.22395,11.703797,11.834127,12.594567999999999,12.966682,13.450652,13.882007000000002,14.898476,15.180384,15.688714000000001,15.988514000000002,16.237474,16.830423,17.061603,17.34245,17.623785,17.86954,18.296694,18.632214,18.825522,19.074498000000002,19.37256,20.016942999999998,20.497393,20.915262,21.364689000000002,21.666760999999997,23.560582,24.474382000000002,24.901805,25.417929,26.691258,28.876614,29.17267,29.479135,29.873137,30.439471,31.609751,32.064578000000004,32.662665000000004,33.570927000000005,35.626364,36.049044,36.405328000000004,37.506170000000004,38.065897,38.450846000000006,38.971331,39.553556,40.280947,40.734453,41.136635,41.598541,42.345996,44.365375,45.05789,45.922371999999996,47.09519,47.51639,48.014552,46.94079,47.954958000000005,48.081294,48.626563,49.595490000000005,49.960198999999996,50.872195,51.219506,51.655747999999996,50.44981,49.086016,46.301631,45.838349,45.627623,45.454914,45.197247999999995,44.7228,43.839165
126-2801990,,,,,,,,,,0,0.49551000000000006,1.0030729999999999,1.361567,1.9679400000000002,2.223306,2.669229,3.474049,3.6666199999999995,4.4387989999999995,4.689714,5.027328,5.254042,5.658311,6.0410449999999996,6.356637,6.5837,6.896914999999999,7.231851,7.409851,7.697007000000001,8.240494,8.522891,8.792917999999998,9.115946000000001,9.786797,10.553738000000001,10.913545,11.394392,11.525722,12.285163,12.659277000000001,13.142247,13.573602,14.591071,14.869979,15.382309,15.680109,15.927069,16.521017,16.752198,17.033045,17.315379,17.561134,17.989288000000002,18.325809,18.516117,18.766092,19.064155,19.707538,20.190988,20.604857,21.058284,21.357356,23.253176,24.167977,24.5954,25.107523,26.385853000000004,28.568208000000002,28.863265000000002,29.173728999999998,29.563732,30.132066,31.302346000000004,31.752173,32.348259999999996,33.263521999999995,35.319958,35.742638,36.095923,37.194765000000004,37.759492,38.143440999999996,38.660926,39.248151,39.966542,40.426047,40.82723,41.291136,42.039590999999994,44.05597,44.749485,45.613966999999995,46.786784999999995,47.209984000000006,47.708147,46.626385,47.644553,47.771889,48.316158,49.285084999999995,49.652794,50.563789,50.913101,51.347343,50.140405,48.773610999999995,45.991226,45.531944,45.320217,45.148509000000004,44.891843,44.408394,43.53376
