순번_정류장ID,1-2800309,2-2805303,3-2800514,4-2800518,5-2800560,6-2800563,7-2807520,8-2807504,1-2803214,2-2803360,3-2805324,4-2803380,5-2805503,6-2803207,7-2803173,8-2803175
1-2800309,0,2.541223,3.223659,3.5405860000000002,6.116647,7.536445,9.853916,19.582841000000002,31.904386,31.358581,32.170324,36.064659000000006,36.247039,37.225004,37.750199,38.33815
2-2805303,,0,0.6854359999999999,1.002363,3.5784239999999996,4.998222,7.315693,17.044617000000002,29.366163,28.820358000000002,29.632101000000002,33.526436,33.708816,34.686780999999996,35.211976,35.799927000000004
3-2800514,,,0,0.326926,2.902987,4.322785,6.640256,16.369181,28.690727000000003,28.144921999999998,28.956664,32.851,33.03338,34.011344,34.536539000000005,35.123490000000004
4-2800518,,,,0,2.576061,3.995859,6.3133300000000006,16.042254999999997,28.3638,27.817995,28.629738,32.524074,32.705453000000006,33.685418,34.209613,34.796564000000004
5-2800560,,,,,0,1.420798,3.7382690000000003,13.467194000000001,25.78874,25.242933999999998,26.054676999999998,29.948013,30.130391999999997,31.109357,31.635552,32.221503000000006
6-2800563,,,,,,0,2.317471,12.046396000000001,24.367942000000003,23.822136999999998,24.633879,28.528215000000003,28.710595,29.689559000000003,30.213755,30.801705
7-2807520,,,,,,,0,9.798925,22.12047,21.574665,22.386408,26.280744,26.463123,27.442088000000002,27.967283000000002,28.553234000000003
8-2807504,,,,,,,,0,12.321546000000001,11.775741,12.587484,16.480819,16.663199,17.642164,18.167359,18.75431
1-2803214,,,,,,,,,0.0,1.8431950000000001,2.0079380000000002,6.339274,6.521653,7.500617999999999,8.025813000000001,8.612764
2-2803360,,,,,,,,,,0.0,0.811743,5.143079,5.325458,6.304423,6.829617999999999,7.416569
3-2805324,,,,,,,,,,,0.0,4.344336,4.525715,5.5046800000000005,6.029875,6.616826
4-2803380,,,,,,,,,,,,0.0,0.18238,1.1613440000000002,1.6865400000000002,2.273491
5-2805503,,,,,,,,,,,,,0.0,0.978965,1.50416,2.091111
6-2803207,,,,,,,,,,,,,,0.0,0.525195,1.1121459999999999
7-2803173,,,,,,,,,,,,,,,0.0,0.586951
8-2803175,,,,,,,,,,,,,,,,0.0
