순번_정류장ID,7-2807566,8-2807567,9-2807571,10-2807570,11-2807564
7-2807566,0,0.007857,0.612568,0.6166229999999999,0.620628
8-2807567,,0,0.604711,0.6087670000000001,0.612771
9-2807571,,,0,0.004056000000000001,0.00806
10-2807570,,,,0,0.004004
11-2807564,,,,,0
