순번_정류장ID,1-2800888,2-2800910,3-2800924,4-2800926,5-2800933,6-2800939,7-2800842,8-2800999,9-2801036,10-2801058,11-2801268,12-2801240,13-2801158,14-2801159,15-2801409,16-2801493,17-2805939,18-2801667,19-2803646,20-2801949,21-2801984,22-2802075,23-2802134,24-2802166,25-2802183,26-2802191,27-2802218,28-2802254,29-2801816,30-2803533,31-2803532,32-2802259,33-2801851,34-2801832,35-2801830,36-2801824,37-2801826,38-2805656,39-2803799,40-2803804,41-2803816,42-2803801,43-2804901,44-2805043,45-2804854,46-2805023
1-2800888,0,0.9015299999999999,2.227507,2.8349599999999997,3.196745,3.432754,4.046687,4.402912000000001,4.99886,5.343754,6.354254,6.691897999999999,7.425355000000001,7.722802000000001,7.972374,8.703959,9.144237,9.964428999999999,10.175724,12.843784,13.276598000000002,14.059860999999998,14.667024,15.157631,15.84035,16.500521,17.669684,18.98938,19.683305999999998,20.149302,20.716219,21.116993,20.72861,20.213772,20.403885,20.50759,20.727929,21.053959,21.233635999999997,21.611514,21.910277,22.10987,22.563423999999998,22.499311,23.02536,23.072742
2-2800910,,0,1.324977,1.9324290000000002,2.2942150000000003,2.530224,3.144157,3.500382,4.096329,4.441224,5.451724,5.788368,6.523825,6.819272,7.069844,7.801429,8.242707000000001,9.060899000000001,9.272194,11.940254,12.373068,13.157331,13.764494000000001,14.255101000000002,14.93782,15.597991,16.765154000000003,18.08685,18.778776,19.246772,19.814689,20.213462,19.82708,19.311241,19.500355,19.604059,19.824398000000002,20.149429,20.330106,20.707984,21.006747,21.20734,21.661894,21.596781,22.12183,22.168212
3-2800924,,,0,0.607452,0.9692379999999999,1.2052459999999998,1.81918,2.175405,2.772352,3.116247,4.126747,4.4633910000000006,5.1978480000000005,5.495295,5.744867,6.4774519999999995,6.91673,7.735922,7.947216,10.615277,11.048091000000001,11.832353999999999,12.438517,12.930124000000001,13.612843,14.273014000000002,15.440176999999998,16.761873,17.454798999999998,17.921795,18.489712,18.889485,18.500102,17.986264000000002,18.175378,18.280082,18.499420999999998,18.826452,19.005128,19.383007,19.68177,19.881363,20.334916,20.272804,20.798853,20.843235
4-2800926,,,,0,0.361786,0.5977939999999999,1.2117280000000001,1.567952,2.1649,2.508794,3.5192940000000004,3.8559379999999996,4.590396,4.886843,5.137415,5.87,6.309278,7.129469,7.340764,10.006825,10.440638,11.224901,11.832064,12.321672,13.005391,13.664562,14.832725,16.156420999999998,16.847347,17.314343,17.88126,18.282033,17.89265,17.379812,17.567925,17.672629999999998,17.891969,18.217,18.397676,18.776555,19.076318,19.273911,19.729464,19.665352,20.189401,20.235782
5-2800933,,,,,0,0.23600900000000002,0.849942,1.206167,1.802114,2.148009,3.157509,3.4951529999999997,4.22961,4.526057,4.776629,5.508214,5.948492,6.767684,6.978978999999999,9.647039,10.079853,10.864116000000001,11.471279,11.961886,12.644605,13.304776,14.472939000000002,15.793635,16.486561,16.953557,17.520474,17.920247,17.532865,17.019026,17.20714,17.309844000000002,17.530184,17.857214000000003,18.036891,18.414769,18.714532000000002,18.912125,19.366679,19.303566,19.829615,19.874997
6-2800939,,,,,,0,0.613934,0.970158,1.5671059999999999,1.912,2.9225,3.259144,3.9936019999999997,4.290049,4.540621,5.272206,5.712484,6.531675,6.74297,9.410031,9.843844,10.628107,11.23427,11.724878,12.407597,13.067768,14.235930999999999,15.558627,16.249553,16.716549,17.284466000000002,17.684239,17.295856,16.782018,16.971131,17.074835999999998,17.295175,17.621206,17.800882,18.179761,18.477524,18.676117,19.130670000000002,19.067558,19.592607,19.638988
7-2800842,,,,,,,0,0.357225,0.9531729999999999,1.298067,2.308567,2.645211,3.3796690000000003,3.6761150000000002,3.9266870000000003,4.658273,5.09855,5.917742,6.129037,8.797097,9.229911,10.015174,10.621336999999999,11.111944,11.794664,12.454835000000001,13.621997,14.944693,15.635619,16.102615,16.670532,17.071306,16.682923000000002,16.169085,16.358198,16.461903,16.682242000000002,17.007273,17.187949,17.565827,17.86459,18.063183,18.517737,18.454624,18.979673000000002,19.024055
8-2800999,,,,,,,,0,0.5969479999999999,0.940842,1.9523419999999998,2.288986,3.023444,3.319891,3.5704629999999997,4.301048000000001,4.741326,5.560517,5.771812000000001,8.438873,8.873686,9.657949,10.264111999999999,10.754719999999999,11.436439,12.09861,13.265773000000001,14.586469000000001,15.280395,15.746391000000001,16.314308,16.714081,16.325698000000003,15.81086,16.000973000000002,16.104678,16.324017,16.650048,16.829724,17.208603,17.507366,17.705959,18.160512,18.0964,18.621449,18.666829999999997
9-2801036,,,,,,,,,0,0.344895,1.3553950000000001,1.6920389999999998,2.4264959999999998,2.722943,2.9735150000000004,3.7051,4.145378,4.96457,5.175864,7.842925,8.275739,9.061002,9.667164,10.157772,10.840491,11.500662,12.668825,13.990521,14.682447,15.149443,15.717360000000001,16.117133,15.72875,15.214912,15.404026000000002,15.507729999999999,15.728069,16.0531,16.233776000000002,16.611655,16.910418,17.109011,17.563564000000003,17.500452,18.025501000000002,18.070883
10-2801058,,,,,,,,,,0,1.0105,1.3471440000000001,2.081602,2.3780490000000003,2.628621,3.360206,3.8004839999999995,4.619675,4.83097,7.498031,7.9308440000000004,8.717107,9.32227,9.813878,10.495597,11.155768,12.323931,13.645627,14.338553,14.804549,15.372466000000001,15.772239,15.383856,14.871018,15.060131,15.162835999999999,15.383175,15.708206,15.888882,16.266761,16.565524,16.765117,17.21867,17.155558,17.680607000000002,17.728988
