순번_정류장ID,1-2805936,2-2805934,3-2800328,4-2800640,5-2800636,6-2800637,7-2800647,8-2800666,9-2800678,10-2800688,11-2805582,12-2800715,13-2800752,14-2800788,15-2800799,16-2800804,17-2803056,18-2802651,19-2803065,20-2803067,21-2803040,22-2803071,23-2803082,24-2803093,25-2803107,26-2803121,27-2803125,28-2803225,29-2803233,30-2803234,31-2803237,32-2803241,33-2802763,34-2802635,35-2802730,36-2802727,37-2802734,38-2802756,39-2802782,40-2802829,41-2802814,42-2802801,43-2802791,44-2802784,45-2802785,46-2802796,47-2802177,48-2802817,49-2802618,50-2802176,51-2802169,52-2802154,53-2801846,54-2802103,55-2802067,56-2802056,57-2802050,58-2802075,59-2802089,60-2802079,61-2802060,62-2804815,63-2802071,64-2802091,65-2802097,66-2802088,67-2802081,68-2802066,69-2802044,70-2801906,71-2802004,72-2802000,73-2807183,74-2802018,75-2800097,76-2800060,77-2800094,78-2800092,79-2800091,80-2800081,81-2800085,82-2800087,83-2800090,84-2800089
11-2805582,,,,,,,,,,,0,0.175705,0.668299,1.3406959999999999,1.755408,1.9964790000000001,2.365277,2.857935,3.2694669999999997,3.694097,3.8480589999999997,4.045567,4.347181,4.540957,4.804652,4.995759,5.39803,5.542929,5.108683,5.1173269999999995,5.40226,5.292774,5.209556,6.032467,5.738492,5.285371,5.374154,5.6763639999999995,6.177666,6.868457,7.229042999999999,7.2989999999999995,7.447103,7.298411,7.164513,7.447881,7.760944,8.206434,8.528125,8.772484,8.836458,8.418053,8.014674000000001,7.7185,7.642538,7.941517,8.277722,8.445471000000001,8.746525,8.92095,9.302364,9.463836,9.673408,9.813165,9.998405,9.904287,9.950365,10.266810000000001,10.129644,10.489085000000001,10.681691,11.062091,11.76403,12.294458,13.020603,13.466022,13.961848000000002,14.267879999999998,14.598996,15.376864000000001,15.267532000000001,15.656394,15.956178,16.173227
12-2800715,,,,,,,,,,,,0,0.492595,1.1649909999999999,1.579703,1.820775,2.189572,2.68123,3.092762,3.5173919999999996,3.672354,3.8698620000000004,4.171476,4.365252,4.627948,4.818054,5.222325,5.367224,4.932978,4.940622,5.226555,5.11707,5.0338519999999995,5.8587620000000005,5.562787,5.108667,5.197449,5.501659,6.001961,6.693753,7.053338,7.124295,7.270397999999999,7.122706,6.988808000000001,7.272175999999999,7.584239,8.03073,8.35242,8.596779,8.659753,8.240348,7.837969,7.541795,7.465834,7.764811999999999,8.101017,8.268766000000001,8.56982,8.744245,9.125658999999999,9.287131,9.496704,9.636460000000001,9.8217,9.727582,9.773660000000001,10.090105,9.952939,10.312380000000001,10.504987,10.885387,11.587325,12.117753,12.843898,13.289317,13.785144,14.091176,14.422291,15.200159,15.090826999999999,15.479689000000002,15.779473000000001,15.996523000000002
13-2800752,,,,,,,,,,,,,0,0.672397,1.088108,1.32918,1.697978,2.189636,2.602168,3.025798,3.1797590000000002,3.378268,3.679882,4.076658,4.339353,4.52946,4.93173,4.876629,4.442383,4.450028,4.734961,4.626475,4.543257,5.365168,5.433193,4.978072,5.067855000000001,5.371065,5.872367,6.5631580000000005,6.923744,6.991700999999999,7.141804,7.342982000000001,7.209084,7.492452,7.805515,8.251006,8.572696,8.816055,8.87703,8.457625,8.055246,7.7590710000000005,7.683110000000001,7.982089,8.318292999999999,8.486042999999999,8.787096,8.961521000000001,9.342935,9.504407,9.713980000000001,9.853736,10.038976,9.944858,9.990936,10.307382,10.170214999999999,10.529657,10.722263,11.102663,11.804601,12.335028999999999,13.061175,13.506592999999999,14.00242,14.308451999999999,14.639567000000001,15.417435999999999,15.308103,15.696966,15.996749,16.213798999999998
14-2800788,,,,,,,,,,,,,,0,0.41571199999999997,0.656783,1.0255809999999999,1.518239,1.929771,2.3544009999999997,2.508363,2.706871,3.008485,3.405261,3.6679559999999998,3.8580629999999996,4.261334,4.203233,3.769986,3.7766309999999996,4.062564,3.953078,3.8698599999999996,4.693771,4.758796,4.306675,4.3954580000000005,4.698668,5.1999699999999995,5.890761,6.251347,6.3213040000000005,6.469407,6.734622,6.679817,6.962185000000001,7.277247999999999,7.721738,8.043429,8.288788,8.350762,7.929357,7.5289779999999995,7.232804,7.156842,7.455821,7.792026,7.959775,8.259829,8.433254,8.814668,8.97614,9.185711999999999,9.326469,9.512709,9.416591,9.464669,9.779114,9.641948,10.003389,10.195995,10.575395,11.276334,11.806761999999999,12.532907000000002,12.978326,13.476151999999999,13.780184,14.1133,14.889168,14.781835999999998,15.168698000000001,15.468482,15.686531
15-2800799,,,,,,,,,,,,,,,0,0.24107199999999998,0.60987,1.102527,1.51406,1.9386900000000002,2.092651,2.2911599999999996,2.5927740000000004,2.98955,3.2522450000000003,3.4423519999999996,3.845622,3.787521,3.354275,3.3609199999999997,3.6468529999999997,3.5373669999999997,3.4541489999999997,4.27806,4.344084,3.8919639999999998,3.979747,4.283957,4.784259,5.47505,5.836636,5.904593,6.054695,6.31891,6.263105,6.546474,6.860536,7.306027,7.628717,7.873075999999999,7.934050999999999,7.514646000000001,7.112267,6.816092,6.740131,7.039110000000001,7.375314,7.543064,7.844117,8.018542,8.399957,8.561428,8.773000999999999,8.910757,9.095997,9.001878999999999,9.047957,9.364403,9.227236,9.586678,9.779284,10.161684,10.863622,11.39205,12.118196000000001,12.563614,13.059441,13.365473000000001,13.696588,14.474457000000001,14.365124,14.755987,15.053770000000002,15.27082
16-2800804,,,,,,,,,,,,,,,,0,0.368798,0.860456,1.271988,1.696618,1.85058,2.0490880000000002,2.350702,2.747478,3.010174,3.20028,3.6035510000000004,3.54645,3.113204,3.119848,3.4057809999999997,3.2962949999999998,3.213077,4.035988,4.1020129999999995,3.648892,3.737675,4.040885,4.5431870000000005,5.232978,5.594564,5.664521,5.812624,6.074839,6.0240339999999994,6.306401999999999,6.619464999999999,7.065955000000001,7.387646000000001,7.632005,7.692978999999999,7.274574,6.870195,6.574021000000001,6.499059,6.797038000000001,7.133242999999999,7.300992,7.6020460000000005,7.776471000000001,8.157885,8.322357,8.531929,8.671686,8.853926,8.760808,8.808886,9.123331,8.986165,9.344606,9.537212,9.917612,10.619551,11.149979,11.876124,12.324542999999998,12.818369,13.123401000000001,13.454517000000001,14.232385,14.123053,14.511915,14.811698999999999,15.031748
17-2803056,,,,,,,,,,,,,,,,,0,0.491658,0.9031899999999999,1.327821,1.481782,1.680291,1.981904,2.37868,2.6413759999999997,2.831482,3.233753,3.1766520000000003,2.7434060000000002,2.750051,3.0359830000000003,2.926498,2.84328,3.66719,3.735215,3.2810949999999997,3.368877,3.673087,4.17339,4.864180999999999,5.225766999999999,5.294723,5.4438260000000005,5.706041,5.924062,6.2074300000000004,6.521493,6.9659830000000005,7.2866740000000005,7.532033,7.593007000000001,7.174602,6.772222999999999,6.475048999999999,6.401087,6.698066000000001,7.034271,7.20202,7.503074000000001,7.677499000000001,8.058913,8.220385,8.429957,8.569714,8.754954,8.662836,8.708914,9.025359,8.886192999999999,9.247634,9.438241,9.82064,10.520579,11.051007,11.777152000000001,12.222571,12.718397,13.02443,13.355545000000001,14.133413000000001,14.024080999999999,14.412942999999999,14.714726999999998,14.929776
18-2802651,,,,,,,,,,,,,,,,,,0,0.41153199999999995,0.8421629999999999,0.996124,1.188633,1.490246,1.8870220000000002,2.149718,2.340825,2.742095,2.6849939999999997,2.251748,2.258393,2.544326,2.4348400000000003,2.3516220000000003,3.175533,3.373557,2.919437,3.00822,3.311429,3.812732,4.503523,4.864109,4.932065000000001,5.081168,5.346383,5.695578,5.978946,6.293009,6.7375,7.0601899999999995,7.304549000000001,7.684335000000001,7.3081179999999994,7.055739999999999,6.759564999999999,6.683603999999999,6.982583,7.3187869999999995,7.694678,7.995731,8.170157000000001,8.551571000000001,8.715043,8.924615,9.062371,9.21647,9.153494,9.199572,9.516017,9.37885,9.738292,9.932898,10.313298,11.013237,11.543664,12.269810000000001,12.715228,13.211054999999998,13.517087,13.848203,14.628070999999998,14.516739000000001,14.905601,15.207385,15.422433999999999
19-2803065,,,,,,,,,,,,,,,,,,,0,0.43063,0.584592,0.9461,1.247714,1.6444900000000002,1.907186,2.097292,2.499563,2.688333,2.460216,2.46686,2.752793,2.697514,2.614296,3.4382059999999997,3.6352309999999997,3.1831110000000002,3.271893,3.575103,4.076405,4.767197,5.127782,5.195739,5.344842,5.609057,5.959251999999999,6.24362,6.5566830000000005,7.002174,7.322864,7.567222999999999,7.9470089999999995,7.571791999999999,7.319413000000001,7.024239,6.947278,7.247256,7.583461,7.999210000000001,8.300264,8.475689,8.856103,9.017575,9.228148,9.368903999999999,9.480144000000001,9.488026,9.534104,9.850549,9.713383,10.072824,10.265431,10.645831,11.347769,11.878197,12.604341999999999,13.049761,13.545588,13.85162,14.182735000000001,14.960603,14.851270999999999,15.240132999999998,15.539917,15.756967000000001
20-2803067,,,,,,,,,,,,,,,,,,,,0,0.153961,0.51547,0.817084,1.21386,1.4765549999999998,1.667662,2.0699330000000002,2.258702,2.029585,2.0362299999999998,2.322163,2.554677,2.471459,3.2953699999999997,3.788139,3.612741,3.7025230000000002,4.005733,4.506035,5.19536,5.555946,5.627369,5.775472,6.0416870000000005,6.389882,6.67425,6.987313,7.430803999999999,7.752494,7.996853,8.376638999999999,8.001422,7.752044000000001,7.452869000000001,7.378908,7.676887,8.012091,8.43084,8.731894,8.905319,9.288733,9.449205000000001,9.658778,9.797533999999999,9.911774000000001,9.918656,9.964734,10.28118,10.144013000000001,10.503455,10.696061,11.076461,11.778399,12.308827,13.034972999999999,13.480391000000001,13.976218,14.28225,14.613365,15.391232999999998,15.281901000000001,15.670763,15.970547,16.187597
