순번_정류장ID,1-2802026,2-2802031,3-2802010,4-2801884,5-2801885,6-2802001,7-2801887,8-2802025,9-2802045,10-2801888,11-2802021,12-2801968,13-2801176
1-2802026,0,0.47126999999999997,0.647233,0.986844,1.126,1.33121,1.591332,1.8075970000000001,1.9368470000000002,2.167002,2.588343,2.705514,2.923396
2-2802031,,0,0.175964,0.515575,0.6547310000000001,0.8599399999999999,1.120063,1.335135,1.690578,1.9207330000000002,2.342074,2.234245,2.452127
3-2802010,,,0,0.339611,0.478767,0.6839770000000001,0.9441,1.159171,1.514614,1.7447689999999998,2.1661099999999998,2.058282,2.276163
4-2801884,,,,0,0.139157,0.344366,0.605489,0.8205610000000001,1.1760030000000001,1.406158,1.8274990000000002,1.918671,2.136552
5-2801885,,,,,0,0.205209,0.46633199999999997,0.681404,1.0368469999999999,1.267002,1.688343,1.779514,1.997396
6-2802001,,,,,,0,0.261123,0.476195,0.8316370000000001,1.061792,1.483133,1.5743049999999998,1.792186
7-2801887,,,,,,,0,0.21507199999999999,0.571515,0.80167,1.223011,1.5891819999999999,1.807064
8-2802025,,,,,,,,0,0.356443,0.586598,1.007939,1.374111,1.591992
9-2802045,,,,,,,,,0,0.23015500000000003,0.651496,1.066639,1.429549
10-2801888,,,,,,,,,,0,0.42134099999999997,0.836484,1.199394
11-2802021,,,,,,,,,,,0,0.41714399999999996,0.780053
12-2801968,,,,,,,,,,,,0,0.36291
13-2801176,,,,,,,,,,,,,0
