순번_정류장ID,79-2805804,80-2801168,81-2803645,82-2801666,83-2801633,84-2801192,85-2801604,86-2801555,87-2801181,88-2801508,89-2801482,90-2801450,91-2801438,92-2805321,93-2801461,94-2801462,95-2804438,96-2803644,97-2800676,98-2800667,99-2800657,100-2800340,101-2800624,102-2800619,103-2806215,104-2807461,105-2806729,106-2806175,107-2806745,108-2806743,109-2806902,110-2800582,111-2800579,112-2800570,113-2800558,114-2800552,115-2800338,116-2800538,117-2800525,118-2800520,119-2800513,120-2805304,121-2800498,122-2800497,123-2800493,124-2800489,125-2800483,126-2800475,127-2800471,128-2800467,129-2800449,130-2800441,131-2800436,132-2800433,133-2800425,134-2800321,135-2803560,136-2803561,137-2803562,138-2800395,139-2800397,140-2800399,141-2800316,142-2805901,143-2800410,144-2800434,145-2800443,146-2800458,147-2800330,148-2800473,149-2805322,150-2800356,151-2800358,152-2800360
79-2805804,0,0.15319000000000002,0.399336,0.61757,1.037001,1.28541,1.900351,2.3628270000000002,2.377395,2.707202,2.7336419999999997,2.789427,3.2209790000000003,3.7124080000000004,3.866565,4.04283,4.600697,6.649000999999999,7.378222,7.717158,7.891158,8.180314,8.724801,8.785505,8.786878,9.268476,9.626743,10.096204,10.491425999999999,10.922691,10.802539999999999,10.634035,10.733042999999999,11.015305999999999,11.245609,11.249450999999999,10.973049000000001,11.166499,11.799469,12.169584,12.654553,13.086908,14.101377,14.383285,14.891616,15.327669,15.524939999999999,15.756503,15.887676,16.112498000000002,16.783952,17.463035,17.182068,16.928895,17.05795,17.619239999999998,18.623179,19.438817999999998,19.794202,20.170355999999998,20.14,19.92547,19.775973999999998,19.048538,18.208234,18.26109,17.971936,17.821087,18.057054,18.374046,17.912884,18.713214999999998,19.167134,19.426305
80-2801168,,0,0.24614499999999997,0.46438,0.883811,1.13222,1.747161,2.209637,2.4208830000000003,2.750689,2.580452,2.636237,3.067789,3.666218,3.820375,3.99664,4.559507,6.607811,7.337032000000001,7.674967999999999,7.849968,8.139123,8.683611,8.739315,8.740688,9.222286,9.580553,10.050014,10.445236,10.877500999999999,10.75535,10.587845,10.686853,10.969116,11.199419,11.096261,10.819859,11.014308,11.646279,12.017394,12.502363,12.932718,13.949187,14.231095000000002,14.740426000000001,15.173479,15.37175,15.602313,15.735485999999998,15.958307999999999,16.630762,17.309845000000003,17.027878,16.776705,16.90576,17.46605,18.469989,19.283628,19.641012,20.018166,19.986810000000002,19.77228,19.623784,18.896348,18.055044,18.107899,17.818746,17.667897,17.903864000000002,18.221856,17.760694,18.561025,19.014944,19.274115
81-2803645,,,0,0.221235,0.6406649999999999,0.889075,1.504016,1.966492,2.23706,2.566866,2.337307,2.3930919999999998,2.8246439999999997,3.4230720000000003,3.57723,3.7534949999999996,4.316362000000001,6.364666000000001,7.093886,7.431823,7.606822,7.8959779999999995,8.440466,8.49617,8.497542999999999,8.979141,9.337408,9.806869,10.20209,10.633356,10.513204,10.345699,10.443708,10.724971,10.957272999999999,10.853116,10.575714,10.770163,11.402134,11.773247999999999,12.259217999999999,12.690572999999999,13.705042,13.98795,14.497279999999998,14.931334,15.129604,15.358167000000002,15.491341,15.715163,16.387616,17.0667,16.784733,16.532559,16.661615,17.221905,18.226843,19.041483,19.397867,19.775021,19.743665,19.529135,19.379639,18.652203,17.812898999999998,17.864754,17.5756,17.425751,17.661719,17.979710999999998,17.518549,18.317879,18.771798999999998,19.03197
82-2801666,,,,0,0.41943100000000005,0.66784,1.282781,1.745257,2.0158259999999997,2.345632,2.116073,2.171857,2.603409,3.201838,3.3559949999999996,3.53226,4.095127,6.143431,6.872652,7.210588,7.385588,7.6747440000000005,8.219231,8.274935000000001,8.276308,8.757906,9.116174,9.585635,9.980856,10.412122,10.29197,10.124464999999999,10.222472999999999,10.504736999999999,10.735039,10.631881,10.355478999999999,10.548929,11.1819,11.552014,12.036984,12.469338,13.484807,13.767714999999999,14.275046,14.710099,14.908370000000001,15.137932999999999,15.270106,15.493928,16.166382000000002,16.846465,16.565499,16.311325,16.441381,16.99867,18.004609,18.819249,19.176632,19.552785999999998,19.522431,19.3079,19.159404000000002,18.430968,17.589664000000003,17.64252,17.355366,17.202517,17.438485,17.757476999999998,17.296314000000002,18.096645000000002,18.552564,18.810735
83-2801633,,,,,0,0.24841,0.864351,1.454125,1.724694,2.0545,1.824941,1.880725,2.312277,2.9107060000000002,3.064864,3.241128,3.8039959999999997,5.8522989999999995,6.581519999999999,6.919455999999999,7.094456,7.383611999999999,7.9280990000000005,7.984803,7.985177,8.466775,8.825042,9.294503,9.689724,10.120989999999999,9.999838,9.832333,9.931341999999999,10.212605,10.443907000000001,10.339749000000001,10.063347,10.257797,10.889768,11.260882,11.745852000000001,12.177207000000001,13.192676,13.474584,13.983914000000002,14.417968,14.615238,14.846801000000001,14.978974,15.202797,15.87425,16.643334,16.361367,16.110193,16.235249,16.795538,17.800476999999997,18.619117000000003,18.973501000000002,19.349654,19.231299,19.015769,18.867272,18.139837,17.299533,17.352388,17.063234,16.912385,17.148353,17.465345000000003,17.005183,17.805513,18.258432,18.519604
84-2801192,,,,,,0,0.615941,1.350417,1.6209850000000001,1.9507919999999999,1.7212319999999999,1.7770169999999998,2.208569,2.806998,2.9611549999999998,3.13742,3.7002870000000003,5.748591,6.477812,6.815747999999999,6.990748,7.279903999999999,7.824391,7.881094999999999,7.881467999999999,8.363066,8.721333999999999,9.190795,9.586016,10.018282000000001,9.89613,9.728625,9.827633,10.109897,10.341199000000001,10.237041,9.960639,10.155089,10.78706,11.158174,11.643144,12.074498,13.089967,13.371875,13.881206,14.315259,14.51353,14.744093,14.876266000000001,15.099088,15.770542,16.557257,16.536658,16.284485,16.412541,16.97283,17.977769,18.792408,19.149792,19.377937,19.127591,18.91406,18.763564000000002,18.037128,17.196824,17.24868,16.960526,16.809677,17.044644,17.363637,16.901474,17.701805,18.157723999999998,18.415895000000003
85-2801604,,,,,,,0,0.735476,1.0060440000000002,1.3358510000000001,1.106291,1.162076,1.593628,2.192057,2.346214,2.522479,3.085346,5.13365,5.862871,6.200807,6.375807,6.664963,7.20945,7.265153999999999,7.266527000000001,7.748125,8.106392,8.575853,8.971075,9.40334,9.282189,9.113684,9.211692,9.493955,9.726258,9.6221,9.345697999999999,9.540148,10.172118,10.543233,11.028202,11.458557,12.475026,12.756934,13.265265,13.699318,13.897589000000002,14.129152,14.261325,14.485147,15.155601,15.941316,16.221283,16.012544000000002,16.142599,16.702889000000003,17.708828,18.522467000000002,18.877851,18.762995999999998,18.512649,18.298119,18.149623000000002,17.422187,16.581882999999998,16.633739000000002,16.344585000000002,16.193735999999998,16.429703,16.747695,16.286533,17.087864,17.540782999999998,17.799954
86-2801555,,,,,,,,0,0.271569,0.601375,0.6091850000000001,1.020551,1.4521030000000001,1.606581,1.7607380000000001,1.9370029999999998,2.4958709999999997,4.544174,5.273395,5.611331,5.786331,6.075487,6.619974000000001,6.679678,6.681052,7.162649000000001,7.520917,7.990378,8.385599000000001,8.817865,8.696713,8.528208,8.626216000000001,8.90948,9.140782000000002,9.423425,9.203173,9.397623,10.030594,10.401708,10.886678,11.317033,12.332502,12.614410000000001,13.12274,13.556794,13.755064,13.987627,14.117801,14.341623,15.013076000000002,15.798792,16.079759,16.094019,16.222075,16.784365,17.787303,18.601943,18.958327,18.620471,18.372125,18.157595,18.007099,17.279663,16.440359,16.492214,16.204060000000002,16.053210999999997,16.289179,16.605171,16.144009,16.945339,17.399258,17.657429999999998
87-2801181,,,,,,,,,0,0.329806,0.7566649999999999,1.168032,1.394328,1.335012,1.48917,1.6654349999999998,2.2243020000000002,4.271605999999999,5.000826,5.338763,5.514762999999999,5.802918,6.347405999999999,6.40811,6.409483,6.891081,7.2493479999999995,7.718808999999999,8.114030999999999,8.545296,8.425145,8.257639999999999,8.354648,8.636911,8.869213,9.152856,9.351654,9.308809,9.769074,10.140189,10.625158,11.056513,12.071982,12.35489,12.86322,13.295274,13.494545,13.726107999999998,13.856281,14.082103,14.751557,15.537272,15.817239,16.071413,16.377554999999997,16.817845000000002,17.823784,18.638423,18.728105,18.359951000000002,18.110605,17.896075,17.746579,17.019143,16.177839000000002,16.229694,15.94254,15.789692,16.027659,16.344651000000002,15.884489000000002,16.68282,17.139739000000002,17.39791
88-2801508,,,,,,,,,,0,0.426859,0.838226,1.064522,1.005206,1.1593639999999998,1.3356290000000002,1.894496,3.9428,4.67202,5.009957,5.184957,5.474112,6.0186,6.078304,6.079676999999999,6.561275,6.919542,7.389003,7.784224000000001,8.215489999999999,8.095339,7.927834,8.025841999999999,8.307105,8.539407,8.82305,9.021848,8.978003,9.439267999999998,9.810382,10.295352000000001,10.726707000000001,11.742175999999999,12.025084,12.532414,12.965468,13.164739,13.395302,13.527475,13.751297000000001,14.422751000000002,15.209466,15.488432999999999,15.740607,16.047749,16.490039000000003,17.494977,18.307617,18.397299,18.030145,17.780799,17.566269000000002,17.416773000000003,16.688337,15.848033,15.900888,15.611734,15.460885000000001,15.696852999999999,16.013845,15.553683,16.355014,16.807933,17.067104
