순번_정류장ID,1-2801920,2-2801928,3-2801931,4-2801949,5-2801960,6-2801974,7-2801964,8-2801953,9-2801952,10-2801788
1-2801920,0,0.25666,0.40116599999999997,0.869017,1.081251,1.390531,1.7421,2.277382,2.43198,2.286571
2-2801928,,0,0.144507,0.6123569999999999,0.824592,1.133872,1.485441,2.020722,2.379293,2.54323
3-2801931,,,0,0.467851,0.680086,0.9893649999999999,1.340934,1.8762159999999999,2.234786,2.687737
4-2801949,,,,0,0.21223499999999998,0.521514,0.873084,1.4083649999999999,1.766935,2.397527
5-2801960,,,,,0,0.30928,0.660849,1.19613,1.554701,2.185292
6-2801974,,,,,,0,0.35157,0.8868510000000001,1.245421,1.8760119999999998
7-2801964,,,,,,,0,0.5352819999999999,0.8938520000000001,1.524443
8-2801953,,,,,,,,0,0.36157,0.9921620000000001
9-2801952,,,,,,,,,0,0.7054779999999999
10-2801788,,,,,,,,,,0
