순번_정류장ID,1-2805759,2-2805529,3-2805839,4-2805561,5-2805841,6-2805450,7-2806913,8-2805580,9-2805332,10-2805742,11-2805229,12-2805231,13-2804894,14-2805053,15-2804947,16-2806520,17-2804948,18-2800583,19-2800579,20-2806074,21-2800570,22-2800558,23-2800552,24-2800338,25-2800544,26-2800541,27-2800530,28-2800523,29-2800519,30-2800517,31-2800515,32-2800508,33-2800506
1-2805759,0,0.24764499999999998,0.549149,0.797198,0.8416100000000001,1.02242,1.6208719999999999,2.0613509999999997,1.8074689999999998,1.6240780000000001,1.836063,2.145612,2.9269990000000004,3.233629,3.407512,3.702368,3.908296,6.07827,6.308268,6.67287,6.5905309999999995,6.821833,7.1054759999999995,7.3818779999999995,6.99685,6.934203999999999,7.4177990000000005,7.700494,7.945344,8.106912,8.283583,8.848871,9.140282000000001
2-2805529,,0,0.302504,0.550553,0.9018139999999999,1.132623,1.731075,2.171554,2.0541139999999998,1.870723,2.0827080000000002,2.392257,3.173644,3.4802739999999996,3.654157,3.949013,4.154941,6.324914,6.556913000000001,6.920514999999999,6.839175999999999,7.070478,7.354121000000001,7.6285229999999995,7.244495,7.180849,7.665442999999999,7.948139,8.191989,8.353557,8.531228,9.096516000000001,9.386927
3-2805839,,,0,0.248049,0.60131,0.832119,1.4305709999999998,1.87105,2.172382,2.119227,2.331212,2.640761,3.4221480000000004,3.7287779999999997,3.902661,4.1975169999999995,4.403445,6.574418,6.804417,7.168019,7.08668,7.317982000000001,7.601625,7.879027000000001,7.492999,7.430353,7.9139479999999995,8.196643,8.441493,8.603061,8.778732000000002,9.34402,9.636431
4-2805561,,,,0,0.353261,0.58407,1.1825219999999999,1.623001,1.924333,2.1777279999999997,2.389713,2.699262,3.4806489999999997,3.7872800000000004,3.9611629999999995,4.256019,4.461947,6.6329199999999995,6.862918,7.22652,7.1461820000000005,7.377484,7.660127,7.936528999999999,7.551500999999999,7.488855,7.972449,8.255144999999999,8.499995,8.661563000000001,8.838234,9.403522,9.694933
5-2805841,,,,,0,0.23181,0.8302620000000001,1.270741,1.572073,1.825468,2.0374529999999997,2.3470020000000003,3.128389,3.435019,3.6089019999999996,3.9037580000000003,4.109686,6.280659,6.510658,6.8742600000000005,6.791921,7.0252229999999996,7.307866000000001,7.584267999999999,7.19924,7.1365940000000005,7.620189,7.902883999999999,8.147734,8.309302,8.485973,9.051261,9.342672
6-2805450,,,,,,0,0.5984520000000001,1.038931,1.340263,1.679658,1.891643,2.201192,2.982579,3.2892099999999997,3.463093,3.757949,3.9638769999999997,6.13385,6.364848,6.72845,6.647112,6.878414,7.162057000000001,7.438459,7.0524309999999995,6.989785,7.4733789999999996,7.756075,8.000925,8.162493,8.339164,8.904452000000001,9.195863000000001
7-2806913,,,,,,,0,0.440479,0.741811,1.081206,1.293191,1.60274,2.384127,2.690758,2.8646409999999998,3.159497,3.365425,5.536398,5.767396,6.130998,6.04966,6.279962,6.563605,6.840007000000001,6.454979,6.391333,6.8749270000000005,7.1586229999999995,7.403473,7.5640410000000005,7.741712,8.307,8.598411
8-2805580,,,,,,,,0,0.301332,0.640727,0.852712,1.162261,1.943648,2.250279,2.424162,2.719018,2.924946,5.094919,5.325917,5.689519000000001,5.608181,5.839483,6.123126,6.399528,6.0135,5.950854,6.434448000000001,6.717144,6.961994,7.123562,7.300233,7.865521,8.156931
9-2805332,,,,,,,,,0,0.339395,0.55138,0.860929,1.6423159999999999,1.9489470000000002,2.12283,2.4176860000000002,2.623614,4.794587,5.024585,5.388187,5.306849,5.539151,5.821794000000001,6.098196,5.712168,5.649522,6.134116000000001,6.415812,6.660661999999999,6.82223,6.998900999999999,7.564189,7.8556
10-2805742,,,,,,,,,,0,0.21198499999999998,0.521534,1.302921,1.609551,1.783434,2.078291,2.2842189999999998,4.455192,4.68619,5.049792,4.968454,5.199756,5.4833989999999995,5.759801,5.373773,5.311127,5.794721,6.077417,6.322267,6.483835,6.660506,7.2257940000000005,7.5172039999999996
11-2805229,,,,,,,,,,,0,0.30954899999999996,1.0909360000000001,1.397566,1.5714489999999999,1.866306,2.072234,4.242207,4.472205000000001,4.835807,4.755469000000001,4.985771,5.269414,5.545816,5.160788,5.098141,5.581736,5.864431,6.109282,6.27085,6.447521,7.012809,7.304219
12-2805231,,,,,,,,,,,,0,0.7813869999999999,1.088018,1.261901,1.556757,1.7626849999999998,3.9336580000000003,4.164656,4.528258,4.4469199999999995,4.678222,4.960865,5.237267,4.852239,4.789593,5.273187,5.555883000000001,5.800733,5.962301,6.138972,6.7042600000000006,6.995671000000001
13-2804894,,,,,,,,,,,,,0,0.306631,0.510514,0.80537,1.011298,3.4512709999999998,3.6812699999999996,4.044872,3.963533,4.194834999999999,4.479478,4.75488,4.1428519999999995,4.0802059999999996,4.5638,4.846496,5.091346,5.252914,5.429584999999999,5.994873,6.286283999999999
14-2805053,,,,,,,,,,,,,,0,0.20388299999999998,0.49873999999999996,0.704667,3.144641,3.375639,3.7392410000000003,3.6579029999999997,3.8892050000000005,4.172847,4.44925,3.8362220000000002,3.773575,4.2571699999999995,4.539865,4.784715,4.9462839999999995,5.122955,5.688243,5.979653
15-2804947,,,,,,,,,,,,,,,0,0.29785700000000004,0.503785,2.9437580000000003,3.174756,3.5373580000000002,3.4560199999999996,3.687322,3.970965,4.247367,3.635339,3.572692,4.056287,4.338982,4.583832,4.745401,4.922072,5.48736,5.77877
16-2806520,,,,,,,,,,,,,,,,0,0.20592800000000003,2.6519009999999996,2.8829,3.246502,3.165163,3.396465,3.680108,3.9565099999999997,3.343482,3.280836,3.7644309999999996,4.0471260000000004,4.291976,4.453544,4.630215,5.1955029999999995,5.486914
17-2804948,,,,,,,,,,,,,,,,,0,2.445974,2.676972,3.0405740000000003,2.959235,3.190538,3.4741800000000005,3.7505830000000002,3.137554,3.074908,3.558503,3.8411980000000003,4.086048,4.247617,4.424288,4.9895760000000005,5.280986
18-2800583,,,,,,,,,,,,,,,,,,0,0.316999,0.680601,0.599262,0.830564,1.114207,1.390609,1.385033,1.6279350000000001,2.111529,2.394225,2.639075,2.800643,2.977314,2.914602,3.206013
19-2800579,,,,,,,,,,,,,,,,,,,0,0.363602,0.282264,0.513566,0.797208,1.073611,1.586418,1.82932,2.3129150000000003,2.5956099999999998,2.8404599999999998,3.0020279999999997,3.178699,3.115987,3.407398
20-2806074,,,,,,,,,,,,,,,,,,,,0,0.490249,0.721551,1.0051940000000001,1.281596,1.95002,2.1929220000000003,2.676517,2.959212,3.204062,3.3656300000000003,3.542301,3.479589,3.7710000000000004
21-2800570,,,,,,,,,,,,,,,,,,,,,0,0.241302,0.524945,0.801347,1.6157709999999998,1.858673,2.3422669999999997,2.624963,2.869813,3.031381,3.208052,3.14534,3.436751
22-2800558,,,,,,,,,,,,,,,,,,,,,,0,0.283643,0.560045,1.383469,1.626371,2.1099650000000003,2.392661,2.637511,2.799079,2.97575,2.9130380000000002,3.2044490000000003
23-2800552,,,,,,,,,,,,,,,,,,,,,,,0,0.276402,1.099826,1.3427280000000001,1.8263220000000002,2.109018,2.353868,2.5154360000000002,2.692107,2.629395,2.9208060000000002
24-2800338,,,,,,,,,,,,,,,,,,,,,,,,0,0.8234239999999999,1.066326,1.54992,1.832616,2.077466,2.239034,2.415705,2.352993,2.644404
25-2800544,,,,,,,,,,,,,,,,,,,,,,,,,0,0.242902,0.7264970000000001,1.009192,1.254042,1.415611,1.592282,1.932021,2.223432
26-2800541,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.483595,0.7662899999999999,1.01114,1.172708,1.349379,1.914667,2.2060779999999998
27-2800530,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282696,0.527546,0.689114,0.865785,1.431073,1.722484
28-2800523,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24485,0.406418,0.5830890000000001,1.148377,1.4397879999999998
29-2800519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.16156900000000002,0.33824,0.9035270000000001,1.1949379999999998
30-2800517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.176671,0.741959,1.0333700000000001
31-2800515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.565288,0.856699
32-2800508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.29441100000000003
33-2800506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
