순번_정류장ID,1-2801796,2-2803545,3-2803552,4-2800816,5-2800818,6-2803063,7-2803062,8-2802651,9-2802638,10-2803042,11-2803043,12-2803115,13-2803133,14-2803106,15-2803109,16-2803239,17-2803252,18-2803249,19-2803226,20-2805712,21-2803122,22-2803094,23-2803630,24-2805651,25-2800679,26-2805253,27-2805251,28-2805249,29-2807222,30-2800563,31-2807520,32-2805676,33-2805630,34-2807038,35-2805632,36-2805634,37-2806163,38-2807626,39-2805703,40-2806807,41-2807439,42-2805702,43-2805700,44-2805698,45-2806024,46-2805696,47-2805694,48-2805636,49-2805692,50-2803651,51-2806491,52-2803678,53-2803679,54-2803155,55-2805705,56-2803154,57-2803655,58-2804981,59-2805148,60-2805812,61-2806027,62-2803298,63-2805832,64-2803179,65-2807423,66-2807232,67-2807362
50-2803651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.320392,1.240626,1.526598,1.99555,2.8590310000000003,3.599762,4.256311,4.590591000000001,4.884237000000001,5.3261389999999995,6.693364,6.879045,7.018331,7.408316,9.982094,16.477888,16.478341
51-2806491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.920235,1.205207,1.6751580000000001,2.538639,3.279371,3.935919,4.270199,4.563846,5.005747,6.372972,6.558653,6.697939,7.087924,9.969673,16.465466,16.46592
52-2803678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.285972,0.7559239999999999,1.619405,2.3601360000000002,3.016684,3.350964,3.6446110000000003,4.086513,5.4537379999999995,5.640418,5.778705,6.168689,9.247438,15.743232,15.743685000000001
53-2803679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.47195200000000004,1.335433,2.076164,2.732712,3.066992,3.360639,3.802541,5.170766,5.356447,5.494733,5.884718,8.963467,15.45926,15.459713
54-2803155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.867481,1.608212,2.264761,2.599041,2.892687,3.334589,4.702814,4.8874949999999995,5.026781,5.416766,8.495515,14.991307999999998,14.991760999999999
55-2805705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.740732,1.3972799999999999,1.7315599999999998,2.025207,2.467108,3.834333,4.021014,4.1593,4.549285,7.6280339999999995,14.123826999999999,14.124281
56-2803154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.664549,0.9988290000000001,1.292475,1.734377,3.101602,3.287283,3.426569,3.816554,6.895303,13.391096,13.391549
57-2803655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33428,0.627927,1.0698290000000001,2.4370529999999997,2.622734,2.76202,3.152005,6.230754,12.726547,12.727001
58-2804981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.293647,0.8995489999999999,2.267773,2.4534540000000002,2.59174,2.981725,6.060474,12.556268,12.556721000000001
59-2805148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.607902,1.976127,2.160807,2.300094,2.6900779999999997,5.768827,12.264621,12.265074
60-2805812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.379225,1.564906,1.704192,2.094177,5.172926,11.668719,11.669172
61-2806027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.336562,0.761724,1.151709,4.2304580000000005,10.726251,10.726705
62-2803298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.529405,0.9193899999999999,3.998139,10.493932000000001,10.494386
63-2805832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.391985,3.4707339999999998,9.966527000000001,9.966981
64-2803179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3.084749,9.580542,9.580996
65-2807423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.7049520000000005,6.705405000000001
66-2807232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.376801
67-2807362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
