순번_정류장ID,1-2807210,2-2800306,3-2800305,4-2800402,5-2805665,6-2804856,7-2800418,8-2800434,9-2800443,10-2800454,11-2800461,12-2800463,13-2800466,14-2800470,15-2800353,16-2803672,17-2800309,18-2800480,19-2800489,20-2800483,21-2800475,22-2800471,23-2800467,24-2800449,25-2800441,26-2800436,27-2800433,28-2800431,29-2800417,30-2800404,31-2800401,32-2800893,33-2800895,34-2800897,35-2800898,36-2803432,37-2803438,38-2803453,39-2803456,40-2803433,41-2805763
1-2807210,0,0.168043,0.388464,0.524949,0.747216,1.016032,1.251257,2.073649,2.362803,2.743749,3.30579,3.498098,3.84649,3.765189,3.690936,3.56109,3.843728,4.046844,4.323705,4.270798,4.040235,3.908062,3.804534,4.475988,5.261703,5.54167,5.793844,6.398282,7.49521,7.777146000000001,7.990278999999999,9.015691,9.637463,10.214578999999999,10.521632,16.660455,17.082594,18.356103,18.848492999999998,19.525887,18.970323
2-2800306,,0,0.220421,0.356906,0.5791729999999999,0.847989,1.083214,1.9056060000000001,2.19476,2.575707,3.137747,3.330055,3.6784470000000002,3.597146,3.522893,3.393047,3.6756849999999996,3.878801,4.155662,4.102755999999999,3.8721919999999996,3.740019,3.6364910000000004,4.307945,5.09366,5.373627,5.625801,6.230239,7.327167,7.609103999999999,7.822236,8.847648,9.46942,10.046536,10.353589,16.491413,16.913551000000002,18.18906,18.67945,19.356844,18.803279999999997
3-2800305,,,0,0.138486,0.360752,0.6295689999999999,0.864793,1.687185,1.9763389999999998,2.357286,2.919326,3.111634,3.460026,3.378725,3.304472,3.174626,3.457264,3.6603800000000004,3.937241,3.8843349999999996,3.653772,3.5215980000000005,3.4180699999999997,4.089524,4.875239,5.155206,5.40738,6.011818,7.108746000000001,7.390683,7.603814999999999,8.629227,9.250999,9.828114999999999,10.135168,16.272992000000002,16.69513,17.96964,18.463029000000002,19.139423,18.584858999999998
4-2800402,,,,0,0.222266,0.491083,0.726308,1.5487,1.837854,2.2188,2.78084,2.973148,3.3215410000000003,3.24024,3.165987,3.036141,3.318779,3.5218949999999998,3.7987559999999996,3.7458489999999998,3.515286,3.383113,3.279585,3.9510379999999996,4.736754,5.0167209999999995,5.268895,5.873333000000001,6.970261,7.252197,7.465330000000001,8.490742,9.112514,9.689630000000001,9.996682,16.134506,16.556645,17.830154,18.323544000000002,19.001938,18.446374
5-2805665,,,,,0,0.26881700000000003,0.504042,1.3264340000000001,1.615588,1.996534,2.558574,2.750882,3.099275,3.017974,2.943721,2.813875,3.0965130000000003,3.299629,3.57649,3.5235830000000004,3.29302,3.160847,3.0573189999999997,3.728772,4.514488,4.794455,5.046629,5.651066999999999,6.7479949999999995,7.0299309999999995,7.2430639999999995,8.268476,8.890248,9.467364,9.774416,15.91324,16.335379,17.608888,18.101278,18.778672,18.223108
6-2804856,,,,,,0,0.235225,1.057617,1.346771,1.7277169999999997,2.289758,2.482066,2.830458,2.749157,2.674904,2.545058,2.827696,3.030812,3.3076730000000003,3.2547669999999997,3.024203,2.89203,2.7885020000000003,3.4599559999999996,4.245671,4.525638,4.777812,5.38225,6.479178,6.761114999999999,6.974247,7.999658999999999,8.621431,9.198547,9.5056,15.645423000000001,16.066562,17.340071,17.832461,18.508855,17.953291
7-2800418,,,,,,,0,0.822392,1.111546,1.492493,2.054533,2.246841,2.5952330000000003,2.513932,2.439679,2.3098330000000002,2.5924709999999997,2.795587,3.072448,3.019542,2.788979,2.656805,2.553277,3.2247310000000002,4.010446,4.290413,4.542587,5.147025,6.243953,6.52589,6.739022,7.764434,8.386206,8.963322,9.270375,15.409199,15.832336999999999,17.104846,17.597236,18.27463,17.719066
8-2800434,,,,,,,,0,0.289154,0.6701010000000001,1.232141,1.424449,1.7728419999999998,2.026936,2.2461900000000004,2.231036,2.64608,2.849195,3.126056,3.07315,2.842587,2.710414,2.6068849999999997,3.278339,4.0640540000000005,4.344022,4.596195,5.200633,6.297561,6.579497999999999,6.79263,7.818042,8.439814,9.016931,9.323983,15.789330999999999,16.211469,17.485978,17.978368,18.655762,18.100198000000002
9-2800443,,,,,,,,,0,0.380947,0.9429870000000001,1.1352950000000002,1.483688,1.737783,1.957036,1.9418819999999999,2.3569259999999996,2.560041,2.836903,2.7839959999999997,2.553433,2.4212599999999997,2.317731,2.989185,3.7749,4.054868,4.307041000000001,4.911479,6.008407,6.290344,6.503476999999999,7.528888,8.15066,8.727777,9.034829,16.079484,16.501623000000002,17.775132,18.267522,18.944916,18.389352
10-2800454,,,,,,,,,,0,0.562041,0.7543489999999999,1.102741,1.3568360000000002,1.5760889999999999,1.560935,1.9759790000000002,2.1790950000000002,2.455956,2.403049,2.172486,2.0403130000000003,1.9367849999999998,2.608238,3.393954,3.673921,3.9260949999999997,4.530533,5.627461,5.909397,6.12253,7.147942,7.769714,8.34683,8.653882000000001,15.954706,16.376845,17.650354,18.142744,18.820138,18.264574
