순번_정류장ID,1-2807632,2-2805232,3-2805872,4-2805230,5-2805333,6-2805228,7-2805226,8-2805575,9-2805499,10-2805843,11-2805408,12-2804947,13-2805317,14-2804969,15-2805568,16-2804895,17-2805911,18-2806732,19-2806730,20-2807462,21-2806214,22-2800615,23-2800622,24-2800627,25-2800336,26-2800658,27-2800670,28-2800345,29-2800681,30-2800689,31-2800701,32-2800704,33-2800726,34-2800751,35-2800765,36-2800771,37-2800764,38-2800756,39-2800761,40-2800775,41-2801761,42-2801771,43-2801773,44-2801774,45-2801787,46-2801806,47-2801954,48-2801977,49-2802024,50-2802051,51-2802098,52-2802129,53-2802152,54-2802163,55-2802618,56-2802176,57-2806506,58-2806502,59-2806508,60-2806510
1-2807632,0,4.665534,4.856514,5.0808349999999995,5.136932,5.202123,5.676079,5.893259,5.611644,5.3505910000000005,5.35778,5.635951,5.7944949999999995,5.735359,5.319827,5.347474,5.618015,5.955883999999999,6.198887,5.98083,6.241585,5.96164,5.745259,5.4059029999999995,5.72221,5.976509,6.2389339999999995,6.634514,7.381879,7.73774,7.6628940000000005,7.988051,8.345014,8.763149,8.947515,9.437268,9.316577,9.169138,9.431724,9.776373,10.321245,10.603515,11.032871,11.208116,11.712817999999999,11.398866,11.920361,12.307514999999999,12.738484,12.931658,13.385565,13.757995999999999,13.973673999999999,13.954604000000002,14.277275,14.523634,14.892385999999998,15.292595,15.51759,15.199952
2-2805232,,0,0.19097999999999998,0.41630200000000006,0.635536,0.828617,1.302574,1.247209,1.115852,0.8790959999999999,0.886285,1.164456,1.3230000000000002,1.264864,0.849332,0.8769790000000001,1.14752,1.4853889999999998,1.960647,2.1657040000000003,2.7810900000000003,2.9641450000000003,3.066275,3.4056309999999996,3.849715,4.106014,4.3684389999999995,4.7640199999999995,5.511384,5.866244999999999,6.1323989999999995,6.457555999999999,6.813519,7.232653999999999,7.41702,7.961266,7.785082000000001,7.637643,7.901228999999999,8.244878,8.78975,9.13002,9.559376,9.733621000000001,10.239322999999999,10.009371,10.530866,10.92002,11.348989,11.542164,11.99607,12.369501,12.582179,12.563108999999999,12.88878,13.132139000000002,13.502891,13.9011,14.128095000000002,13.809457
3-2805872,,,0,0.22532199999999997,0.44455600000000006,0.637637,1.111594,1.056229,0.9248719999999999,1.070076,1.077264,1.355435,1.5139799999999999,1.454844,1.039312,1.066959,1.337499,1.6753689999999999,2.150627,2.355684,2.97107,3.154125,3.256255,3.595611,4.039694,4.295994,4.558418,4.953999,5.701364,6.057225,6.322379,6.647536,7.003499000000001,7.421634,7.606999000000001,8.152246,7.976062,7.828622999999999,8.090209,8.434858,8.979728999999999,9.318999,9.748356,9.9236,10.429302999999999,10.198350999999999,10.721845,11.107999999999999,11.537969,11.732142999999999,12.18505,12.560481,12.771158999999999,12.754089,13.07876,13.323119,13.693871,14.092079,14.320073999999998,14.000437
4-2805230,,,,0,0.21923499999999999,0.41531599999999996,0.889272,0.985548,0.8541920000000001,1.1152440000000001,1.3015860000000001,1.579757,1.738302,1.6791650000000002,1.263634,1.29128,1.561821,1.89969,2.374949,2.580005,3.195392,3.378447,3.480576,3.8199330000000002,4.265016,4.520316,4.78274,5.1783209999999995,5.925686,6.281547,6.5467010000000005,6.8718580000000005,7.228821000000001,7.646955,7.831321000000001,8.376567,8.200384,8.052944,8.31553,8.66018,9.205051,9.544321,9.973678,10.148922,10.653624,10.424673,10.944167,11.333322,11.764289999999999,11.959465,12.410371000000001,12.783803,12.99648,12.976411,13.304081,13.548441,13.917193,14.315401000000001,14.542395999999998,14.225759
5-2805333,,,,,0,0.196081,0.670038,0.8872180000000001,1.073426,1.3344790000000002,1.52082,1.798991,1.9575360000000002,1.8994,1.483868,1.511515,1.782055,2.119925,2.595183,2.80024,3.414626,3.5976809999999997,3.700811,4.040166999999999,4.48525,4.74055,5.000973999999999,5.398555,6.145919999999999,6.500781,6.765935000000001,7.092092,7.448055,7.865189999999999,8.051555,8.596802,8.420618,8.272179,8.534765,8.878414,9.423285,9.762555,10.191912,10.368155999999999,10.872859,10.643907,11.165401,11.550556,11.980525,12.175699,12.630606,13.002037,13.216714999999999,13.195645,13.521316,13.766675,14.136427,14.534635,14.760629999999999,14.441993
6-2805228,,,,,,0,0.47395699999999996,0.693137,1.012235,1.273287,1.483629,1.7608,1.919345,2.0924810000000003,1.6769490000000002,1.704596,1.975136,2.313006,2.788264,2.993321,3.608707,3.7907620000000004,3.892892,4.232248,4.678331,4.932631,5.195056,5.590636,6.338001,6.693861999999999,6.959016,7.284173,7.641136,8.058271000000001,8.243637,8.788883,8.612699000000001,8.46526,8.726846,9.072495,9.617366,9.956636,10.385993,10.560236999999999,11.06594,10.836988,11.359483,11.744636999999999,12.174605999999999,12.36778,12.820687,13.194118,13.410796,13.389726000000001,13.715397,13.958756,14.330507999999998,14.728716,14.954711999999999,14.637073999999998
7-2805226,,,,,,,0,0.21918,0.5382779999999999,0.799331,1.008673,1.286844,1.445388,1.641563,2.0540950000000002,2.178552,2.449093,2.785962,3.262221,3.466277,4.080664,4.263719,4.365848000000001,4.706205000000001,5.151288,5.406588,5.669012,6.063593,6.810958,7.167819000000001,7.430973,7.75813,8.113093,8.532227,8.717592999999999,9.261839,9.085656,8.939217,9.201802,9.546452,10.089323,10.429592999999999,10.85995,11.035194,11.538896000000001,11.311945,11.830439,12.218594,12.650561999999999,12.844737,13.295643,13.672075,13.883752,13.863682999999998,14.188353,14.433713000000001,14.803465,15.201673000000001,15.430667999999999,15.113031
8-2805575,,,,,,,,0,0.319098,0.580151,0.790493,1.0686639999999998,1.227208,1.423383,1.8359150000000002,2.122187,2.393728,2.7315970000000003,3.2058560000000003,3.411912,4.027299,4.210354,4.312483,4.65184,5.095923,5.350223000000001,5.614647,6.010228,6.755592999999999,7.113453,7.376608,7.700765,8.060728,8.477862,8.662228,9.207474000000001,9.030291,8.884851,9.146436999999999,9.491087,10.036958,10.375228,10.804584,10.980829,11.485531,11.254579,11.775074,12.163229,12.593197,12.790372,13.242278,13.61271,13.829386999999999,13.809318,14.132988000000001,14.378348,14.749099,15.148307999999998,15.373303,15.054666000000001
9-2805499,,,,,,,,,0,0.26105300000000004,0.470395,0.748566,0.9071110000000001,1.103286,1.515817,1.807089,2.07763,2.415499,2.889758,3.094814,3.710201,3.8932559999999996,3.9953849999999997,4.334741999999999,4.779825,5.035125,5.297549,5.69313,6.440494999999999,6.796355999999999,7.060510000000001,7.386667,7.7436300000000005,8.161764,8.345130000000001,8.891376,8.714193,8.566753,8.829339,9.173989,9.718860000000001,10.05913,10.487487,10.663731,11.167433,10.955482,11.476975999999999,11.865131,12.294099000000001,12.488274,12.94218,13.315612,13.528289000000001,13.509220000000001,13.83389,14.07825,14.450002,14.84821,15.075204999999999,14.756568
10-2805843,,,,,,,,,,0,0.209342,0.48751300000000003,0.646058,0.842233,1.254764,1.545036,1.815577,2.1534459999999997,2.628705,2.833761,3.449148,3.633203,3.7343319999999998,4.073689,4.519772,4.774072,5.035496,5.432077,6.179442,6.5343029999999995,6.798457000000001,7.123614,7.482577,7.900711,8.084077,8.629323,8.454139999999999,8.3057,8.569286,8.912936,9.457807,9.797077,10.227433,10.402678,10.90738,10.691429,11.215923,11.603078,12.034046,12.228221000000001,12.680127,13.053559,13.265235999999998,13.247167000000001,13.570837,13.816197,14.186948999999998,14.585157,14.814151999999998,14.494515
