순번_정류장ID,1-2806577,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2803688,17-2803689,18-2803690,19-2803691,20-2804136,21-2804665,22-2804138,23-2804663,24-2804142,25-2804145,26-2804661,27-2804660,28-2804658,29-2804164,30-2804166,31-2804656,32-2804168,33-2806206,34-2804654,35-2804651,36-2804649,37-2804648,38-2807374,39-2804646,40-2804327,41-2804329,42-2804645,43-2804643,44-2804197,45-2804195,46-2804717,47-2804193,48-2804191,49-2806153,50-2804189,51-2804641,52-2804740,53-2804794,54-2803702,55-2807371,56-2803737,57-2803735,58-2803734,59-2803732,60-2803730,61-2803728,62-2803751,63-2804639,64-2803750,65-2803752,66-2803723,67-2803721,68-2803718,69-2803720,70-2803719,71-2803711,72-2806217,73-2803708,74-2803706,75-2804634,76-2803705,77-2803703,78-2804580,79-2804213,80-2804211,81-2804209,82-2804207,83-2804205,84-2804204,85-2806290,86-2804202,87-2806292,88-2803609,89-2806232,90-2803608,91-2803607,92-2803606,93-2806297,94-2803616,95-2803853,96-2803850,97-2803617,98-2806299,99-2803618,100-2806300,101-2803600,102-2800273,103-2803601,104-2804331,105-2803581,106-2800271,107-2805489,108-2807150,109-2804581,110-2804582,111-2800267,112-2804032
1-2806577,0,0.8194049999999999,1.088622,1.399578,1.535808,1.78358,2.072359,2.715378,3.042318,3.176182,3.6114230000000003,4.017193,4.754237,5.223609,5.866758,6.217416,6.75745,6.988475,8.048335,7.99075,8.401652,8.936580000000001,9.333112,9.900029,9.450547,8.908799,8.382432000000001,8.192223,8.058322,8.714454,9.191386999999999,9.507935,10.270136,10.949266,11.685856,12.001616,13.863979,14.151476,14.479455999999999,14.727513,14.960873000000001,15.377345000000002,15.337985999999999,15.109226999999999,14.714997,14.301597000000001,14.124398999999999,13.637115,13.489268,13.160264999999999,12.878453,12.263099,10.644603,10.903539,11.1954,11.492180000000001,11.778295,12.220235,12.59314,12.927261,13.281137,13.173454000000001,12.827802,12.618797,12.419541,12.736675,12.301967999999999,11.960697999999999,12.420894,12.815044,12.57279,12.455458,12.095544,12.152907,12.582953,13.136601,12.718057,12.539833,12.032688,11.674539999999999,11.181747,10.810381,10.073160000000001,9.843382,9.489078999999998,9.077282,8.823708,8.322754,7.947667,7.619026,7.114816,6.822425999999999,6.270976,5.951578,5.7530220000000005,5.35666,4.76219,4.2375050000000005,3.970096,3.6528959999999997,2.966637,2.5053549999999998,2.294629,2.12292,1.8652540000000002,1.3878059999999999,0.880941,0.507171,0.481004,0.7779590000000001,0.897957,0.26250999999999997
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.935833,4.4052050000000005,5.048354,5.399012,5.939045,6.17007,7.229931,7.172345,7.583247999999999,8.118175,8.514708,9.080625,8.631142,8.090395,7.563028,7.372818,7.239917,7.895049,8.371982000000001,8.68853,9.450732,10.129862,10.866452,11.182211,13.044575,13.332072,13.660051999999999,13.908107999999999,14.141468,14.557941,14.519582000000002,14.290822,13.896593,13.483192,13.305995000000001,12.818711,12.670864,12.34186,12.060049000000001,11.444694,9.826199,10.085134,10.376994999999999,10.673776,10.95989,11.40183,11.774735,12.108857,12.462732,12.35505,12.009397,11.800392,11.601136,11.91727,11.482564,11.142294,11.60249,11.99664,11.753386,11.637053,11.27714,11.334502,11.764548,12.317196000000001,13.198741,13.076763,12.597372,12.237224000000001,11.744431,11.373064999999999,10.635844,10.404067,10.051763000000001,9.637966,9.384392,8.885438,8.510351,8.18171,7.6775,7.385110000000001,6.833660000000001,6.514262,6.315707,5.919345,5.324873999999999,4.80019,4.532780000000001,4.21558,3.529321,3.0680389999999997,2.857313,2.685604,2.427938,1.95049,1.443625,1.069855,0.742592,0.444637,0.167728,0.557895
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.667616,4.136988,4.780137,5.130795,5.670829,5.901854,6.961714,6.904128999999999,7.315030999999999,7.849958,8.246491,8.814408,8.362925,7.822178,7.2958110000000005,7.105600999999999,6.9717,7.627833,8.103766,8.420314,9.182514999999999,9.862645,10.599235,10.914994,12.777358,13.063855,13.391835,13.639892000000001,13.873251000000002,14.289724,14.251365,14.022604999999999,13.628376000000001,13.214976,13.037778,12.550494,12.402647,12.073644,11.791832000000001,11.176477,9.557982,9.816918,10.108779,10.405559,10.691674,11.133614,11.506518,11.840639999999999,12.194516,12.086833,11.741181,11.532176,11.33292,11.650053,11.215347,10.875077000000001,11.335272999999999,11.729422999999999,11.486169,11.369837,11.009922999999999,11.067285,11.497330999999999,12.04998,12.931525,12.809546000000001,12.62031,12.260162,11.769368,11.398003,10.660782000000001,10.429003999999999,10.074701,9.662904,9.40933,8.908375999999999,8.533289,8.204647,7.700437,7.408047,6.856598,6.537199,6.338644,5.942282,5.347812,4.8231269999999995,4.555717,4.238517,3.552258,3.090976,2.88025,2.708542,2.450876,1.973427,1.4665629999999998,1.092792,0.76553,0.467574,0.190665,0.8271120000000001
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.358659,3.8280309999999997,4.47118,4.821838,5.361872,5.592897,6.652757000000001,6.595172,7.006074000000001,7.541002000000001,7.9375350000000005,8.504451,8.052969000000001,7.512221,6.986853999999999,6.796645,6.6617440000000006,7.317875999999999,7.795808999999999,8.112357000000001,8.874558,9.552688999999999,10.289278,10.606038,12.468401,12.755898,13.083878,13.330935,13.565295,13.980767000000002,13.942407999999999,13.713648999999998,13.319419,12.906019,12.728822000000001,12.241537,12.093691,11.764687,11.482875,10.867521,9.249025,9.507961,9.799822,10.096602,10.382717,10.824657,11.197562,11.531683000000001,11.885558999999999,11.777876,11.432224,11.223219,11.023963,11.341097,10.90639,10.56612,11.025316,11.420466000000001,11.176213,11.060880000000001,10.700966000000001,10.758329,11.188375,11.741023,12.621568,12.500589999999999,12.931266,12.571117999999998,12.080325,11.708959,10.969738000000001,10.739961,10.383657000000001,9.971860000000001,9.720286,9.219332000000001,8.844244999999999,8.515604,8.011394000000001,7.719003999999999,7.167553999999999,6.8481559999999995,6.649601,6.253239,5.658768,5.134084,4.866674,4.549474,3.8632150000000003,3.401933,3.191207,3.019498,2.761832,2.284384,1.7775189999999998,1.403749,1.076486,0.7785310000000001,0.501622,1.138068
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,3.222429,3.6918010000000003,4.33495,4.685608,5.225642,5.4566669999999995,6.516527,6.4589419999999995,6.8698440000000005,7.404772,7.801305,8.367221,7.917739,7.377991000000001,6.850624000000001,6.659414999999999,6.525514,7.181646000000001,7.659578999999999,7.976127,8.737328,9.417459,10.154049,10.468808000000001,12.331171000000001,12.618668,12.947648,13.195704999999998,13.428065,13.844536999999999,13.806178,13.577419,13.183189000000002,12.769789,12.592592,12.105307,11.957461,11.628457000000001,11.346645,10.731291,9.112795,9.371731,9.663592,9.960372999999999,10.246487,10.688427,11.061332,11.395453,11.749329,11.641646000000001,11.295994,11.086988999999999,10.887733,11.204867,10.77016,10.429889999999999,10.890086,11.284236,11.040983,10.92465,10.564736,10.622099,11.052145,11.604792999999999,12.486338,12.364360000000001,12.871505,12.705347999999999,12.214555,11.845189,11.107968,10.87619,10.521887,10.11009,9.856516000000001,9.355561999999999,8.980475,8.651834,8.147624,7.855233999999999,7.303783999999999,6.984386,6.785830000000001,6.389468,5.7949980000000005,5.270313,5.002904,4.685704,3.9994449999999997,3.538163,3.327437,3.155728,2.898062,2.420614,1.9137490000000001,1.539979,1.212716,0.914761,0.6378520000000001,1.274298
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.974657,3.44403,4.087178,4.437836,4.977869999999999,5.208895,6.2687550000000005,6.21117,6.622072,7.157,7.553533,8.119449000000001,7.670967,7.130219,6.602852,6.411643,6.278742,6.934874000000001,7.410807000000001,7.7283550000000005,8.489556,9.169687,9.906277000000001,10.222036,12.084399000000001,12.371896000000001,12.699876,12.947933,13.181293,13.597764999999999,13.558406,13.329647,12.935417,12.522017,12.34482,11.857535,11.709689,11.380685,11.098873,10.483519,8.865022999999999,9.123959,9.41582,9.712601,9.998714999999999,10.440655,10.81356,11.147681,11.501557,11.393874,11.048222,10.839217,10.639961,10.957094999999999,10.521388,10.182118,10.641314,11.036465,10.792211,10.676878,10.316965,10.374327000000001,10.804373,11.357021000000001,12.238566,12.116588,12.623733,12.95312,12.462327,12.092961,11.355739999999999,11.121962,10.769658999999999,10.355862,10.104288,9.603334,9.228247,8.899605000000001,8.395396,8.103005,7.551556,7.232158,7.033602,6.637239999999999,6.04277,5.518085,5.250676,4.933476000000001,4.247217,3.785935,3.5752089999999996,3.4035,3.145834,2.668386,2.161521,1.7877509999999999,1.460488,1.162533,0.8856229999999999,1.52207
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.6818779999999998,3.15125,3.794399,4.1450569999999995,4.685091000000001,4.916116000000001,5.975976,5.918391000000001,6.329293,6.864221000000001,7.2607539999999995,7.82667,7.376188000000001,6.83644,6.309073000000001,6.119864,5.984963,6.642094999999999,7.118028,7.435575999999999,8.196777,8.876908,9.612498,9.928257,11.79162,12.079117,12.406097,12.655154,12.887514,13.303985999999998,13.265626999999999,13.036868,12.642638,12.229238,12.052041000000001,11.564756,11.416910000000001,11.087906,10.806094,10.19074,8.572244,8.83118,9.123041,9.419822,9.705936,10.147876,10.520781,10.854902000000001,11.208778,11.101094999999999,10.755443,10.546438,10.347182,10.746945,10.311238000000001,9.970968,10.432164,10.826315,10.582061,10.466728,10.106815,10.164177,10.594223,11.146871,12.027416,11.906438,12.413583000000001,12.773731,12.751106,12.381739999999999,11.642519,11.412741,11.058438,10.644641,10.391067,9.892113,9.517026,9.188385,8.684175,8.391785,7.8403350000000005,7.520936999999999,7.322381,6.926019,6.331549,5.806864,5.539455,5.2222550000000005,4.535996,4.074714,3.8639879999999995,3.692279,3.4346129999999997,2.9571650000000003,2.4503,2.07653,1.749267,1.4513120000000002,1.174402,1.8108490000000002
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,2.038859,2.5082310000000003,3.15138,3.5020379999999998,4.042072,4.273096,5.332957,5.275372,5.686274,6.221201000000001,6.617734,7.184651,6.733167999999999,6.193421,5.666054,5.476844,5.341943,5.9990760000000005,6.4760089999999995,6.791557000000001,7.553758,8.232888,8.970478,9.285237,11.148601,11.436098,11.763078,12.011135000000001,12.244494,12.660967,12.622608,12.393848,11.999619000000001,11.586219,11.409021000000001,10.921737,10.77389,10.444886,10.163075,9.54772,7.929225,8.18816,8.480022,8.776802,9.062917,9.504857000000001,9.877761,10.211883,10.565759,10.458076,10.112423,9.903419,9.704163000000001,10.205036,10.639743,10.614988,11.075184,11.469334,11.22608,11.109748,10.749834,10.807196000000001,11.237242,11.789891,12.671435,12.549457,13.056602,13.41675,13.394125,13.022758999999999,12.287539,12.055761,11.701457000000001,11.289660000000001,11.034086,10.535132,10.160045,9.831404,9.327194,9.034804,8.483353999999999,8.163955999999999,7.965400999999999,7.569039,6.974569,6.449884,6.182474,5.865273999999999,5.179015,4.717733,4.507007,4.335298000000001,4.077632,3.6001839999999996,3.0933189999999997,2.719549,2.392286,2.094331,1.817422,2.453868
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.711919,2.181291,2.82444,3.1750979999999998,3.715132,3.946157,5.006017,4.948432,5.359334,5.894262,6.290795,6.857711,6.407229,5.866480999999999,5.339114,5.148905,5.015004,5.671136,6.1480690000000005,6.464617,7.226818,7.905949000000001,8.642538,8.958298,10.820661,11.108158,11.436138,11.684194999999999,11.917555,12.334027,12.295668,12.066908999999999,11.672678999999999,11.259279,11.082082000000002,10.594797,10.446951,10.117947000000001,9.836135,9.220781,7.602285,7.8612210000000005,8.153082000000001,8.449863,8.735977,9.177916999999999,9.550822,9.884943,10.238819,10.131136,9.785484,9.576478999999999,9.377222999999999,9.878096000000001,10.312803,10.653073,11.401123,11.795274000000001,11.552019999999999,11.435687,11.075774000000001,11.134136,11.563182000000001,12.11583,12.997375,12.875397,13.383542000000002,13.74269,13.721065,13.351698999999998,12.612478,12.382700999999999,12.028397,11.6146,11.363026,10.862072,10.486985,10.158344,9.654133999999999,9.361744,8.810294,8.490896000000001,8.29234,7.8959779999999995,7.301508,6.776822999999999,6.509414,6.192214,5.505955,5.044673,4.833947,4.662237999999999,4.404572,3.9271239999999996,3.4202589999999997,3.046489,2.719226,2.421271,2.144362,2.7808080000000004
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.578055,2.047427,2.6905759999999996,3.041234,3.581268,3.812293,4.872153,4.814568,5.22547,5.760398,6.156931,6.7248470000000005,6.272365,5.731617,5.20625,5.015041,4.88214,5.537272,6.0142050000000005,6.331753,7.092954,7.772085000000001,8.509674,8.825434,10.687797,10.974294,11.302274,11.550331,11.784691,12.201163000000001,12.161804,11.933045,11.538815,11.125415,10.948217999999999,10.460933,10.313087,9.984083,9.702271000000001,9.086917,7.468421,7.7273570000000005,8.019217999999999,8.315999,8.602113000000001,9.044053,9.416958000000001,9.751078999999999,10.104955,9.997272,9.65162,9.442615,9.243359,9.744232,10.178939,10.519209,11.300711999999999,11.929138,11.686884,11.569550999999999,11.210638000000001,11.267000000000001,11.697046,12.249694,13.132239000000002,13.010261,13.516406,13.877554,13.856929000000001,13.485563,12.748342,12.516565,12.162261,11.750464,11.496889999999999,10.995936,10.620849,10.292208,9.787998,9.495608,8.944158,8.62476,8.426203999999998,8.029842,7.435372,6.910686999999999,6.643278,6.326078,5.639819,5.178537,4.967811,4.796101999999999,4.538436,4.060988,3.554123,3.1803529999999998,2.8530900000000003,2.555135,2.2782259999999996,2.914672
