순번_정류장ID,1-2801292,2-2801309,3-2801329,4-2801335,5-2801377,6-2801392,7-2801397,8-2801404,9-2801403,10-2801412,11-2801415,12-2801428,13-2801444,14-2801480,15-2806864,16-2801541,17-2801577,18-2801633,19-2801192,20-2801628
1-2801292,0,0.300946,0.557303,0.681349,1.0367819999999999,1.2832940000000002,1.41347,1.490424,1.46167,1.6002040000000002,1.708336,1.831949,1.964204,2.2804919999999997,3.014065,3.300187,3.245446,3.288854,3.537263,3.254073
2-2801309,,0,0.256357,0.38040300000000005,0.7358359999999999,0.982348,1.112525,1.189478,1.347724,1.486258,1.59439,1.718003,1.9137419999999998,2.2300299999999997,2.963603,3.249725,3.194984,3.1749080000000003,3.4223169999999996,3.203611
3-2801329,,,0,0.124046,0.479479,0.7259909999999999,0.856168,0.9331209999999999,1.0913680000000001,1.229902,1.338033,1.461647,1.665902,1.9821900000000001,2.715762,3.001884,2.9471439999999998,2.917551,3.1659610000000002,2.9557700000000002
4-2801335,,,,0,0.355433,0.601945,0.732122,0.809076,1.066611,1.205144,1.313276,1.4368889999999999,1.641145,1.9574330000000002,2.691005,2.977127,2.922387,2.892794,3.141203,2.931013
5-2801377,,,,,0,0.24651199999999998,0.376689,0.545642,0.8108890000000001,0.9494229999999999,1.057554,1.181168,1.428423,1.7447110000000001,2.4782830000000002,2.764405,2.709665,2.638072,2.886482,2.718291
6-2801392,,,,,,0,0.130177,0.299131,0.564377,0.702911,0.8110430000000001,0.9346559999999999,1.1819110000000002,1.498199,2.2317709999999997,2.517894,2.4631529999999997,2.39056,2.63997,2.47178
7-2801397,,,,,,,0,0.168954,0.4342,0.572734,0.680866,0.8044789999999999,1.051734,1.3680219999999998,2.101594,2.387717,2.332976,2.261384,2.509793,2.341603
8-2801404,,,,,,,,0,0.267246,0.40578000000000003,0.513912,0.637525,0.8847799999999999,1.201069,1.934641,2.2207630000000003,2.166023,2.09343,2.341839,2.174649
9-2801403,,,,,,,,,0,0.138534,0.246666,0.37027899999999997,0.617534,0.9338219999999999,1.6673950000000002,1.9535169999999997,1.8987759999999998,1.913116,2.161525,1.907403
10-2801412,,,,,,,,,,0,0.10813199999999999,0.23274499999999998,0.48,0.796288,1.5298610000000001,1.8159830000000001,1.7612419999999998,1.90165,2.076941,1.769869
11-2801415,,,,,,,,,,,0,0.12461300000000002,0.371869,0.688157,1.421729,1.7078509999999998,1.653111,1.793518,1.96881,1.6617369999999998
12-2801428,,,,,,,,,,,,0,0.249255,0.565543,1.299116,1.585238,1.530498,1.6709049999999999,1.846196,1.539124
13-2801444,,,,,,,,,,,,,0,0.316288,1.0498610000000002,1.335983,1.281242,1.42165,1.596941,1.2898690000000002
14-2801480,,,,,,,,,,,,,,0,0.733572,1.019695,0.9649540000000001,1.105361,1.280653,0.9735809999999999
15-2806864,,,,,,,,,,,,,,,0,0.287123,0.374103,1.13151,1.167802,0.8607290000000001
16-2801541,,,,,,,,,,,,,,,,0,0.26626,1.023667,1.059959,0.7528859999999999
17-2801577,,,,,,,,,,,,,,,,,0,0.758408,0.7946989999999999,0.48762700000000003
18-2801633,,,,,,,,,,,,,,,,,,0,0.24841,0.5554819999999999
19-2801192,,,,,,,,,,,,,,,,,,,0,0.307073
20-2801628,,,,,,,,,,,,,,,,,,,,0
