순번_정류장ID,19-2804903,20-2805929,21-2805927,22-2805925,23-2805923,24-2805920,25-2805919,26-2805917,27-2805915,28-2807433,29-2800608,30-2806834,31-2806010,32-2805910,33-2806008,34-2807283
19-2804903,0,3.3689699999999996,4.955235,6.318275,8.221542,8.955825,9.518735000000001,10.529172,11.549517,12.831152000000001,15.029407,16.453815,17.127104,17.726674,18.64169,19.698162
20-2805929,,0,1.586266,2.949305,4.8525730000000005,5.586855,6.149765,7.160203,8.180548,9.462183,11.660438000000001,13.084846,13.759134,14.358704999999999,15.271720000000002,16.329192000000003
21-2805927,,,0,1.36304,3.266307,4.00059,4.5635,5.573938,6.594283,7.8759179999999995,10.074172,11.498581,12.172869,12.77144,13.684454999999998,14.742926999999998
22-2805925,,,,0,1.906267,2.64055,3.2034599999999998,4.213898,5.234243,6.515878,8.714132000000001,10.138541,10.811829,11.4124,12.325415,13.383887
23-2805923,,,,,0,0.734283,1.297193,2.307631,3.327976,4.60961,6.807865,8.232274,8.906562,9.506132000000001,10.418148,11.47662
24-2805920,,,,,,0,0.56691,1.577348,2.597693,3.8793279999999997,6.077583,7.501991,8.176279,8.77585,9.688865,10.747337
25-2805919,,,,,,,0,1.010438,2.030783,3.312418,5.5106720000000005,6.935080999999999,7.608369000000001,8.20694,9.121955,10.178427000000001
26-2805917,,,,,,,,0,1.020345,2.30198,4.500235,5.924643,6.598930999999999,7.198502,8.111517,9.169989999999999
27-2805915,,,,,,,,,0,1.281635,3.47989,4.904298000000001,5.577586,6.178157,7.090172,8.149645
28-2807433,,,,,,,,,,0,2.198255,3.6226629999999997,4.296952,4.895522,5.8085379999999995,6.868010000000001
29-2800608,,,,,,,,,,,0,1.424409,2.097697,2.697268,3.6112830000000002,4.668755
30-2806834,,,,,,,,,,,,0,0.673289,1.272859,2.186875,3.2443470000000003
31-2806010,,,,,,,,,,,,,0,0.599571,1.513586,2.5710580000000003
32-2805910,,,,,,,,,,,,,,0,0.9140159999999999,1.9714880000000001
33-2806008,,,,,,,,,,,,,,,0,1.0594729999999999
34-2807283,,,,,,,,,,,,,,,,0
