순번_정류장ID,13-2805792,14-2801764,15-2801758,16-2801757,17-2801237,18-2801744,19-2801734,20-2801185
13-2805792,0,0.382883,0.59613,0.651017,1.106839,1.350279,1.614622,1.902816
14-2801764,,0,0.213247,0.268135,0.723956,0.9673959999999999,1.23174,1.519933
15-2801758,,,0,0.054888,0.510709,0.754149,1.018493,1.306686
16-2801757,,,,0,0.455822,0.7002619999999999,0.9646049999999999,1.2527979999999999
17-2801237,,,,,0,0.24444000000000002,0.509783,0.797977
18-2801744,,,,,,0,0.311344,0.599537
19-2801734,,,,,,,0,0.293194
20-2801185,,,,,,,,0
