순번_정류장ID,1-2802896,2-2805500,3-2802634,4-2802843,5-2802793,6-2802780,7-2802769,8-2802743,9-2802750,10-2802766,11-2802777,12-2806749,13-2806751,14-2806752
1-2802896,0,0.522859,1.012991,1.3612540000000002,1.928681,2.119373,2.4222,2.9118020000000002,2.708371,2.5166470000000003,2.889467,3.3389559999999996,3.7081470000000003,3.963422
2-2805500,,0,0.49013199999999996,0.8383959999999999,1.405823,1.596514,1.899341,2.388943,2.1855130000000003,1.993789,2.366609,2.8160979999999998,3.185289,3.4405639999999997
3-2802634,,,0,0.34826399999999996,0.91569,1.106382,1.409209,1.898811,1.6953799999999999,1.5036559999999999,1.876477,2.325965,2.6951560000000003,2.950431
4-2802843,,,,0,0.572427,0.7631180000000001,1.0659450000000001,1.555548,1.352117,1.160393,1.533213,1.982702,2.351893,2.607168
5-2802793,,,,,0,0.190692,0.493519,0.9831209999999999,0.77969,0.587966,0.960786,1.410275,1.779466,2.034741
6-2802780,,,,,,0,0.302827,0.8707600000000001,0.7538100000000001,0.562086,0.9349059999999999,1.384395,1.753586,2.008861
7-2802769,,,,,,,0,0.567933,0.771363,0.8649129999999999,1.237733,1.6872220000000002,2.056413,2.311688
8-2802743,,,,,,,,0,0.207431,0.47851499999999997,0.8513350000000001,1.300824,1.6700150000000002,1.9252900000000002
9-2802750,,,,,,,,,0,0.275084,0.6479050000000001,1.097393,1.466584,1.721859
10-2802766,,,,,,,,,,0,0.37282,0.829309,1.1985,1.453775
11-2802777,,,,,,,,,,,0,0.45648999999999995,0.825681,1.080956
12-2806749,,,,,,,,,,,,0,0.369191,0.708444
13-2806751,,,,,,,,,,,,,0,0.34136500000000003
14-2806752,,,,,,,,,,,,,,0
