순번_정류장ID,1-2806423,2-2806421,3-2805953,4-2806634,5-2806428,6-2806911,7-2805657,8-2805658,9-2802147,10-2801897,11-2801895,12-2802108,13-2801822,14-2802019,15-2802005,16-2801932,17-2801908,18-2801715,19-2801690,20-2803662,21-2800166
1-2806423,0,0.340908,0.6163569999999999,1.435807,1.963079,1.729888,1.895125,2.141289,2.476075,2.700155,2.655391,2.903206,3.232821,3.662299,3.729961,4.876653,5.8725830000000006,6.7687029999999995,7.2484720000000005,7.824126,8.287732
2-2806421,,0,0.275449,1.094899,1.6221709999999998,1.3889799999999999,1.554217,1.8003810000000002,2.135167,2.409938,2.580299,2.828114,3.1577290000000002,3.8597940000000004,4.072869,5.219561,6.215491,7.111611,7.59138,8.167034,8.63064
3-2805953,,,0,0.81945,1.346722,1.113531,1.2787680000000001,1.524932,1.859718,2.134489,2.30485,2.552665,2.8822799999999997,3.584345,3.79742,4.9441120000000005,5.940042,6.836162,7.315931,7.891585000000001,8.355191
4-2806634,,,,0,0.5699310000000001,0.803122,1.212318,1.458483,1.7932689999999998,2.0680389999999997,2.2384,2.486215,2.815831,3.5178949999999998,3.730971,4.877662,5.873593,6.769711999999999,7.249480999999999,7.825135,8.288742
5-2806428,,,,,0,0.23319099999999998,0.642387,0.888552,1.2233379999999998,1.498108,1.668469,1.9162849999999998,2.2459,2.947964,3.1610400000000003,4.3077309999999995,5.303662,6.199781,6.67955,7.255203999999999,7.718811
6-2806911,,,,,,0,0.409197,0.655361,0.9901469999999999,1.264917,1.4352790000000002,1.6830939999999999,2.012709,2.7147740000000002,2.927849,4.074541,5.0704709999999995,5.966591,6.446359999999999,7.0220139999999995,7.48562
7-2805657,,,,,,,0,0.246164,0.582951,0.857721,1.028082,1.2758969999999998,1.605512,2.307577,2.520653,3.6673440000000004,4.663275,5.559394,6.039162999999999,6.6148169999999995,7.078424000000001
8-2805658,,,,,,,,0,0.33678600000000003,0.611557,0.781918,1.029733,1.359348,2.061413,2.2744880000000003,3.42118,4.41711,5.31323,5.792999,6.368653,6.832259
9-2802147,,,,,,,,,0,0.278771,0.449132,0.696947,1.026562,1.7286270000000001,1.941702,3.088394,4.084324,4.980444,5.4602129999999995,6.035867,6.499473
10-2801897,,,,,,,,,,0,0.17036099999999998,0.41817600000000005,0.747792,1.449856,1.662932,2.8096229999999998,3.805554,4.701673,5.181442,5.757096,6.220703
11-2801895,,,,,,,,,,,0,0.248815,0.57843,1.2804950000000002,1.49357,2.640262,3.636192,4.532312,5.012080999999999,5.5877349999999995,6.051341000000001
12-2802108,,,,,,,,,,,,0,0.329615,1.03168,1.2447549999999998,2.3914470000000003,3.387377,4.2834970000000006,4.763266000000001,5.33892,5.802526
13-2801822,,,,,,,,,,,,,0,0.7020649999999999,0.91514,2.061832,3.057762,3.953882,4.433651,5.009305,5.472911
14-2802019,,,,,,,,,,,,,,0,0.21307600000000002,1.359767,2.355698,3.251817,3.731586,4.30724,4.770847
15-2802005,,,,,,,,,,,,,,,0,1.147692,2.143622,3.039742,3.519511,4.095165,4.558771
16-2801932,,,,,,,,,,,,,,,,0,1.002931,1.89905,2.378819,2.954473,3.4180800000000002
17-2801908,,,,,,,,,,,,,,,,,0,0.89612,1.417889,1.993543,2.4571490000000002
18-2801715,,,,,,,,,,,,,,,,,,0,0.5217689999999999,1.097423,1.561029
19-2801690,,,,,,,,,,,,,,,,,,,0,0.575654,1.039261
20-2803662,,,,,,,,,,,,,,,,,,,,0,0.466607
21-2800166,,,,,,,,,,,,,,,,,,,,,0
