순번_정류장ID,1-2807634,2-2806815,3-2805755,4-2805756,5-2807636,6-2800317,7-2804990,8-2807301,9-2803514,10-2803080,11-2803077,12-2803101,13-2805595,14-2803123,15-2803131,16-2803137,17-2805441,18-2802629,19-2802719,20-2802709,21-2802718,22-2802712,23-2802625,24-2802694,25-2802673,26-2802039,27-2801999,28-2801977,29-2802024,30-2802051,31-2802098,32-2802129,33-2802158,34-2802168,35-2802175,36-2801848,37-2802825,38-2802870,39-2802906,40-2802937,41-2802951,42-2802958,43-2802439,44-2802476,45-2806240,46-2804421,47-2805309,48-2805206,49-2805004,50-2806095,51-2804866,52-2805586,53-2805058,54-2805396,55-2804872,56-2803519,57-2802348,58-2802345,59-2802359,60-2803795,61-2804906,62-2805203,63-2803769,64-2806756,65-2807088,66-2806766,67-2806758,68-2806755
32-2802129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5302720000000001,0.8463579999999999,1.189659,1.470018,1.738792,2.056189,2.672718,3.244239,3.364725,3.633518,5.418023000000001,5.811471,7.996383,9.100783,9.553774,9.825051,9.659911,9.631018,10.016999,10.248018,10.185429,9.958476,9.743725,10.203014999999999,10.365851,11.02173,11.669807,11.606484,11.311563,11.724517,11.874146000000001,12.014827,12.218285,11.886667999999998,11.494938000000001,10.625752
33-2802158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.316087,0.659388,0.9397469999999999,1.271521,1.588918,2.142446,2.713968,2.834454,3.103247,4.887752,5.2802,7.466112,8.569512,9.023503,9.29378,9.128639999999999,9.100747,9.485727,9.717747,9.654158,9.427204,9.213453999999999,9.671744,9.83458,10.489458,11.138535000000001,11.075213,10.781292,11.193246,11.341875,11.483556,11.686481,11.357396000000001,10.963667,10.095481
34-2802168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.343301,0.623661,0.955434,1.272831,1.8263599999999998,2.397882,2.518368,2.787161,4.571665,4.965113,7.151026,8.253426,8.708416,8.978693,8.813553,8.784661,9.169641,9.401661,9.338071000000001,9.112117999999999,8.898368,9.356658,9.519492999999999,10.174372,10.822449,10.760126,10.466205,10.878159,11.026788,11.16947,11.370927,11.04231,10.646581,9.780395
35-2802175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28136,0.613133,0.93053,1.499059,2.0705810000000002,2.191067,2.45986,4.244364,4.636812,6.823725,7.927125,8.381115,8.651392,8.485252000000001,8.45836,8.84234,9.073360000000001,9.010769999999999,8.784817,8.571067,9.028357000000002,9.193192,9.848071000000001,10.495148,10.432825,10.138904,10.549858,10.699487,10.841169,11.043092999999999,10.713009,10.32028,9.452094
36-2801848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.33177399999999996,0.64917,1.257699,1.829221,1.949707,2.2185,4.003005,4.396453,6.582364999999999,7.685764999999999,8.138755999999999,8.410033,8.244893,8.217,8.60098,8.832,8.77041,8.543457,8.329707,8.786997,8.950832,9.605711,10.253788,10.190466,9.897545,10.309498,10.458128,10.598809,10.802267,10.472649,10.07992,9.210734
37-2802825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.317397,0.9699260000000001,1.541447,1.661933,1.930726,3.7152309999999997,4.108679,6.293591999999999,7.396991000000001,7.850982000000001,8.122259,7.956119,7.9282259999999996,8.313207,8.545226,8.481637,8.254684,8.041933,8.500223,8.663059,9.317938,9.966014999999999,9.902692,9.608771,10.021725,10.171354,10.312035,10.515493,10.185875999999999,9.791146000000001,8.92296
38-2802870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.652529,1.224051,1.344537,1.61333,3.3978339999999996,3.791283,5.977195,7.079594999999999,7.533586,7.804863,7.639722999999999,7.61183,7.9958100000000005,8.22683,8.16424,7.938287,7.723536999999999,8.181827,8.344662,9.000541,9.648617999999999,9.586296,9.292375,9.704328,9.851958,9.993639,10.196097,9.868478999999999,9.47375,8.605564
39-2802906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.572522,0.693008,0.961801,2.746305,3.139754,5.325666,6.429066000000001,6.883057000000001,7.153334,6.988194,6.960300999999999,7.345281,7.577300999999999,7.513711,7.286758,7.073008,7.531298,7.694133,8.349012,8.998089,8.934766999999999,8.640846,9.052799,9.202428999999999,9.34411,9.546567999999999,9.21695,8.822221,7.9550350000000005
40-2802937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.348986,0.617779,2.402284,2.7947319999999998,4.980644,6.0840440000000005,6.538035,6.808312,6.643172,6.615278999999999,7.000259,7.231279,7.168689,6.941736,6.728986,7.187276,7.349111,8.00399,8.652067,8.590745,8.296824,8.708777,8.857407,8.999088,9.201546,8.870928,8.479199000000001,7.610013
41-2802951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.268793,2.053298,2.4457459999999998,4.631658,5.735058,6.189049,6.459326,6.294186,6.266293,6.651273,6.882292999999999,6.819703,6.59275,6.379,6.837289999999999,7.000125,7.655003999999999,8.303081,8.240758999999999,7.9468380000000005,8.358791,8.508421,8.650102,8.851560000000001,8.521942,8.128213,7.261027
