순번_정류장ID,1-2801439,2-2801494,3-2801522,4-2801537,5-2801552,6-2801594,7-2801630,8-2801631
1-2801439,0,0.703572,0.931896,1.063993,1.130992,1.333907,1.605764,1.572791
2-2801494,,0,0.22832399999999997,0.36041999999999996,0.477583,0.818335,1.090192,1.385219
3-2801522,,,0,0.132097,0.24925999999999998,0.590011,0.861869,1.1558950000000001
4-2801537,,,,0,0.11716300000000002,0.45791400000000004,0.729772,1.023798
5-2801552,,,,,0,0.340751,0.612609,0.9076350000000001
6-2801594,,,,,,0,0.271858,0.636885
7-2801630,,,,,,,0,0.365027
8-2801631,,,,,,,,0
