순번_정류장ID,45-2801790,46-2801977,47-2805598,48-2802051,49-2802098,50-2802121,51-2802100,52-2806709,53-2802089,54-2802073,55-2802060,56-2804815,57-2802071,58-2802062,59-2802081,60-2802066,61-2802069,62-2802087,63-2804799,64-2802048,65-2801823,66-2802110,67-2801894,68-2801891,69-2801853,70-2805585,71-2805678,72-2805882,73-2806908,74-2806077,75-2805649,76-2806515,77-2806517,78-2805906,79-2806422
45-2801790,0,0.5366029999999999,0.914773,1.1607459999999998,1.613653,2.047601,2.500474,2.690033,2.7407630000000003,3.04826,3.2966019999999996,3.458074,3.667647,3.8237010000000002,3.944603,4.261049,4.411004,4.663725,4.965779,4.9397470000000006,5.393102,5.722033000000001,5.914471,6.218854,6.420195,6.600947,6.921831,7.304063,7.555876,7.768511999999999,8.069363000000001,8.268013,8.306151,8.108025,8.450447
46-2801977,,0,0.37817,0.6241439999999999,1.07705,1.509998,1.963871,2.167569,2.4351599999999998,2.742657,2.991,3.152471,3.362044,3.708901,3.9200019999999998,4.236447,4.3864019999999995,4.639124,4.941177,4.915146,5.368501,5.697431,5.889869,6.194252,6.395593,6.577344999999999,6.89723,7.279461,7.531275,7.7439100000000005,8.044762,8.243412,8.281549,8.083423,8.422845
47-2805598,,,0,0.245973,0.6988800000000001,1.1328280000000002,1.585701,1.7893990000000002,2.0569900000000003,2.364486,2.612829,2.774301,2.983874,3.3307300000000004,3.5638300000000003,3.880275,4.03023,4.282952,4.585005000000001,4.558974,5.012329,5.34126,5.533697,5.838081,6.039421,6.221173,6.5410580000000005,6.923289,7.175103,7.387739,7.68859,7.887239999999999,7.925377,7.7262509999999995,8.067673
48-2802051,,,,0,0.45390699999999995,0.887855,1.341728,1.545426,1.8120169999999998,2.119513,2.367856,2.529328,2.738901,3.085757,3.416857,3.7333019999999997,3.919257,4.135979,4.438032,4.4480010000000005,4.901356,5.230287000000001,5.422724,5.727108,5.928448,6.110201,6.430085,6.812316,7.0641300000000005,7.276766,7.541617,7.740267,7.779405000000001,7.580278,7.9197
49-2802098,,,,,0,0.43494799999999995,0.8888209999999999,1.092519,1.40411,1.7116069999999999,1.95995,2.121422,2.330994,2.677851,3.00895,3.325396,3.602351,3.728072,4.030126,4.372195,4.825551,5.154481,5.346919000000001,5.651301999999999,5.841542,6.033395,6.354279,6.56941,6.821224000000001,6.875039999999999,7.133711,7.32436,7.371498,7.170372,7.512794
50-2802121,,,,,,0,0.45387299999999997,0.657571,0.9691620000000001,1.276659,1.525002,1.6864729999999999,1.896046,2.242903,2.574002,2.890448,3.1674029999999997,3.2931239999999997,3.5951779999999998,3.9778569999999998,4.483502,4.812432,5.0048699999999995,5.309253,5.406594,5.618346,5.975230000000001,6.134462,6.3862760000000005,6.440092,6.698761999999999,6.897411999999999,6.93655,6.737424000000001,7.078846
51-2802100,,,,,,,0,0.203698,0.515289,0.822786,1.071129,1.232601,1.442173,1.78903,2.120129,2.436575,2.71353,2.839251,3.141305,3.5239839999999996,4.029629,4.358559,4.550997,4.85538,4.9527209999999995,5.164473,5.521357,5.680589,5.932403,5.986219,6.24489,6.443539,6.479677,6.282551,6.625972999999999
52-2806709,,,,,,,,0,0.311592,0.619088,0.867431,1.0289030000000001,1.238475,1.585332,1.916432,2.2328770000000002,2.509832,2.635554,2.937607,3.320286,3.8259309999999997,4.154861,4.347299,4.651682,4.749023,4.960775,5.31766,5.476891,5.728705000000001,5.782522,6.041192,6.2398419999999994,6.275979,6.077853,6.419275
53-2802089,,,,,,,,,0,0.30749699999999996,0.55584,0.717312,0.926884,1.273741,1.60484,1.921286,2.198241,2.323962,2.626016,3.008695,3.5143400000000002,3.8432699999999995,4.0357080000000005,4.340091,4.437432,4.649184,5.006068,5.1653,5.417114,5.46893,5.729601000000001,5.92825,5.967388,5.769262,6.109684
54-2802073,,,,,,,,,,0,0.24834299999999998,0.409815,0.619387,0.9662440000000001,1.297344,1.613789,1.8907439999999998,2.016466,2.3185189999999998,2.7011979999999998,3.206843,3.5357730000000003,3.728211,4.0325940000000005,4.129935,4.341687,4.698572,4.857803,5.109617,5.161434,5.422104,5.620753,5.657891,5.460765,5.8011870000000005
