순번_정류장ID,20-2803478,21-2805175,22-2805166,23-2805164,24-2805167,25-2805162,26-2805160,27-2805158,28-2803416,29-2807467,30-2807468,31-2807583,32-2806215,33-2800622,34-2800336,35-2800670,36-2800695
20-2803478,0,1.613839,2.425949,2.78558,3.278322,3.802907,4.326696,5.084633999999999,7.4514,13.217504000000002,18.242499,23.352321,27.644663,28.132892,28.917332000000002,29.432056,29.908737
21-2805175,,0,0.81311,1.172741,1.6654830000000003,2.190068,2.713857,3.471796,5.838561,11.604664999999999,16.628660999999997,21.739483,26.032825,26.519053000000003,27.303493,27.820217,28.294898999999997
22-2805166,,,0,0.365631,0.8583729999999999,1.382958,1.9067470000000002,2.664686,5.031451000000001,10.797555000000001,15.821551000000001,20.932373000000002,25.225715,25.711942999999998,26.496383,27.012107,27.488789
23-2805164,,,,0,0.492742,1.017327,1.541116,2.299055,4.66582,10.432924,15.456920000000002,20.566742,24.861083999999998,25.345312,26.130751999999998,26.647476,27.123158
24-2805167,,,,,0,0.5285850000000001,1.052374,1.810313,4.177078,9.944183,14.968178,20.077,24.370342,24.858570999999998,25.64301,26.157734,26.634415999999998
25-2805162,,,,,,0,0.5327890000000001,1.290728,3.657493,9.423597000000001,14.447593,19.558415,23.851757,24.336985000000002,25.122425,25.637148999999997,26.113831
26-2805160,,,,,,,0,0.75794,3.124705,8.891809,13.916804,19.026626999999998,23.319969,23.806197,24.590637,25.106361,25.582042
27-2805158,,,,,,,,0,2.366766,8.13387,13.158864999999999,18.268687,22.562029000000003,23.048257999999997,23.831697,24.348422,24.824103
28-2803416,,,,,,,,,0,5.767105,10.7921,15.901922,20.195264,20.681493,21.465932000000002,21.981656,22.457338
29-2807467,,,,,,,,,,0,5.024995,10.134818,14.42816,14.914388,15.698828,16.214551999999998,16.691233
30-2807468,,,,,,,,,,,0,5.111823,9.405165,9.891392999999999,10.675833,11.191557000000001,11.668238
31-2807583,,,,,,,,,,,,0,4.293342,4.779571,5.56401,6.079733999999999,6.948416
32-2806215,,,,,,,,,,,,,0,0.880283,1.664722,2.182446,3.051128
33-2800622,,,,,,,,,,,,,,0,0.7864399999999999,1.3041639999999999,2.172846
34-2800336,,,,,,,,,,,,,,,0,0.518724,1.387406
35-2800670,,,,,,,,,,,,,,,,0,0.868682
36-2800695,,,,,,,,,,,,,,,,,0
