순번_정류장ID,88-2801766,89-2801756,90-2801749,91-2801743,92-2801725,93-2801708,94-2801694,95-2801196,96-2801657,97-2801618,98-2801596,99-2801560,100-2801527,101-2801514,102-2801509,103-2801497,104-2801482,105-2801450,106-2801438,107-2805321,108-2801461,109-2801462,110-2801469,111-2801430,112-2801376,113-2801336,114-2801322,115-2807006,116-2801150,117-2801154,118-2801156,119-2806243,120-2806241,121-2806215,122-2800622,123-2800627,124-2800336,125-2800658,126-2800670,127-2800682,128-2800695,129-2800723,130-2800745,131-2800759,132-2800776,133-2800796,134-2800803,135-2800809,136-2800811,137-2801795,138-2801793,139-2801779,140-2801773,141-2801774,142-2801787,143-2801806,144-2801954,145-2801977,146-2802024,147-2802051,148-2802098,149-2802129,150-2802158,151-2802168,152-2802828,153-2802193,154-2802221,155-2802224,156-2802242,157-2802265,158-2802279,159-2802278,160-2802282,161-2802291,162-2802549,163-2802545,164-2802367,165-2802541,166-2802552,167-2802566,168-2802366,169-2802585,170-2802374
88-2801766,0,0.376259,0.778049,1.104347,1.51439,1.7626119999999998,2.008902,2.3980360000000003,2.782148,2.991961,3.195611,3.3330330000000004,3.764457,4.01419,4.186567,3.905304,4.102742,4.514108,4.746405,4.645976,4.4918190000000005,4.329554,4.0039489999999995,4.378011,4.90353,5.237557,5.409467,5.882354,6.116393,6.4297059999999995,6.758822,7.501261,7.145039,7.0444949999999995,6.491212,6.150856,5.705773000000001,5.449473,5.187049,4.773351,4.318366999999999,4.104468,4.1857690000000005,3.9917589999999996,3.602902,3.210331,2.146314,1.790675,1.4232479999999998,1.004106,0.600526,0.36616,0.5068239999999999,0.6820689999999999,1.186771,1.707819,2.228314,2.616469,3.046437,3.240612,3.693518,4.06595,4.595221,4.911307,5.059347,6.007626999999999,7.56985,7.896625,8.379968,8.457048,9.064658,9.619968,9.862653,9.390324,8.963339,8.9731,9.101033000000001,9.138678,9.499258,9.745467999999999,10.053175,10.284117,10.48991
89-2801756,,0,0.40179000000000004,0.728089,1.138131,1.3863530000000002,1.632643,2.021778,2.4058889999999997,2.615702,2.819352,2.9567740000000002,3.3881989999999997,3.6379309999999996,3.810308,3.5290449999999995,3.726483,4.137849,4.370146,4.269718,4.115559999999999,3.953295,3.6276900000000003,4.001752,4.527271,4.861298000000001,5.032208,5.506094999999999,5.7401349999999995,6.053447,6.381563,7.170481,7.521298,7.420754,6.866471000000001,6.527115,6.082032,5.824732,5.562307,5.14861,4.693626,4.480727,4.563028,4.368018,3.979161,3.58659,2.522573,2.166934,1.799507,1.380365,0.976785,0.7424189999999999,0.883083,1.0583280000000002,1.56303,2.084078,2.605573,2.993728,3.423696,3.617871,4.070777,4.4432089999999995,4.97248,5.289566000000001,5.433606,6.384886,7.947108999999999,8.272883,8.755227,8.832307,9.439917,9.994227,10.237912,9.765583,9.338598,9.347358999999999,9.475292,9.511937,9.872517,10.119727000000001,10.426434,10.658375999999999,10.865169
90-2801749,,,0,0.326299,0.736341,0.984564,1.230853,1.619988,2.0041,2.213912,2.417563,2.554984,2.986409,3.236141,3.408519,3.127255,3.324693,3.7360599999999997,3.9683559999999996,3.867928,3.71377,3.551505,3.225901,3.599962,4.125482,4.4595080000000005,4.631419,5.103305000000001,5.3383449999999995,5.651657,5.980773999999999,6.7686910000000005,7.123913000000001,7.734511,7.268261,6.928905,6.4828209999999995,6.226522,5.964097,5.5504,5.095416,4.882516000000001,4.962818,4.768808,4.3809510000000005,3.988379,2.925363,2.5697229999999998,2.202297,1.7831540000000001,1.378575,1.144209,1.284873,1.460117,1.96482,2.485868,3.0073630000000002,3.188485,3.6184529999999997,3.8126279999999997,4.265534,4.6379660000000005,5.168238,5.483324,5.837396,6.580642999999999,8.140866,8.467641,8.969984,9.235097,9.842707,10.398016,10.642702,10.168372,9.741388,9.751149,9.879081,9.916727,10.276306,10.523516,10.831223,11.062166,11.267959
91-2801743,,,,0,0.41804300000000005,0.666265,0.9125549999999999,1.3016889999999999,1.6858009999999999,1.895614,2.099264,2.236685,2.66811,2.917842,3.08922,2.808957,3.006394,3.417761,3.650058,3.549629,3.3954720000000003,3.233207,2.9076020000000002,3.281664,3.807183,4.14121,4.312119999999999,4.785007,5.020046,5.333359,5.662475,6.450392,6.806615,7.417211999999999,7.3099300000000005,6.970574000000001,6.52449,6.268191000000001,6.005766,5.732302,5.422714,5.208815,5.289116,5.0951059999999995,4.706249,4.3136779999999995,3.251661,2.8960220000000003,2.528595,2.108453,1.7048729999999999,1.470507,1.6111719999999998,1.786416,2.278489,2.791834,2.746339,2.870186,3.300155,3.494329,3.947236,4.320667,4.848939,5.165025,5.834065,6.262344000000001,7.822566999999999,8.149341999999999,8.651685,9.022766,9.630376,10.186686,10.494000000000002,10.493671,10.066686,10.076447,10.20438,10.241025,10.601605000000001,10.848815,11.156522,11.387464,11.593257000000001
92-2801725,,,,,0,0.248223,0.494512,0.883647,1.267758,1.477571,1.6812209999999999,1.818643,2.250068,2.4998,2.672177,2.5986290000000003,2.796067,3.207433,3.4397300000000004,3.1315869999999997,2.977429,2.8151639999999998,2.48956,2.8636209999999997,3.3891410000000004,3.7231669999999997,3.894077,4.366964,4.601004,4.914316,5.244432,6.03235,6.388572,6.99817,6.891888000000001,6.552531,6.106448,5.850148,5.587724,5.31426,5.414042,5.200143,5.562842,5.507149,5.118291999999999,4.72572,3.660704,3.305064,2.937638,2.518496,2.114916,1.88055,2.021214,2.111257,2.0691610000000003,2.582506,2.5360110000000002,2.6598580000000003,3.089827,3.2840019999999996,3.736908,4.110339,4.639611,4.955697,5.6247370000000005,6.052017,7.613239,7.940014,8.442358,8.813438,9.421047999999999,9.976358,10.283672,10.757002,10.364728999999999,10.37449,10.502423,10.650068,11.010647,11.257858,11.565564,11.685507000000001,11.8913
93-2801708,,,,,,0,0.24629,0.635425,1.019536,1.229349,1.432999,1.5704209999999998,2.001845,2.251578,2.423955,2.5478509999999996,2.745289,3.1566549999999998,3.3889519999999997,2.883364,2.729207,2.5669419999999996,2.2413369999999997,2.615399,3.140918,3.4749449999999995,3.6468550000000004,4.119742,4.353781,4.6670940000000005,4.99621,5.784128,6.14035,6.750947999999999,6.6436649999999995,6.304309,5.858226,5.601926000000001,5.339501,5.066037000000001,5.16482,4.951921,5.31462,5.50863,5.365514,4.972943,3.908926,3.5542870000000004,3.18586,2.766718,2.363138,2.128772,2.2694360000000002,2.360479,2.3183830000000003,2.8307279999999997,2.784234,2.908081,3.338049,3.532224,3.9851300000000003,4.357562000000001,4.886833,5.2029190000000005,5.8719589999999995,6.299239,7.860461999999999,8.187237,8.68958,9.06066,9.66827,10.22358,10.530894,11.004224,10.611951,10.621711999999999,10.749645,10.899289999999999,11.260869999999999,11.50608,11.814786999999999,11.932729,12.138522
94-2801694,,,,,,,0,0.389135,0.773247,0.983059,1.18671,1.324131,1.7555560000000001,2.005288,2.176666,2.48486,2.9068400000000003,3.318207,3.236503,2.637075,2.482917,2.320652,1.995048,2.369109,2.894629,3.228655,3.3995660000000005,3.8724519999999996,4.106492,4.419805,4.748921,5.5368379999999995,5.89306,6.503658000000001,6.397376,6.058019,5.611936,5.355636,5.093212,4.819748000000001,4.9185300000000005,4.7056309999999995,5.0683300000000004,5.26234,5.611804,5.219232,4.156216000000001,3.8005760000000004,3.43315,3.014007,2.609428,2.375061,2.515726,2.605768,2.563673,3.077018,3.030523,3.15537,3.584339,3.778513,4.232419999999999,4.604851,5.134123000000001,5.450209,6.119249,6.5465279999999995,8.107750999999999,8.434526,8.936869,9.30895,9.915560000000001,10.471869,10.778184,11.251513000000001,10.859241,10.869002,10.996934,11.14658,11.506159,11.753369000000001,12.060075999999999,12.181019000000001,12.385812
95-2801196,,,,,,,,0,0.384112,0.593924,0.797575,0.9349959999999999,1.3664209999999999,1.6161530000000002,1.7875310000000002,2.094725,2.517705,2.929072,2.847368,2.2479400000000003,2.093783,1.931517,1.605913,1.979975,2.5054939999999997,2.839521,3.011431,3.484318,3.718357,4.03167,4.359786,5.148703,5.504925,6.1155230000000005,6.008241,5.668883999999999,5.2228010000000005,4.966501,4.704077,4.430613,4.529396,4.316496,4.679195,4.8732050000000005,5.261062,5.608366999999999,4.545351,4.188711,3.8212839999999995,3.403142,2.9985619999999997,2.764196,2.904861,2.994903,2.953808,3.4661519999999997,3.420658,3.5445050000000005,3.974473,4.168648,4.621554,4.994986,5.524258000000001,5.840344,6.509383000000001,6.936663,8.497886,8.824661,9.327003999999999,9.698084,10.305695,10.861004,11.168318,11.641648,11.249375,11.259136999999999,11.387069,11.535714,11.895294,12.143504,12.450211,12.570153999999999,12.775947
96-2801657,,,,,,,,,0,0.210813,0.414463,0.5518850000000001,0.983309,1.233042,1.405419,1.7126139999999999,2.1355939999999998,2.54696,2.464257,1.864828,1.7106709999999998,1.548406,1.222801,1.596863,2.122382,2.456409,2.628319,3.100206,3.3352449999999996,3.648558,3.977674,4.764591,5.120814,5.731412000000001,5.625129,5.285773000000001,4.83969,4.5833900000000005,4.320965,4.0475010000000005,4.147284,3.933385,4.296084,4.490093,4.87795,5.270522,4.735538,4.573823,4.206396,3.787254,3.3826739999999997,3.148308,3.2889720000000002,3.3790150000000003,3.3379190000000003,3.851264,3.8037699999999997,3.928617,4.358585,4.55276,5.005666000000001,5.379098,5.907369,6.224455,6.893495,7.320775,8.880998,9.207772,9.711116,10.082196000000001,10.689805999999999,11.245116000000001,11.552430000000001,12.02576,11.633486999999999,11.643248,11.770181,11.919825999999999,12.281406,12.527616,12.835322999999999,12.953265,13.159057999999998
97-2801618,,,,,,,,,,0,0.203651,0.341072,0.772497,1.022229,1.1936069999999999,1.500801,1.9237810000000002,2.335148,2.253444,1.654016,1.499858,1.337593,1.011989,1.38605,1.91157,2.245596,2.417507,2.890393,3.1244330000000002,3.4377459999999997,3.766862,4.554779,4.911001000000001,5.520599,5.414317,5.07496,4.628876999999999,4.372577,4.1101529999999995,3.836689,3.969471,3.7565720000000002,4.119271,4.313281,4.701137999999999,5.093709,4.557726000000001,4.783634999999999,4.415209,3.9970660000000002,3.592487,3.3581199999999995,3.498785,3.5898269999999997,3.547732,4.061077,4.014582,4.138429,4.568398,4.7625720000000005,5.215479,5.58891,6.118182,6.433268,7.103308,7.529586999999999,9.090810000000001,9.418585,9.920928,10.292009,10.899619,11.454928,11.762243,12.235572,11.8433,11.853061,11.980993,12.128639,12.490217999999999,12.735428,13.042135,13.164078,13.369871
98-2801596,,,,,,,,,,,0,0.13742200000000002,0.568847,0.818579,0.990956,1.298151,1.7211310000000002,2.1324970000000003,2.049794,1.450366,1.296208,1.133943,0.808339,1.1824,1.707919,2.041946,2.2138560000000003,2.686743,2.9197830000000002,3.233095,3.562211,4.350129,4.706351000000001,5.316949,5.210666000000001,4.87131,4.425227,4.168927,3.906503,3.6330379999999995,3.7668209999999998,3.552922,3.915621,4.109630999999999,4.4974870000000005,4.890059,4.355076,4.712715,4.618859,4.200717,3.7961370000000003,3.561771,3.702435,3.792478,3.750382,4.262727,4.217232,4.342079,4.772048000000001,4.965223,5.419129,5.791561,6.320832,6.637917999999999,7.306958,7.733238,9.293461,9.621235,10.123579,10.494659,11.101269,11.657579,11.963892999999999,12.439223,12.04595,12.055711,12.184644,12.333289,12.692869,12.940078999999999,13.247785999999998,13.366728,13.572521
