순번_정류장ID,21-2801135,22-2801131,23-2801120,24-2800852,25-2800845,26-2800854,27-2801103,28-2801110,29-2801114,30-2801107,31-2801075,32-2801069,33-2801062,34-2800856,35-2801051,36-2801056,37-2801045,38-2804917
21-2801135,0,0.21518299999999999,0.562538,0.778726,0.953975,1.2516209999999999,1.513573,1.497693,2.1843630000000003,2.503152,2.42978,2.505875,2.6873970000000003,2.915324,3.104689,3.696188,4.150132,4.517431
22-2801131,,0,0.347355,0.563543,0.738792,1.0364389999999999,1.29839,1.28251,1.969181,2.287969,2.2155970000000003,2.291693,2.472214,2.700141,2.8905060000000002,3.480006,3.9349489999999996,4.302249
23-2801120,,,0,0.22218800000000002,0.397437,0.737083,1.231992,1.216112,1.9017830000000002,2.222571,2.1491990000000003,2.225295,2.406816,2.634743,2.8241080000000003,3.4146080000000003,3.8695510000000004,4.236851000000001
24-2800852,,,,0,0.175249,0.519896,1.0928209999999998,1.227967,1.9156380000000002,2.151427,2.0780540000000003,2.15415,2.335671,2.563598,2.753963,3.3444629999999997,3.798406,4.165706
25-2800845,,,,,0,0.344647,0.9175719999999999,1.052718,1.740389,1.9771779999999999,1.903805,1.979901,2.161422,2.389349,2.5787139999999997,3.1692139999999998,3.624157,3.991457
26-2800854,,,,,,0,0.572925,0.708071,1.395742,1.6315309999999998,1.559158,1.635254,1.816776,2.0447029999999997,2.234068,2.8245669999999996,3.2795099999999997,3.64681
27-2801103,,,,,,,0,0.135147,0.822818,1.140606,1.067234,1.14333,1.324851,1.552778,1.742143,2.332643,2.787586,3.154886
28-2801110,,,,,,,,0,0.687671,1.0144600000000001,1.052353,1.128449,1.309971,1.537898,1.7272619999999999,2.290496,2.7454389999999997,3.112739
29-2801114,,,,,,,,,0,0.326789,0.746976,0.8895120000000001,1.071034,1.252961,1.442325,1.602825,2.056768,2.424068
30-2801107,,,,,,,,,,0,0.420188,0.563723,0.7452449999999999,0.9261719999999999,1.115537,1.276036,1.73098,2.097279
31-2801075,,,,,,,,,,,0,0.143536,0.325058,0.5529850000000001,0.7423489999999999,1.332849,1.7877919999999998,2.155092
32-2801069,,,,,,,,,,,,0,0.181522,0.41044899999999995,0.599813,1.190313,1.645256,2.012556
33-2801062,,,,,,,,,,,,,0,0.228927,0.418292,1.008792,1.463735,1.8310349999999997
34-2800856,,,,,,,,,,,,,,0,0.189365,0.7798649999999999,1.234808,1.602108
35-2801051,,,,,,,,,,,,,,,0,0.5905,1.0454430000000001,1.412743
36-2801056,,,,,,,,,,,,,,,,0,0.45494300000000004,0.8222430000000001
37-2801045,,,,,,,,,,,,,,,,,0,0.3673
38-2804917,,,,,,,,,,,,,,,,,,0
