순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804668,18-2804161
1-2800270,0,0.789926,1.059143,1.370099,1.506329,1.754101,2.04288,2.685899,3.012839,3.146703,3.581944,3.987714,4.412158,5.0184239999999996,6.085615,7.040715,7.571950999999999,8.4315
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.6232330000000004,4.229499,5.29669,6.25179,6.7830259999999996,7.642575
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.3550160000000004,3.961282,5.028473,5.983573000000001,6.514809,7.374358
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.046059,3.6523260000000004,4.7195160000000005,5.674616,6.205851999999999,7.065401
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,2.90983,3.516096,4.583287,5.538386,6.069622,6.929172
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.662058,3.2683240000000002,4.335515,5.290615,5.82185,6.6814
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.369279,2.975545,4.042736,4.997835,5.529071,6.388621
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,1.726259,2.332525,3.399716,4.3548160000000005,4.886051999999999,5.745601000000001
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.399319,2.005586,3.072777,4.027876,4.559112,5.418661
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.265455,1.871722,2.938913,3.8940120000000005,4.425248000000001,5.284797
11-2803684,,,,,,,,,,,0,0.40576999999999996,0.8312149999999999,1.437481,2.5046720000000002,3.459772,3.9910069999999997,4.850557
12-2803685,,,,,,,,,,,,0,0.42544499999999996,1.031711,2.098902,3.054002,3.585238,4.444787
13-2804147,,,,,,,,,,,,,0,0.606266,1.673457,2.628557,3.159793,4.019342
14-2804149,,,,,,,,,,,,,,0,1.072191,2.027291,2.558527,3.418076
15-2804151,,,,,,,,,,,,,,,0,0.9551,1.486336,2.345885
16-2804162,,,,,,,,,,,,,,,,0,0.5312359999999999,1.5929149999999999
17-2804668,,,,,,,,,,,,,,,,,0,1.06168
18-2804161,,,,,,,,,,,,,,,,,,0
