순번_정류장ID,1-2801174,2-2801729,3-2801711,4-2801704,5-2801695,6-2801216,7-2801184,8-2801665,9-2801636,10-2801601,11-2801577,12-2801607
1-2801174,0,0.244313,0.520486,0.63245,0.763464,0.894509,1.2288700000000001,1.499454,1.8879,2.183154,2.4711939999999997,2.149769
2-2801729,,0,0.276173,0.388137,0.519151,0.650196,0.984557,1.255141,1.643587,1.938841,2.226881,1.905456
3-2801711,,,0,0.11196500000000001,0.242979,0.374023,0.708384,0.9789690000000001,1.367415,1.662668,1.950708,1.629284
4-2801704,,,,0,0.13101400000000002,0.262058,0.59642,0.8670040000000001,1.25545,1.550704,1.838744,1.517319
5-2801695,,,,,0,0.131045,0.46540600000000004,0.7359899999999999,1.124436,1.41969,1.70773,1.386305
6-2801216,,,,,,0,0.334361,0.604946,0.993392,1.288645,1.5766850000000001,1.255261
7-2801184,,,,,,,0,0.27058499999999996,0.659031,0.954284,1.242324,0.9209
8-2801665,,,,,,,,0,0.388446,0.6837,0.9717399999999999,0.650315
9-2801636,,,,,,,,,0,0.295254,0.6237779999999999,0.46079799999999993
10-2801601,,,,,,,,,,0,0.329525,0.649949
11-2801577,,,,,,,,,,,0,0.321425
12-2801607,,,,,,,,,,,,0
