순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2804583,18-2804714,19-2803929,20-2804691,21-2804689,22-2804693,23-2804695,24-2806387,25-2804699,26-2800282,27-2806302,28-2804028,29-2804703,30-2804706,31-2804769,32-2804026,33-2804024,34-2804710,35-2807415,36-2804022
24-2806387,,,,,,,,,,,,,,,,,,,,,,,,0,0.656722,1.061724,1.430559,1.875891,2.086704,2.487089,2.793187,3.320393,3.983532,4.506348,4.795909,4.942886
25-2804699,,,,,,,,,,,,,,,,,,,,,,,,,0,0.405003,0.773837,1.21917,1.429983,1.830368,2.1364650000000003,2.663671,3.326811,3.849626,4.139187000000001,4.286164
26-2800282,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.36883499999999997,0.814167,1.02498,1.425365,1.7314630000000002,2.258669,2.921808,3.4446239999999997,3.7341849999999996,3.8811620000000002
27-2806302,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.445333,0.656146,1.0565309999999999,1.3626280000000002,1.889834,2.5529740000000003,3.075789,3.36535,3.5123269999999995
28-2804028,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.210813,0.6111979999999999,0.9172950000000001,1.444502,2.107641,2.630457,2.9200180000000002,3.0669939999999998
29-2804703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.400386,0.706483,1.233689,1.896828,2.419644,2.709205,2.856182
30-2804706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.30609699999999995,0.833303,1.496443,2.019259,2.3088189999999997,2.48082
31-2804769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5272060000000001,1.190346,1.7131610000000002,2.0027220000000003,2.174722
32-2804026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.663139,1.1859549999999999,1.475516,1.647516
33-2804024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.522816,0.812377,0.9843770000000001
34-2804710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.289561,0.46156099999999994
35-2807415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.172
36-2804022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
