순번_정류장ID,28-2805171,29-2805172,30-2806082,31-2803431,32-2806078,33-2803845,34-2803846,35-2805428,36-2805399,37-2806080,38-2804478,39-2800047,40-2800006,41-2804538,42-2804065,43-2800297,44-2803996,45-2803994,46-2803990,47-2803981,48-2803974,49-2803875,50-2803864,51-2803853
28-2805171,0,0.45848500000000003,0.885649,1.65346,16.175546,17.54716,18.039496,18.356729,22.018503,22.469847,22.898524,25.476188,30.171501,36.158314000000004,36.884363,36.878521,37.023002000000005,37.331027,38.946571,40.961949,43.692764000000004,44.116964,44.552533000000004,45.685590999999995
29-2805172,,0,0.42716400000000004,2.111945,16.634031,18.005644,18.497981,18.815214,22.476988000000002,22.928332,23.356009,25.934673,30.629986,36.617799,37.341848,37.337006,37.482487,37.790512,39.404056,41.423434,44.153249,44.574449,45.010017,46.145075
30-2806082,,,0,2.539109,17.061195,18.432807999999998,18.925145,19.242378,22.904152,23.355496,23.784173000000003,26.361837,31.05715,37.044963,37.770012,37.76417,37.908651,38.217676000000004,39.83122,41.848597999999996,44.578413,45.001613,45.438182,46.57224
31-2803431,,,,0,14.526086,15.8977,16.390037,16.70727,20.369042999999998,20.820387,21.248065,23.826728,28.522042,34.508854,35.234903,35.229062,35.373543,35.681567,37.297111,39.31449,42.043305,42.465505,42.903073,44.035131
32-2806078,,,,,0,1.376614,1.8689509999999998,2.186184,5.847957,6.299301,6.726978999999999,9.305642,13.999956,19.988768,20.713817000000002,20.707976000000002,20.853457000000002,21.161481,22.775025,24.793404000000002,27.522219,27.945418,28.380987,29.514045
33-2803845,,,,,,0,0.49233699999999997,0.80957,4.471344,4.922688,5.350365,7.9280289999999995,12.623342,18.611155,19.336203,19.330362,19.475842999999998,19.783868,21.398412,23.415789999999998,26.145605,26.567805,27.004372999999998,28.138431
34-2803846,,,,,,,0,0.317233,3.979007,4.430351,4.8590279999999995,7.4356919999999995,12.132005,18.119818,18.843867000000003,18.838025,18.983506,19.291531,20.906075,22.923453,25.652268,26.077468,26.513037,27.647095
35-2805428,,,,,,,,0,3.6637739999999996,4.115118,4.542795,7.121459,11.815772,17.803585,18.528634,18.522792000000003,18.668273000000003,18.976298,20.590842000000002,22.608220000000003,25.339035,25.761235,26.197804,27.330862
36-2805399,,,,,,,,,0,0.45434399999999997,0.8820209999999999,3.459685,8.154997999999999,14.142810999999998,14.86786,14.862019,15.007499,15.315524,16.930068,18.948446,21.677262,22.098461,22.53603,23.670088
37-2806080,,,,,,,,,,0,0.42767799999999995,3.234342,7.928655,13.916468,14.641516000000001,14.635675,14.781156,15.089181,16.703723999999998,18.720102999999998,21.449918,21.874118,22.309686,23.250744
38-2804478,,,,,,,,,,,0,2.805664,7.500977000000001,13.48979,14.213839000000002,14.207997,14.353477999999999,14.661503,16.277047,18.294425,21.02224,21.445439999999998,21.882009,22.822067
39-2800047,,,,,,,,,,,,0,4.699314,10.687126,11.412175,11.406334,11.551815,11.859839,13.474383,15.492761999999999,18.222576999999998,18.644776,19.080345,20.79327
40-2800006,,,,,,,,,,,,,0,5.9888129999999995,6.713862,6.708019999999999,6.853501,7.161525999999999,8.776069999999999,10.793448,13.523263,13.945463,14.382032,16.094957
41-2804538,,,,,,,,,,,,,,0,0.7250489999999999,1.302208,1.4476879999999999,1.755713,3.370257,5.014215,7.74403,8.16623,8.976219,11.558144
42-2804065,,,,,,,,,,,,,,,0,0.579159,0.72464,1.032664,2.647208,4.663587000000001,7.393402,7.815600999999999,8.253169999999999,10.835094999999999
43-2800297,,,,,,,,,,,,,,,,0,0.148481,0.456506,2.0710490000000004,4.0884279999999995,6.818242999999999,7.240442999999999,7.677011,10.306936
44-2803996,,,,,,,,,,,,,,,,,0,0.308025,1.922569,3.940947,6.6697619999999995,7.091962,7.528531,10.292411999999999
45-2803994,,,,,,,,,,,,,,,,,,0,1.614544,3.6319220000000003,6.360737,6.783937,7.220505999999999,10.600436
46-2803990,,,,,,,,,,,,,,,,,,,0,2.017378,4.747194,5.169393,8.452055,12.037483
47-2803981,,,,,,,,,,,,,,,,,,,,0,2.7298150000000003,3.152015,6.793584,13.813509
48-2803974,,,,,,,,,,,,,,,,,,,,,0,0.4312,4.072769,11.095694
49-2803875,,,,,,,,,,,,,,,,,,,,,,0,3.641569,10.662494
50-2803864,,,,,,,,,,,,,,,,,,,,,,,0,7.024925
51-2803853,,,,,,,,,,,,,,,,,,,,,,,,0
