순번_정류장ID,1-2801611,2-2801598,3-2801623,4-2801653,5-2801674,6-2801693,7-2801709,8-2801721,9-2801736,10-2801744
1-2801611,0,0.27282399999999996,0.28404,0.279184,0.5630310000000001,0.913581,1.249541,1.386221,1.7550599999999998,1.987226
2-2801598,,0,0.252136,0.424008,0.707855,1.058406,1.3943649999999999,1.531045,1.899884,2.13105
3-2801623,,,0,0.171872,0.455719,0.806269,1.1422290000000002,1.278909,1.647748,1.8799139999999999
4-2801653,,,,0,0.283846,0.634397,0.970357,1.107037,1.475876,1.7070419999999997
5-2801674,,,,,0,0.350551,0.6865100000000001,0.82319,1.19203,1.5439040000000002
6-2801693,,,,,,0,0.335959,0.47263999999999995,0.8414790000000001,1.500644
7-2801709,,,,,,,0,0.13668,0.50552,1.165685
8-2801721,,,,,,,,0,0.36884,1.029005
9-2801736,,,,,,,,,0,0.660166
10-2801744,,,,,,,,,,0
