순번_정류장ID,1-2806614,2-2806930,3-2806931,4-2806932,5-2802175,6-2801848,7-2802825,8-2802870,9-2802873,10-2802860,11-2802822,12-2802818,13-2802817,14-2802816
1-2806614,0,0.252617,0.5057470000000001,0.732504,0.854524,1.134884,1.4666569999999999,1.784054,2.267148,2.230572,1.8629580000000001,1.7223419999999998,1.444313,1.307223
2-2806930,,0,0.253131,0.51088,0.9851409999999999,1.2655,1.597274,1.914671,2.397765,2.361189,1.993575,1.852958,1.57493,1.43784
3-2806931,,,0,0.25775,0.744011,1.02437,1.356144,1.6735400000000002,2.156634,2.120059,1.752444,1.611828,1.3338,1.196709
4-2806932,,,,0,0.48626099999999994,0.766621,1.098394,1.415791,1.898885,1.862309,1.494695,1.3540780000000001,1.07605,0.93896
5-2802175,,,,,0,0.28136,0.613133,0.93053,1.413624,1.377048,1.009434,0.8688170000000001,0.590789,0.45369899999999996
6-2801848,,,,,,0,0.33177399999999996,0.64917,1.1322649999999999,1.095689,0.728075,0.587458,0.30943000000000004,0.17233900000000002
7-2802825,,,,,,,0,0.317397,0.800491,0.9204629999999999,0.552848,0.412232,0.134204,0.159435
8-2802870,,,,,,,,0,0.48309399999999997,0.685141,0.870245,0.7296279999999999,0.4516,0.47683100000000006
9-2802873,,,,,,,,,0,0.202047,0.569661,0.716278,0.934694,0.959925
10-2802860,,,,,,,,,,0,0.367614,0.514231,0.792259,0.92335
11-2802822,,,,,,,,,,,0,0.146617,0.424645,0.5557350000000001
12-2802818,,,,,,,,,,,,0,0.278028,0.41511899999999996
13-2802817,,,,,,,,,,,,,0,0.13709100000000002
14-2802816,,,,,,,,,,,,,,0
