순번_정류장ID,1-2807209,2-2807287,3-2803338,4-2803336,5-2803326,6-2803324,7-2803329,8-2803204,9-2803316,10-2803319,11-2803305,12-2802994,13-2803011,14-2803018,15-2803022,16-2803021,17-2802976,18-2802957,19-2802933,20-2802911,21-2802891,22-2802879,23-2802621,24-2802809,25-2802773,26-2802745,27-2802737,28-2805441,29-2802629,30-2802719,31-2802709,32-2802678,33-2802656,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800703,42-2800699,43-2800693,44-2800683,45-2800675,46-2800662,47-2800650,48-2800641,49-2800632,50-2800334,51-2800617,52-2806242,53-2806244,54-2801157,55-2801153,56-2801147,57-2801135,58-2801131,59-2801122,60-2801119,61-2801111,62-2800833,63-2801087,64-2801055,65-2801043,66-2801024,67-2801003,68-2806687,69-2800966
22-2802879,,,,,,,,,,,,,,,,,,,,,,0,0.370529,1.098175,1.550734,1.939991,2.187057,2.422135,2.82289,3.0737959999999998,3.365918,4.043513,4.441597,4.7574559999999995,5.075803,5.7683279999999995,5.962232,6.431385,6.6823,7.092914,7.339628,7.384364,7.500313,7.875457000000001,8.17963,8.502172,8.746499,8.889691000000001,9.16012,9.441969,9.797696,10.321348,10.633187,11.429704,11.72588,11.96231,12.086071,12.302254,12.743332,12.941406,13.150638,13.675373,13.825945,14.523314000000001,14.863881,15.249305999999999,15.616059,15.972577,16.134131
23-2802621,,,,,,,,,,,,,,,,,,,,,,,0,0.727646,1.180205,1.5694620000000001,1.816528,2.051606,2.4523610000000002,2.703267,2.995389,3.6729839999999996,4.0710690000000005,4.386927,4.705274,5.397799,5.591703,6.060857,6.311771,6.722385000000001,6.969099000000001,7.014836,7.130783999999999,7.505928999999999,7.8101009999999995,8.131642999999999,8.37597,8.518163000000001,8.790591000000001,9.07244,9.428167,9.949819,10.261658,11.060175,11.353351,11.590781,11.716542,11.930725,12.371803,12.569877,12.779109,13.303844,13.454416,14.151785,14.493352999999999,14.878777,15.245529999999999,15.602048000000002,15.763601999999999
24-2802809,,,,,,,,,,,,,,,,,,,,,,,,0,0.455559,0.844816,1.091882,1.3269600000000001,1.7277150000000001,1.978621,2.270743,2.948338,3.346423,3.6622809999999997,3.980629,4.673154,4.867057,5.3362110000000005,5.587125,5.997739,6.244453,6.2891900000000005,6.406137999999999,6.780283,7.083455000000001,7.405997,7.652324,7.794517,8.064945,8.345794,8.702522,9.225173,9.538012,10.335529,10.630706,10.867135000000001,10.991897,11.207079,11.647157,11.845231,12.054463,12.579198,12.729771000000001,13.427139000000002,13.768707000000001,14.154132,14.520883999999999,14.876401999999999,15.038955999999999
25-2802773,,,,,,,,,,,,,,,,,,,,,,,,,0,0.391257,0.638323,0.873402,1.2741559999999998,1.5250620000000001,1.817184,2.49478,2.892864,3.208723,3.5270699999999997,4.219595,4.413499,4.882651999999999,5.133567,5.544181,5.790895,5.834631,5.95158,6.326724,6.631896,6.953438,7.1977649999999995,7.338958,7.610386999999999,7.892235,8.249963000000001,8.771614999999999,9.084453,9.880971,10.176147,10.411576,10.538338000000001,10.752521,11.194598,11.391672,11.599905,12.126638999999999,12.277211999999999,12.973581,13.315148,13.700573,14.067326000000001,14.423844,14.585398000000001
26-2802745,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.24706599999999998,0.48214399999999996,0.882899,1.133805,1.425927,2.103523,2.501607,2.817466,3.135813,3.8283379999999996,4.022241999999999,4.491395,4.74231,5.152923,5.3996379999999995,5.444374,5.5613220000000005,5.9364669999999995,6.238639,6.5611809999999995,6.807508,6.948701,7.22013,7.501978,7.858706,8.381357000000001,8.694196,9.490714,9.78589,10.023319,10.146081,10.362264,10.802341,11.000415,11.209648,11.735382000000001,11.884955,12.582324,12.923891000000001,13.309316,13.676069,14.032587,14.194139999999999
27-2802737,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.235078,0.635833,0.8867389999999999,1.1788610000000002,1.856457,2.254541,2.5704,2.888747,3.5812720000000002,3.775176,4.2443290000000005,4.4952440000000005,4.905857,5.152572,5.50316,5.618108,5.993253,6.297425,6.619967,6.8652940000000005,7.009486999999999,7.276915,7.560764,7.800509,8.440142999999999,8.750982,9.547499,9.842675,10.082105,9.899014999999999,10.114198,10.556275,10.754349000000001,10.961582,11.487316,11.638889,12.335258,12.676825,13.06225,13.429003,13.784521,13.947073999999999
28-2805441,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.40075500000000003,0.6516609999999999,0.949783,1.6273790000000001,2.0254630000000002,2.341322,2.659669,3.3521940000000003,3.546098,4.015251,4.266166,4.67678,4.923494,5.327763,5.552179,5.927323,6.282495,6.605036999999999,6.850364,6.992557000000001,7.262986,7.544834,7.571431,8.432221,8.74506,9.541577,9.741746000000001,9.979175,9.669937,9.88512,10.326197,10.524271,10.732503999999999,11.258238,11.408811,12.10718,12.447747,12.833172,13.199925,13.556443,13.717996
29-2802629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.250906,0.549028,1.226624,1.624708,1.940567,2.258914,2.951439,3.145343,3.614496,3.865411,4.276025,4.522739,4.927008,5.151424,5.526568,5.88174,6.204282,6.449609,6.591802,6.8622309999999995,7.144079,7.170675999999999,8.049458999999999,8.362297,9.158814999999999,9.341991,9.57842,9.269182,9.484364999999999,9.925442,10.124516,10.331749,10.857483,11.009056,11.705425,12.046992,12.432417,12.79917,13.154688,13.317241000000001
30-2802719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.298122,0.975718,1.373802,1.689661,2.0080080000000002,2.700533,2.894437,3.3635900000000003,3.6145050000000003,4.025118,4.271833,4.676101999999999,4.900517,5.2756620000000005,5.630833999999999,5.9533760000000004,6.198703,6.340896,6.611325,6.893173,6.91977,7.798552000000001,8.111391000000001,8.907908,9.090085,9.327514,9.019276,9.234459,9.675536,9.873610000000001,10.080843,10.607577000000001,10.75815,11.454519,11.796086,12.181511,12.548264,12.903782000000001,13.066335
31-2802709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.677596,1.07568,1.3915389999999999,1.709886,2.402411,2.596314,3.065468,3.316382,3.7269959999999998,3.97371,4.377979,4.602395,4.97754,5.332712,5.655254,5.900581,6.042774,6.3132019999999995,6.595051,6.6216479999999995,7.500430000000001,7.813269,8.609786,8.792963,9.029392,8.720153999999999,8.936337,9.376414,9.575488,9.783719999999999,10.308455,10.460028,11.157396,11.497964,11.883389,12.250141000000001,12.60566,12.768213000000001
32-2802678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.39808499999999997,0.713943,1.032291,1.724816,1.9187189999999998,2.387873,2.6387869999999998,3.049401,3.2961150000000004,3.7003839999999997,3.9248,4.299945,4.655117,4.977659,5.222986,5.365179,5.635607,5.917456,5.944053,6.822835,7.135674000000001,7.932191,8.115368,8.352797,8.043559,8.258741,8.699819,8.897893,9.107125,9.631860000000001,9.782433000000001,10.478800999999999,10.820369,11.205794000000001,11.572546,11.928064,12.090618
33-2802656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.315859,0.634206,1.3267309999999999,1.520635,1.9897880000000001,2.240703,2.6513169999999997,2.898031,3.3023,3.5267160000000004,3.9018599999999997,4.257032,4.579574,4.8249010000000006,4.967094,5.237523,5.519372,5.545968,6.4247510000000005,6.737589,7.5341070000000006,7.717283,7.954713000000001,7.645474,7.860657000000001,8.300734,8.499808,8.708041,9.232775,9.384348,10.081717,10.422284,10.807709,11.174462,11.52998,11.692534
