순번_정류장ID,71-2802788,72-2802805,73-2802836,74-2802837,75-2802838,76-2802829,77-2802814,78-2802801,79-2802791,80-2802784,81-2802771,82-2802758,83-2802714,84-2802696,85-2802038,86-2802672,87-2802642,88-2802674,89-2802665,90-2802662,91-2802659,92-2802650,93-2800819,94-2800815,95-2800810,96-2800806,97-2800793,98-2800785,99-2800771,100-2800764,101-2800756,102-2800736,103-2800710,104-2800705,105-2800703,106-2800699,107-2800712,108-2800718,109-2800724,110-2800729,111-2800743,112-2800755,113-2800308,114-2800735,115-2800717,116-2805752,117-2805753,118-2805754,119-2807050,120-2806935,121-2806814,122-2806816,123-2807638,124-2806819,125-2806825,126-2806828,127-2806827,128-2806826,129-2806820,130-2806818,131-2806817,132-2806815,133-2805755,134-2805756,135-2800317,136-2800369
94-2800815,,,,,,,,,,,,,,,,,,,,,,,,0,0.46274,0.750396,1.141643,1.335547,1.6821990000000002,1.8643830000000001,2.011822,2.308358,2.667698,2.746412,2.712943,3.117212,3.020946,3.013852,3.186833,3.420292,3.9610000000000003,4.408016,4.606061,5.006688,5.2587019999999995,5.921119,6.4113690000000005,6.569044,6.290446,5.975283,6.654986999999999,7.297743,7.727602,8.472868,9.802692,10.374931,10.144987,9.792849,8.455233,7.760769,7.237175,6.645906,5.539251999999999,5.142052,4.320052,3.987946
95-2800810,,,,,,,,,,,,,,,,,,,,,,,,,0,0.28765599999999997,0.678904,0.872808,1.21946,1.4016440000000001,1.549083,1.845619,2.204959,2.283673,2.250204,2.654473,2.558206,2.551113,2.724094,2.957553,3.4982599999999997,3.9452769999999995,4.143322,4.543949,4.796962000000001,5.45838,5.9486300000000005,6.107304,5.8287059999999995,5.5135440000000004,6.193247,6.836003999999999,7.265863,8.010129,9.339952,9.912192,9.682248,9.331109,7.993494,7.298029,6.774436,6.183166,5.077513,4.680313,3.8573129999999995,3.525206
96-2800806,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.391248,0.585151,0.9318040000000001,1.113987,1.261427,1.557963,1.917303,1.996016,1.962548,2.3668169999999997,2.27055,2.263457,2.4364369999999997,2.669896,3.210604,3.657621,3.856666,4.256293,4.509306,5.170723000000001,5.6609739999999995,5.8186480000000005,5.54005,5.224888,5.904591,6.547348,6.977207000000001,7.722473,9.052296,9.624536,9.394591,9.042453,7.7048380000000005,7.0103729999999995,6.48678,5.89551,4.788857,4.391657,3.569657,3.23755
97-2800793,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.193904,0.540556,0.7227399999999999,0.870179,1.166715,1.526055,1.6047690000000001,1.5713,1.975569,2.523698,2.516604,2.6895849999999997,2.923044,3.4637519999999995,3.910768,4.108813,4.51044,4.762454,5.423871,5.915121,6.071796,5.793198,5.479035,6.158739,6.800495,7.230355,7.975619999999999,9.305444,9.877683,9.647739,9.295601,7.957985000000001,7.263521000000001,6.739927000000001,6.1496580000000005,5.043004,4.644804,3.822804,3.4906980000000005
98-2800785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.34665300000000004,0.528836,0.676275,0.9728120000000001,1.332152,1.410865,1.3773959999999998,1.781665,2.3383990000000003,2.436306,2.609286,2.842745,3.4534529999999997,3.90047,4.303717,4.704344,4.956357,5.618775,6.109025,6.266699,5.987101,5.6729389999999995,6.3526419999999995,6.995399000000001,7.425258,8.170524,9.500347,10.072587,9.842642999999999,9.490504,8.151889,7.458424000000001,6.933831,6.343561,5.236908000000001,4.839708,4.016708,3.6846010000000002
99-2800771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18218399999999998,0.329623,0.626159,0.985499,1.0642129999999999,1.440744,1.845013,2.4017470000000003,2.499653,2.672634,2.906093,3.516801,3.9638169999999997,4.415630999999999,5.049996,5.30301,5.964427,6.454676999999999,6.6123520000000005,6.333754,6.018591000000001,6.699294999999999,7.341050999999999,7.771911,8.517176,9.846,10.418239999999999,10.189295,9.836157,8.498541000000001,7.805077000000001,7.281483000000001,6.690214,5.58256,5.18536,4.36336,4.031254
100-2800764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.14743900000000001,0.44997600000000004,0.809316,0.8880290000000001,1.2645600000000001,1.6688290000000001,2.225563,2.32347,2.49645,2.729909,3.340617,3.7876339999999997,4.239448,4.9293059999999995,5.181319,5.843736,6.333986,6.491661,6.213063,5.897901,6.577603999999999,7.2203610000000005,7.65022,8.395486,9.725309,10.297549,10.067604,9.715466000000001,8.37785,7.6833860000000005,7.1597919999999995,6.568523,5.461869,5.064669,4.526456,4.213437
101-2800756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.302536,0.661876,0.74059,1.1171209999999998,1.52139,2.0781240000000003,2.17603,2.349011,2.5824700000000003,3.193178,3.640194,4.092008,4.781866,5.03388,5.696297,6.186547,6.344222,6.065624,5.7504610000000005,6.430165000000001,7.072921000000001,7.502781,8.248046,9.577869999999999,10.15011,9.920164999999999,9.568027,8.230411,7.535947,7.012353,6.421084,5.314430000000001,4.91723,4.379017,4.3608769999999994
102-2800736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.36034,0.439054,0.8755850000000001,1.279854,1.836588,1.934494,2.107475,2.340934,2.9516419999999997,3.398658,3.850472,4.54033,4.792344,5.454761,5.945011,6.102686,5.824088,5.508925,6.188629,6.831385000000001,7.261245,8.00651,9.336333999999999,9.908572999999999,9.678628999999999,9.326491,7.988875,7.294411,6.770817,6.1795480000000005,5.072894,4.675694,4.137481,4.558587999999999
103-2800710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.07871399999999999,0.517245,0.9215139999999999,1.478248,1.576154,1.7491349999999999,1.982594,2.593302,3.040318,3.492132,4.18199,4.434004,5.096421,5.586671,5.744346,5.4657480000000005,5.1505849999999995,5.8302879999999995,6.473045,6.9029039999999995,7.6481699999999995,8.977994,9.550233,9.320289,8.968150999999999,7.630535000000001,6.936071000000001,6.412477,5.821208,4.714554,4.317354,3.7791410000000005,4.200248
104-2800705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43853100000000006,0.8428,1.399534,1.497441,1.670421,1.90388,2.5145880000000003,2.961605,3.413419,4.103276999999999,4.35529,5.017707,5.507957,5.665632,5.387034,5.071872,5.751575,6.394332,6.824191000000001,7.569457000000001,8.899280000000001,9.47152,9.241575,8.889437,7.5518220000000005,6.857357,6.3337639999999995,5.742494000000001,4.63584,4.23864,3.7004269999999995,4.121534
105-2800703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.404269,0.961003,1.058909,1.23189,1.465349,2.076057,2.523073,2.974887,3.664745,3.9167589999999994,4.579176,5.069426,5.227101,4.948503,4.6333400000000005,5.3130440000000005,5.9558,6.38566,7.130925,8.460749,9.032989,8.803044,8.450906,7.113289999999999,6.418826,5.895232,5.3039629999999995,4.197309,3.8001089999999995,3.261896,3.683003
106-2800699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5567340000000001,0.65464,0.8276209999999999,1.06108,1.671788,2.118804,2.570618,3.2604759999999997,3.51249,4.174907,4.665157,4.822832,4.544233999999999,4.229071,4.908775,5.551531,5.981391,6.726656,8.05648,8.62872,8.398775,8.046636999999999,6.709021000000001,6.014557,5.490963,4.899694,3.79304,3.39584,2.857627,3.2787339999999996
107-2800712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.09790700000000001,0.270887,0.504346,1.115054,1.562071,2.0138849999999997,2.7037430000000002,2.955756,3.6181730000000005,4.108423,4.266098,3.9875,3.672338,4.352041000000001,4.994798,5.424657,6.169923000000001,7.499746000000001,8.071986,7.842041,7.489903,6.1522879999999995,5.457823,4.93423,4.34296,3.236307,2.839107,2.300894,2.721
108-2800718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.172981,0.40644,1.017147,1.464164,1.915978,2.605836,2.85785,3.520267,4.010517,4.1681919999999995,3.889593,3.5744309999999997,4.254134,4.896891,5.32675,6.0720160000000005,7.401839999999999,7.974079,7.744135000000001,7.391996000000001,6.054380999999999,5.359916,4.836323,4.2450529999999995,3.1384,2.7412,2.202987,2.623093
109-2800724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.23345900000000003,0.844167,1.291184,1.742998,2.432856,2.684869,3.347286,3.837536,3.995211,3.7166129999999997,3.4014510000000002,4.081154,4.723911,5.15377,5.899036,7.228859,7.801099000000001,7.571153999999999,7.219016000000001,5.881401,5.186936,4.663343,4.0720730000000005,2.965419,2.568219,2.030006,2.4511130000000003
110-2800729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.610708,1.0577239999999999,1.509539,2.1993970000000003,2.4514099999999996,3.113827,3.6040769999999998,3.7617519999999995,3.4831540000000003,3.167992,3.847695,4.490451,4.920311,5.665577,6.9954,7.567639999999999,7.337695,6.985557000000001,5.647941,4.9534769999999995,4.429883,3.8386139999999997,2.73196,2.3347599999999997,1.7965470000000001,2.216654
111-2800743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.447017,0.8988309999999999,1.588689,1.840702,2.503119,2.993369,3.1510439999999997,2.872446,2.557284,3.236987,3.879744,4.309603,5.054869,6.384692,6.956932000000001,6.726986999999999,6.374849,5.037234,4.3427690000000005,3.819176,3.227906,2.121252,1.7240529999999998,1.1858389999999999,1.6059459999999999
112-2800755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.45181400000000005,1.141672,1.393686,2.056103,2.546353,2.704028,2.42543,2.110267,2.7899700000000003,3.432727,3.862586,4.607851999999999,5.937676000000001,6.509915,6.279971,5.927833000000001,4.590217,3.895753,3.3721589999999995,2.7808900000000003,1.674236,1.277036,0.738823,1.15893
113-2800308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.689858,0.9418719999999999,1.6042889999999999,2.094539,2.252214,1.973616,1.658453,2.338156,2.980913,3.410772,4.156038,5.485862,6.058101000000001,5.828157,5.476019,4.138403,3.443939,2.920345,2.3290759999999997,1.222422,0.8252219999999999,0.287009,0.707116
114-2800735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.25201399999999996,0.916431,1.4066809999999998,1.600356,1.321758,1.0065950000000001,1.6862979999999999,2.329055,2.758914,3.5041800000000003,4.834004,5.406243,5.176299,4.824161,3.4865449999999996,2.792081,2.268487,1.677218,1.2249510000000001,1.225849,0.6876359999999999,1.108743
115-2800717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.664417,1.154668,1.348342,1.069744,0.754582,1.434285,2.0770419999999996,2.506901,3.252167,4.58199,5.15423,4.924285,4.572147,3.234532,2.5400669999999996,2.016474,1.4252040000000001,0.972938,1.3701379999999999,0.93965,1.359756
116-2805752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.49025100000000005,1.03473,1.3133270000000001,1.3335110000000001,2.013214,2.655971,3.08583,3.831096,5.16092,5.733159,5.503215,5.151076,3.813461,3.118996,2.5954029999999997,2.0041330000000004,1.551867,1.9490669999999999,1.602067,2.023173
117-2805753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.54448,0.8230770000000001,1.355915,2.035618,2.678375,3.108234,3.8535,5.183323000000001,5.7555629999999995,5.525618,5.1734800000000005,3.835865,3.1414,2.617807,2.026537,1.574271,1.971471,2.092317,2.513423
118-2805754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.278598,0.8114359999999999,1.491139,2.133896,2.563755,3.309021,4.638844000000001,5.211084,4.981139,4.629001000000001,3.291386,2.596921,2.073328,1.482058,1.029792,1.426992,2.2499919999999998,2.6710979999999998
119-2807050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.532838,1.212541,1.855298,2.285157,3.030423,4.360246,4.932486,4.702541,4.350403,3.012788,2.318323,1.79473,1.20346,0.7511939999999999,1.1483940000000001,1.9713939999999999,2.3925
120-2806935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.679704,1.32246,1.75232,2.497585,3.827409,4.399649,4.169704,3.8175660000000002,2.47995,1.7854860000000001,1.261892,0.8882979999999999,0.436032,0.833232,1.6562310000000002,2.0763380000000002
121-2806814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.642757,1.072616,1.817882,3.1477049999999998,3.7199449999999996,3.4900010000000004,3.1378619999999997,1.8002470000000002,1.105782,0.5821890000000001,0.765999,1.1157350000000001,1.5129350000000001,2.335934,2.757041
122-2806816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42986,1.1751260000000001,2.5049490000000003,3.0771889999999997,2.847244,2.4951060000000003,1.15749,0.9916209999999999,0.468027,0.651838,1.7584919999999997,2.1556919999999997,2.978691,3.3997980000000005
123-2807638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.745266,2.0750889999999997,2.647329,2.417385,2.0652459999999997,0.727631,0.723521,0.8978870000000001,1.081697,2.188351,2.5855509999999997,3.40855,3.8286569999999998
124-2806819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.329824,1.902063,1.672119,1.3199809999999998,0.11079000000000001,0.7331,1.256694,1.8269630000000001,2.933617,3.3308169999999997,4.153816,4.573923000000001
125-2806825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.57324,0.34329499999999996,0.042351,1.347459,2.062924,2.5865169999999997,3.156786,4.26344,4.66064,5.48364,5.903746
126-2806828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.498974,0.582083,1.919698,2.635163,3.158757,3.729026,4.83568,5.232880000000001,6.055879,6.475986
127-2806827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.352138,1.689754,2.4052189999999998,2.9288119999999997,3.499081,4.605735,5.002935,5.825934999999999,6.246041
128-2806826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.337616,2.05308,2.576674,3.146943,4.253597,4.650797,5.473797,5.894903
129-2806820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.715465,1.239058,1.8093279999999998,2.915982,3.313182,4.136181,4.557288
130-2806818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.523594,1.114863,2.221517,2.6187169999999997,3.4417169999999997,3.862823
131-2806817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.59127,1.6979240000000002,2.095124,2.918123,3.3382300000000003
132-2806815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.106654,1.503854,2.326854,2.74696
133-2805755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.3972,1.2202,1.641307
134-2805756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.823,1.244107
135-2800317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.42110699999999995
136-2800369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
