순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2803686,14-2803687,15-2804667,16-2804682,17-2804680,18-2804679,19-2804676,20-2804674,21-2804742,22-2804671,23-2804154,24-2804156,25-2804157,26-2804159,27-2804670
1-2800270,0,0.789926,1.059143,1.370099,1.506329,1.754101,2.04288,2.685899,3.012839,3.146703,3.581944,3.987714,4.7247580000000005,5.19413,5.837279,6.562132000000001,6.606560000000001,6.1456599999999995,6.495198,6.524769,6.124492,6.532807,6.835814,7.3350550000000005,7.679689,7.895156,8.45838
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.935833,4.4052050000000005,5.048354,5.773206,5.817634,5.356735,5.706273,5.735844,5.335567,5.743882,6.046888,6.5461290000000005,6.890764,7.10623,7.669455
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.667616,4.136988,4.780137,5.50499,5.549418,5.088518,5.438056,5.467626999999999,5.06735,5.475665,5.778672,6.277913,6.622547,6.838014,7.401238
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.358659,3.8280309999999997,4.47118,5.196033,5.240461,4.779562,5.129099,5.158671,4.758393,5.166708,5.469715,5.9689559999999995,6.3135900000000005,6.529057,7.092281
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,3.222429,3.6918010000000003,4.33495,5.059803,5.1042309999999995,4.643332,4.992869000000001,5.022441000000001,4.622164,5.030478,5.333485,5.832726,6.17736,6.392827,6.9560509999999995
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.974657,3.44403,4.087178,4.812031,4.856459,4.39556,4.745097,4.774669,4.374391999999999,4.782706,5.085713,5.584954,5.929588,6.145055,6.70828
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.6818779999999998,3.15125,3.794399,4.519252,4.563680000000001,4.102780999999999,4.452318,4.48189,4.081613,4.489927,4.792934,5.292175,5.6368089999999995,5.852276,6.4155
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,2.038859,2.5082310000000003,3.15138,3.876233,3.920661,3.459761,3.8092989999999998,3.8388699999999996,3.438593,3.846908,4.149915,4.649156,4.99379,5.209257,5.772481
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.711919,2.181291,2.82444,3.549293,3.593721,3.132822,3.4823589999999998,3.5119309999999997,3.111653,3.519968,3.822975,4.322216,4.66685,4.882317,5.445541
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.578055,2.047427,2.6905759999999996,3.415429,3.459857,2.998958,3.3484949999999998,3.3780669999999997,2.977789,3.386104,3.689111,4.188352,4.532986,4.748453,5.3116769999999995
11-2803684,,,,,,,,,,,0,0.40576999999999996,1.1438139999999999,1.6131870000000001,2.256335,2.981188,3.025616,2.564717,2.914254,2.943826,2.543549,2.951863,3.25487,3.754111,4.098745,4.314212,4.8774370000000005
12-2803685,,,,,,,,,,,,0,0.7380439999999999,1.207417,1.850566,2.575418,2.619846,2.158947,2.508484,2.538056,2.137779,2.546094,2.8491,3.3483410000000005,3.692975,3.908442,4.471667
13-2803686,,,,,,,,,,,,,0,0.46937299999999993,1.1125209999999999,1.841374,2.218813,2.703903,3.05344,3.236397,2.83612,3.244434,3.5474410000000005,4.046682,4.391316000000001,4.606783,5.170008
14-2803687,,,,,,,,,,,,,,0,0.643149,1.372001,1.749441,2.23453,2.584068,2.8512310000000003,3.277362,3.6856769999999996,3.988683,4.487924,4.832559,5.048026,5.61125
15-2804667,,,,,,,,,,,,,,,0,0.728853,1.106292,1.591382,1.9409189999999998,2.208082,2.634213,3.042528,3.345535,3.8447760000000004,4.18941,4.404877,4.968101
16-2804682,,,,,,,,,,,,,,,,0,0.37743899999999997,0.8625290000000001,1.212066,1.4792299999999998,1.905361,2.313675,2.616682,3.115923,3.460557,3.676024,4.239249
17-2804680,,,,,,,,,,,,,,,,,0,0.48508999999999997,0.834627,1.101791,1.527922,1.936236,2.239243,2.738484,3.0831180000000002,3.2985849999999997,3.8618099999999997
18-2804679,,,,,,,,,,,,,,,,,,0,0.349538,0.616701,1.042832,1.451147,1.7541529999999999,2.2533939999999997,2.598029,2.8134959999999998,3.3767199999999997
19-2804676,,,,,,,,,,,,,,,,,,,0,0.267163,0.693294,1.101609,1.404616,1.903857,2.248491,2.4639580000000003,3.027182
20-2804674,,,,,,,,,,,,,,,,,,,,0,0.42613100000000004,0.8344459999999999,1.137453,1.636694,1.981328,2.1967950000000003,2.760019
21-2804742,,,,,,,,,,,,,,,,,,,,,0,0.408315,0.711322,1.2105629999999998,1.555197,1.770664,2.335888
22-2804671,,,,,,,,,,,,,,,,,,,,,,0,0.303007,0.802248,1.146882,1.362349,1.9275740000000001
23-2804154,,,,,,,,,,,,,,,,,,,,,,,0,0.499241,0.843875,1.059342,1.624567
24-2804156,,,,,,,,,,,,,,,,,,,,,,,,0,0.344634,0.5601010000000001,1.125326
25-2804157,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21546700000000002,0.780691
26-2804159,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.565225
27-2804670,,,,,,,,,,,,,,,,,,,,,,,,,,,0
