순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804164,18-2804166,19-2804656,20-2804168,21-2806206,22-2804171,23-2804173,24-2804745,25-2804177,26-2806147,27-2806148,28-2804178,29-2806374,30-2804180,31-2804182,32-2804184,33-2804744,34-2804746,35-2804640,36-2804188,37-2806152,38-2804190,39-2804192,40-2804642,41-2804796,42-2804323,43-2804320,44-2804319,45-2804317,46-2804314,47-2804739,48-2804312,49-2804310,50-2806209,51-2806211,52-2806210,53-2806208,54-2804309,55-2804747,56-2804305,57-2804302,58-2804301
1-2800270,0,0.789926,1.059143,1.370099,1.506329,1.754101,2.04288,2.685899,3.012839,3.146703,3.581944,3.987714,4.412158,5.0184239999999996,6.085615,7.040715,8.028842,8.684975,9.160908000000001,9.477456,10.240657,10.985268,11.783327,12.093857,12.656564999999999,12.080786999999999,12.289304,12.649682,12.897447999999999,13.103699,13.423134,13.137763,12.514398,12.244104,12.816455,13.165114,13.443298,13.618448,14.121491,14.281537,14.672455,14.971466,15.21163,15.397194,15.659199,15.522304,15.333530999999999,14.986213000000001,14.638539000000002,14.237004,14.63732,14.629806,14.424813,13.944956,13.530712,13.804352,14.400920000000001,15.17976
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.6232330000000004,4.229499,5.29669,6.25179,7.239917,7.895049,8.371982000000001,8.68853,9.450732,10.196342,10.993402,11.303932000000001,11.86664,11.290861,11.499378,11.859757,12.107522,12.313774,12.633208,12.348837,11.725473,11.455179,12.02753,12.376189,12.654373,12.829523,13.332566,13.492612,13.883529999999999,14.182541,14.423704,14.609268,14.871274,14.733379000000001,14.544604999999999,14.197288,13.849614,13.448078,13.848394,13.840881,13.635888000000001,13.15603,12.741787,13.015426,13.611995,14.390834
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.3550160000000004,3.961282,5.028473,5.983573000000001,6.9717,7.627833,8.103766,8.420314,9.182514999999999,9.929126,10.726185000000001,11.036715,11.598423,11.023645,11.232161,11.59254,11.840306,12.046557,12.365992,12.080621,11.457256,11.186962,11.759313,12.107972,12.386156,12.561306,13.064349,13.224395000000001,13.615313,13.914323999999999,14.155488,14.340051999999998,14.602057,14.465162,14.276389000000002,13.929070999999999,13.581397,13.179862,13.580178,13.572664000000001,13.367671,12.887814,12.47357,12.74721,13.343778,14.123617999999999
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.046059,3.6523260000000004,4.7195160000000005,5.674616,6.6617440000000006,7.317875999999999,7.795808999999999,8.112357000000001,8.874558,9.620169,10.417228,10.727758,11.290466,10.714688,10.922205,11.283583,11.530349000000001,11.737601,12.057035,11.771664,11.148299,10.878005,11.450356,11.799016,12.077199,12.252349,12.755392,12.915438,13.306356,13.605367000000001,13.846531,14.032095000000002,14.2941,14.156204999999998,13.967432,13.620114000000001,13.27244,12.870905,13.271220999999999,13.263708,13.058714,12.578857000000001,12.164613000000001,12.438253,13.034821,13.814661
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,2.90983,3.516096,4.583287,5.538386,6.525514,7.181646000000001,7.659578999999999,7.976127,8.737328,9.483939,10.280998,10.590527999999999,11.154237,10.577458,10.785975,11.146353,11.394119,11.601371,11.920805,11.635434,11.012069,10.741775,11.314126,11.662786,11.940969,12.116119,12.619162,12.779208,13.170126000000002,13.469137,13.709301000000002,13.895864999999999,14.15787,14.019975,13.831202,13.483884,13.13621,12.734675,13.134991000000001,13.127478,12.922483999999999,12.442627,12.028383999999999,12.302023,12.898591,13.678431
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.662058,3.2683240000000002,4.335515,5.290615,6.278742,6.934874000000001,7.410807000000001,7.7283550000000005,8.489556,9.235167,10.033227,10.343755999999999,10.906464999999999,10.330686,10.539203,10.899581,11.146347,11.353599,11.673033,11.387661999999999,10.764297000000001,10.494003,11.066355,11.415014,11.693197,11.868347,12.37139,12.531436,12.922353999999999,13.221364999999999,13.461529,13.648093,13.910098999999999,13.772203,13.583429999999998,13.236112,12.888438,12.486903,12.887219,12.879706,12.674713,12.194855,11.780612,12.054250999999999,12.650819,13.430659
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.369279,2.975545,4.042736,4.997835,5.984963,6.642094999999999,7.118028,7.435575999999999,8.196777,8.942388000000001,9.740447,10.049977,10.612686,10.036907000000001,10.246424000000001,10.605802,10.854567999999999,11.05982,11.380253999999999,11.094883,10.471518,10.201224,10.773575,11.122235,11.400418,11.575567999999999,12.078611,12.238657,12.629575,12.928586,13.16875,13.355314000000002,13.617319,13.479424,13.290651,12.943333,12.595659,12.194124,12.594439999999999,12.586927000000001,12.381933,11.902076,11.487833,11.761472,12.358039999999999,13.13788
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,1.726259,2.332525,3.399716,4.3548160000000005,5.341943,5.9990760000000005,6.4760089999999995,6.791557000000001,7.553758,8.299368,9.096428,9.406958,9.969666,9.394888,9.602404,9.963783,10.210549,10.4168,10.736234,10.451864,9.828499,9.558205000000001,10.130556,10.479215,10.757399000000001,10.932549,11.435592,11.595638000000001,11.986556,12.285567,12.525730000000001,12.712295,12.9743,12.836405000000001,12.647632000000002,12.300314,11.952639999999999,11.551105,11.951421,11.943907000000001,11.738914,11.259057,10.844813,11.118452,11.715021,12.494861
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.399319,2.005586,3.072777,4.027876,5.015004,5.671136,6.1480690000000005,6.464617,7.226818,7.972428999999999,8.769488,9.080017999999999,9.642726,9.066948,9.275464999999999,9.635843,9.883609,10.089861,10.409295,10.124924,9.501559,9.231264999999999,9.803616,10.152275999999999,10.430458999999999,10.605609,11.108652000000001,11.268697999999999,11.659616,11.958627,12.199791000000001,12.384355000000001,12.646360000000001,12.509464999999999,12.320692,11.973374,11.6257,11.224165,11.624481,11.616968,11.411974,10.932117,10.517873,10.791513,11.388081,12.167921
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.265455,1.871722,2.938913,3.8940120000000005,4.88214,5.537272,6.0142050000000005,6.331753,7.092954,7.8395649999999995,8.635624,8.947154,9.508861999999999,8.934084,9.142600999999999,9.502979,9.750745,9.955997,10.275431,9.991060000000001,9.367695,9.097401,9.669752,10.018412,10.296595,10.471745,10.974788,11.134834,11.525752,11.824763,12.064927,12.250491,12.513496,12.375601,12.186828,11.83951,11.491836,11.090301,11.490617,11.483103999999999,11.27811,10.798253,10.384008999999999,10.657649000000001,11.254217,12.034057
