순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2806301,11-2803848,12-2806298,13-2803849,14-2803851,15-2803852,16-2803854,17-2806296,18-2803605,19-2803855,20-2803856,21-2806231,22-2803857,23-2806293,24-2804201,25-2806291,26-2807291,27-2804203,28-2804206,29-2804332,30-2804208,31-2804210,32-2804212,33-2803703,34-2803704,35-2804633,36-2803707,37-2803709,38-2806218,39-2803710,40-2803712,41-2804341,42-2804214,43-2804216,44-2804221,45-2806332,46-2807154,47-2804222,48-2804224,49-2804226,50-2807152,51-2804228,52-2804230
1-2800269,0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.535182,3.856844,4.138827,4.651695,5.239256,5.720625,5.879639,6.213327,6.701204,7.023971,7.470185000000001,7.818072999999999,8.169977000000001,8.700186,8.953598,9.336223,9.526710000000001,9.758203,9.956998,10.498732,11.050305,11.543792,11.881069,12.586367999999998,13.034452,12.529631,11.988762,12.035129,12.396995,12.528874,12.723734,12.41056,13.102454,13.480329999999999,14.263291,14.555295000000001,15.201162,15.413452,15.832723000000001,16.20352,16.115923000000002,15.886308999999999,15.533439999999999
2-2805488,,0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,3.115899,3.437561,3.7195449999999997,4.232412,4.819973,5.301342,5.460356,5.794045,6.281921,6.604688,7.050902000000001,7.398789999999999,7.750694,8.282903,8.536315,8.91894,9.109427,9.34092,9.539715,10.079449,10.633023,11.126509,11.461787,12.167085,12.778265,12.646914,12.106044,12.150412,12.512278,12.644157,12.839017,12.526843,13.217737,13.595613,14.378573999999999,14.670577999999999,15.316445000000002,15.530735,15.948006,16.043198,15.70064,15.471027,15.117157999999998
3-2807373,,,0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.761415,3.083077,3.365061,3.877929,4.465489,4.946858,5.105872,5.439561,5.927437,6.250204,6.6964179999999995,7.044307000000001,7.396211,7.92842,8.181830999999999,8.564456,8.754944,8.986436,9.185232000000001,9.726966000000001,10.278539,10.772025,11.109303,11.814602,12.425782,12.929603,12.459528,12.504896,12.866762,12.998641000000001,13.1935,12.882325999999999,13.572220000000002,13.950095999999998,14.733057999999998,15.025062,15.670929000000001,15.884219,16.060510999999998,15.687714000000001,15.344156,15.114543,14.763673999999998
4-2800272,,,,0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,2.185527,2.507189,2.789173,3.3020410000000004,3.8896010000000003,4.37097,4.529984,4.863673,5.3515489999999994,5.674316,6.1205300000000005,6.468419,6.820322999999999,7.350532,7.603942999999999,7.986567999999999,8.179056,8.410548,8.609344,9.151078,9.702651,10.196137,10.533415,11.238714,11.849894,12.353715,12.894584,13.080784,13.44265,13.575529000000001,13.770389000000002,13.457215,14.148109,14.525985,15.309946,15.60195,16.124183,15.900894000000001,15.482623,15.111826,14.766268,14.539654999999998,14.187786
5-2803582,,,,,0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.807304,2.128966,2.41095,2.9238180000000003,3.5113779999999997,3.992747,4.1517610000000005,4.48545,4.973326,5.296093,5.742307,6.090196,6.4421,6.974309,7.22772,7.608345,7.800833,8.032325,8.229121000000001,8.772855,9.324428,9.817914,10.155192,10.860491,11.471671,11.975492,12.516361,12.779785,13.141651000000001,13.27353,13.468389000000002,13.839438000000001,14.530332000000001,14.908207999999998,15.692169,15.984173,15.743960000000001,15.523670999999998,15.1044,14.733603,14.390045,14.160432,13.807563
6-2803603,,,,,,0,0.173982,0.433925,0.791633,1.573307,1.894969,2.1769529999999997,2.689821,3.2773809999999997,3.75875,3.917764,4.251453,4.739329,5.0620959999999995,5.50831,5.856198,6.208101999999999,6.738312,6.9917229999999995,7.3743479999999995,7.564836,7.796328,7.995124000000001,8.536858,9.088431,9.581917,9.919195,10.624493,11.235674000000001,11.739495,12.280364,12.543788000000001,12.905654,13.037533,13.232392,13.902218,14.593112,14.970988,15.75395,16.047954,15.509963,15.287673999999999,14.868403,14.497606,14.155048,13.925435,13.572566
7-2803602,,,,,,,0,0.259944,0.6176510000000001,1.399326,1.7209869999999998,2.002971,2.515839,3.1034,3.584769,3.743782,4.077471,4.565347,4.888115,5.334328,5.682217,6.034121,6.56433,6.817741000000001,7.202367,7.392853999999999,7.624347,7.821142,8.362876,8.914449000000001,9.409936,9.747213,10.450512,11.063692,11.567513,12.108383,12.371806,12.733672,12.863551,13.058411,13.728237,14.421130999999999,14.797007,15.579968,15.871972,15.336982,15.112692000000001,14.695421,14.327625,13.981066,13.752453,13.398584
8-2800274,,,,,,,,0,0.35770799999999997,1.139382,1.461044,1.7430279999999998,2.255895,2.843456,3.324825,3.483839,3.817528,4.305404,4.628171,5.0743849999999995,5.422273000000001,5.774177,6.304386,6.557798,6.940423,7.130910000000001,7.362403,7.561197999999999,8.102932000000001,8.654506,9.147992,9.48727,10.192568,10.803747999999999,11.30757,11.846439,12.111863,12.473728999999999,12.605608,12.798467,13.468293,14.159187,14.539063,15.320025,15.612029000000001,15.076038,14.854748999999998,14.436478,14.065681,13.722123000000002,13.492510000000001,13.138641
9-2803847,,,,,,,,,0,0.786675,1.1083370000000001,1.39032,1.903188,2.490749,2.972118,3.131132,3.4648199999999996,3.952697,4.275464,4.721678,5.069566,5.421469999999999,5.951679,6.205091,6.587716,6.780203,7.009696000000001,7.210491,7.750225,8.301798,8.795285,9.134563,9.837861,10.451041,10.952862,11.493732000000001,11.757155000000001,12.119021,12.2529,12.44776,13.115585999999999,13.806479999999999,14.184356,14.967317000000001,15.259322000000001,14.723331,14.502041,14.084771,13.712973999999999,13.367416,13.137801999999999,12.786934
10-2806301,,,,,,,,,,0,0.321662,0.605646,1.1185129999999999,1.706074,2.187443,2.346457,2.6801459999999997,3.168022,3.490789,3.937003,4.284891,4.636794999999999,5.169005,5.422416,5.805041,5.995528,6.227021,6.4258169999999994,6.965551,7.519124000000001,8.01261,8.349888,9.055186,9.666366,10.170188000000001,10.711057,10.972481,11.336347,11.468226,11.663085,12.332911,13.023805,13.401681,14.184643,14.476647,13.938656,13.718367,13.297096,12.928299,12.585741,12.356128,12.002259
