순번_정류장ID,1-2800889,2-2800871,3-2805296,4-2805295,5-2800899,6-2805345,7-2805366,8-2805348,9-2805351,10-2805352,11-2805350,12-2805349,13-2805353,14-2805355,15-2805357,16-2805358,17-2806870
1-2800889,0,0.271905,0.586064,1.379788,1.724435,2.194207,2.603043,2.953525,3.186964,3.378713,3.185971,2.952706,2.634822,2.881907,3.134091,3.209536,3.544651
2-2800871,,0,0.318159,1.111882,1.4565299999999999,1.926302,2.335138,2.685619,2.919059,3.110808,2.9180650000000004,2.6848,2.366917,2.614002,2.866186,2.941631,3.276745
3-2805296,,,0,1.012982,1.3576290000000002,1.827402,2.236238,2.586719,2.820158,3.011907,2.8191650000000004,2.5859,2.268017,2.515101,2.767286,2.84273,3.176845
4-2805295,,,,0,0.346648,0.81642,1.225256,1.5757370000000002,1.809177,2.0009259999999998,1.808183,1.574918,1.2570350000000001,1.5041200000000001,1.756304,1.831749,2.166863
5-2800899,,,,,0,0.46977299999999994,0.878609,1.22909,1.4625290000000002,1.654279,1.4615360000000002,1.228271,0.910388,1.1574719999999998,1.409657,1.4851020000000001,1.819216
6-2805345,,,,,,0,0.40883600000000003,0.759317,0.992757,1.184506,0.991763,0.758498,0.440615,0.6877,0.939884,1.0153290000000001,1.349443
7-2805366,,,,,,,0,0.350481,0.583921,0.77567,0.5829270000000001,0.349662,0.031779,0.278864,0.531048,0.6064930000000001,0.940607
8-2805348,,,,,,,,0,0.23343899999999998,0.425188,0.232446,0.005361,0.341478,0.588562,0.8407469999999999,0.916191,1.250306
9-2805351,,,,,,,,,0,0.191749,0.010065000000000001,0.235258,0.574917,0.822001,1.074186,1.14963,1.483745
10-2805352,,,,,,,,,,0,0.194742,0.427008,0.766666,1.013751,1.265935,1.34138,1.6754939999999998
11-2805350,,,,,,,,,,,0,0.234265,0.573923,0.821008,1.073193,1.1486370000000001,1.482752
12-2805349,,,,,,,,,,,,0,0.340658,0.587743,0.8399270000000001,0.915372,1.249487
13-2805353,,,,,,,,,,,,,0,0.247085,0.49926899999999996,0.5747140000000001,0.9088280000000001
14-2805355,,,,,,,,,,,,,,0,0.252185,0.327629,0.662744
15-2805357,,,,,,,,,,,,,,,0,0.075445,0.410559
16-2805358,,,,,,,,,,,,,,,,0,0.335115
17-2806870,,,,,,,,,,,,,,,,,0
