순번_정류장ID,45-2803594,46-2805989,47-2805990,48-2801012,49-2801023,50-2801031,51-2801040,52-2801052,53-2801073,54-2800857,55-2800855,56-2800853,57-2800851,58-2805991,59-2805932,60-2806000,61-2801156,62-2806243,63-2806241,64-2806215,65-2806633,66-2805743,67-2804896,68-2805037,69-2804894,70-2805053,71-2804947,72-2806520,73-2804948,74-2805414,75-2805250,76-2805842,77-2805498,78-2805576,79-2806903,80-2806682,81-2806680,82-2806602,83-2806683,84-2806160,85-2806190,86-2807032,87-2800319,88-2806684,89-2806685,90-2805529,91-2805760,92-2805761,93-2805339
45-2803594,0,0.31201599999999996,0.680288,0.629001,0.845551,1.0120870000000002,1.21498,1.836141,2.556179,2.7951740000000003,3.103887,3.572144,4.093379,4.551603,4.720727,4.989079,5.404652,6.19257,6.548792,7.159389999999999,8.313464999999999,8.72668,8.964253,9.295863,9.683285,9.988916,10.057927000000001,9.926655,9.949143,10.170779,10.501678,10.562321,10.858305,11.21359,11.565622,11.849288,12.176679,12.309979,12.503489,11.562267,12.988309,13.271385,14.445846,14.233945,13.533812,12.361083,12.327388000000001,12.029043,11.784068
46-2805989,,0,0.417696,0.58826,0.82681,0.993346,1.13924,1.7604009999999999,2.480438,2.719433,3.028146,3.496404,4.017639,4.4758629999999995,4.644986,4.9133379999999995,5.328912,6.116829,6.473051,7.083649,8.237724,8.650939,8.887512,9.219122,9.606545,9.913175,9.982186,9.849914,10.056842,10.446795,10.687307,10.486581,10.782564,11.13685,11.488881,11.772547,12.099938,12.302238000000001,12.780505,11.839282,13.263323999999999,13.546401000000001,14.721862,14.158204000000001,13.458072,12.284343,12.251648,11.954302,11.708327
47-2805990,,,0,0.17056400000000002,0.409114,0.57565,0.778543,1.399704,2.119742,2.358737,2.66745,3.135707,3.656942,4.115166,4.28429,4.552641,4.968215,5.756133,6.112355,6.7229529999999995,7.877028,8.289242999999999,8.526815,8.858426,9.244848,9.553479,9.62049,9.490217999999999,9.696146,10.175342,10.326611,10.124884,10.420867,10.777153,11.127185,11.411850999999999,11.740242,11.942542,12.975052,12.035829,13.458872,13.743948000000001,14.916409,13.796508,13.095375,11.923646000000002,11.890951,11.592606,11.346631
48-2801012,,,,0,0.23955,0.406086,0.60898,1.230141,1.950178,2.189173,2.4978860000000003,2.966143,3.4873790000000002,3.9456019999999996,4.114726,4.383078,4.798651,5.586569,5.942791000000001,6.553389,7.707464,8.119679,8.357252,8.688862,9.076285,9.381915,9.450925999999999,9.319654,9.525582,10.006778,10.157047,9.955321000000001,10.251304,10.606589999999999,10.957621000000001,11.241287,11.569678,11.771978,12.806488,11.866266,13.290308,13.574384,14.748845000000001,13.625944,12.926812,11.754083,11.720388,11.422042,11.177067
49-2801023,,,,,0,0.166536,0.369429,0.99059,1.7106279999999998,1.9496229999999999,2.258336,2.726593,3.2478279999999997,3.7060519999999997,3.875176,4.143527,4.559101,5.347018,5.703241,6.313839,7.467914,7.881129,8.118701,8.449311999999999,8.837734,9.144364999999999,9.211376,9.080103999999999,9.286032,9.766228,9.917497000000001,9.71677,10.011753,10.367039,10.720071,11.002737,11.330128,11.532428,12.689314999999999,11.749092,13.173134,13.457211,14.527295,13.387394,12.687261,11.514532,11.480837,11.183492,10.936517
50-2801031,,,,,,0,0.20289400000000002,0.824055,1.544092,1.7830869999999999,2.0918,2.560058,3.081293,3.5395160000000003,3.70864,3.9769919999999996,4.392565,5.180483000000001,5.536705,6.147303,7.301378,7.714592999999999,7.952166,8.283776,8.671199,8.975829,9.04584,8.913568,9.120496000000001,9.600692,9.749961,9.549235000000001,9.846217999999999,10.200503999999999,10.553535,10.836200999999999,11.163592,11.365892,12.856850999999999,11.914628,13.339670000000002,13.624747,14.359759,13.221858,12.520726,11.347997,11.314302,11.017956,10.770980999999999
51-2801040,,,,,,,0,0.621161,1.341198,1.580194,1.888907,2.357164,2.8783990000000004,3.3366230000000003,3.505747,3.7740980000000004,4.189672,4.977589,5.333812,5.9444099999999995,7.098485,7.5107,7.749272,8.080883,8.467305,8.773936,8.842947,8.711675,8.917603,9.397799000000001,9.548067,9.347341,9.643324,9.99761,10.349642,10.632308,10.959699,11.162999000000001,12.890509,11.950286,13.374328,13.658404999999998,14.155866,13.018965,12.317832000000001,11.145103,11.112408,10.813062,10.567086999999999
52-2801052,,,,,,,,0,0.724038,0.963033,1.2717459999999998,1.740003,2.261238,2.719462,2.888586,3.1569380000000002,3.572511,4.360429,4.716651000000001,5.327249,6.481324,6.894539,7.131112,7.463722,7.850144,8.155775,8.225786,8.093514,8.300442,8.779638,8.929907,8.73118,9.026164,9.381449,9.733481,10.017147,10.344538,10.545838,12.273348,11.334126,12.757168,13.041244,13.539705,12.401803999999998,11.702671,10.527942,10.495247,10.197902000000001,9.951927
53-2801073,,,,,,,,,0,0.23899600000000001,0.547708,1.015966,1.537201,1.995425,2.164549,2.4329,2.848474,3.636391,3.9926129999999995,4.603211,5.757287,6.169502,6.407074,6.738683999999999,7.125107000000001,7.431736999999999,7.500748,7.369477000000001,7.575403999999999,8.055601,8.205869,8.005142999999999,8.300125999999999,8.655412,9.007444,9.291109,9.618501,9.8208,11.550310000000001,10.610088000000001,12.034130000000001,12.317207000000002,12.815667999999999,11.676767,10.975634,9.802905,9.769210000000001,9.471864,9.225889
54-2800857,,,,,,,,,,0,0.308713,0.7769699999999999,1.2982049999999998,1.756429,1.9255529999999998,2.193905,2.6094779999999997,3.397396,3.753618,4.364216000000001,5.5182910000000005,5.931506,6.169079,6.499689,6.887111,7.193741999999999,7.262753,7.131481,7.336409,7.816605,7.9688740000000005,7.768147,8.063131,8.418416,8.769447999999999,9.053114,9.380505,9.582805,11.463063,10.760715,12.184758,12.468834,12.576672,11.437771000000001,10.738638,9.564909,9.531214,9.233869,8.987894
