순번_정류장ID,63-2805804,64-2801168,65-2803645,66-2801666,67-2801633,68-2801192,69-2801636,70-2801604,71-2801564,72-2801520,73-2801485,74-2801450,75-2801438,76-2805321,77-2801461,78-2801462,79-2804438,80-2803790,81-2803644,82-2803555,83-2800677,84-2800668,85-2800656,86-2800661,87-2800630,88-2806418,89-2806633,90-2804896,91-2805037,92-2805221,93-2805232,94-2805872,95-2806173,96-2805499,97-2805843,98-2805408,99-2804947,100-2805317,101-2805874,102-2805024,103-2806658,104-2806743,105-2805680,106-2800575,107-2800562,108-2806838,109-2800555,110-2800541,111-2800530,112-2800523,113-2800519,114-2800517,115-2800515,116-2800508,117-2807101,118-2805797,119-2800504,120-2800510,121-2805304,122-2807046,123-2806655,124-2806799
93-2805232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.19097999999999998,0.625478,1.115852,0.8790959999999999,0.886285,1.164456,1.3230000000000002,1.5961299999999998,1.8009580000000003,2.0175,3.13786,3.464232,3.772693,3.991258,4.25136,4.33852,4.692148,5.175742,5.458438,5.703288,5.864856,6.041526999999999,6.606814999999999,6.764218,7.044408,6.834227,6.568561,6.710075999999999,7.859128999999999,8.092903,8.693313
94-2805872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.43449799999999994,0.9248719999999999,1.070076,1.077264,1.355435,1.5139799999999999,1.787109,1.9919369999999998,2.2084799999999998,3.32784,3.6542120000000002,3.962673,4.181238,4.44134,4.528499,4.882127,5.365722,5.648417,5.893267,6.054836,6.231507,6.7967949999999995,6.954197,7.234388,7.0242070000000005,6.758539999999999,6.900056,8.049108,8.282883,8.883293
95-2806173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.490374,0.7514270000000001,0.9617690000000001,1.23994,1.398484,1.671614,1.876441,2.092984,3.476344,3.802716,4.111177,4.3297419999999995,4.589844,4.677004,4.803632,5.287226,5.569922,5.8147720000000005,5.97634,6.153011,6.718299000000001,6.875702,7.155892,6.945711,6.680045,6.821560000000001,7.970613,8.204386999999999,8.804797
96-2805499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.26105300000000004,0.470395,0.748566,0.9071110000000001,1.18024,1.385068,1.60161,2.98497,3.311343,3.619803,3.838369,4.098471,4.185630000000001,4.312258,4.795852,5.0785480000000005,5.323398,5.484966,5.661637000000001,6.226925,6.384328,6.664519,6.454337000000001,6.188671,6.3301870000000005,7.479239,7.713014,8.313423
97-2805843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.209342,0.48751300000000003,0.646058,0.9191870000000001,1.124015,1.340557,2.7239169999999997,3.05029,3.35875,3.577316,3.837418,3.9245769999999998,4.051205,4.534799,4.817495,5.062345,5.223913,5.400583999999999,5.965872,6.123275,6.403466000000001,6.193283999999999,5.927618,6.069134,7.218186,7.451961,8.05237
98-2805408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.282171,0.440716,0.713845,0.918673,1.135216,2.524575,2.850948,3.159408,3.3779739999999996,3.6380760000000003,3.725235,3.851863,4.335458,4.6181529999999995,4.863003,5.024571,5.201242,5.76653,5.923933,6.204124,5.993943,5.728276,5.8697919999999995,7.0188440000000005,7.252619,7.853028999999999
99-2804947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.158545,0.434674,0.639502,0.8560450000000001,2.245405,2.571777,2.8802380000000003,3.0988029999999998,3.3589050000000005,3.446064,3.572692,4.056287,4.338982,4.583832,4.745401,4.922072,5.48736,5.644762,5.9249529999999995,5.714772,5.449105,5.590621,6.739673,6.973447999999999,7.573858
100-2805317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.27613000000000004,0.48095699999999997,0.6975,2.0868599999999997,2.413232,2.721693,2.940258,3.20036,3.287519,3.4141480000000004,3.897742,4.180438,4.425288,4.586856,4.763527,5.3288150000000005,5.486217,5.766408,5.556227,5.290561,5.432076,6.581129,6.814903,7.415313
101-2805874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.205828,0.422371,1.8117299999999998,2.138103,2.446564,2.6651290000000003,2.925231,3.0123900000000003,3.139018,3.622613,3.9053080000000002,4.150158,4.311726999999999,4.488398,5.053686,5.211088,5.4912790000000005,5.281098,5.0154309999999995,5.156947,6.305999,6.5397739999999995,7.140184
102-2805024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.21654299999999999,1.608903,1.935275,2.243736,2.4623009999999996,2.722403,2.809562,2.9361900000000003,3.419785,3.7024800000000004,3.9473309999999997,4.108899,4.28557,4.850858000000001,5.00826,5.288451,5.07827,4.812604,4.954119,6.103172,6.336946,6.937355999999999
