순번_정류장ID,1-2806123,2-2806461,3-2806462,4-2806463,5-2806464,6-2806465,7-2806466,8-2806467,9-2806468,10-2806469,11-2806470,12-2806471,13-2806472,14-2806473,15-2806474,16-2806475
1-2806123,0,1.447395,1.756486,2.105368,2.294871,2.8441810000000003,4.274357,4.58244,4.804639,4.607571,4.252274,5.14115,5.463432,5.476016,4.8280449999999995,5.215516
2-2806461,,0,0.309091,0.6579729999999999,0.847477,1.396787,2.826963,3.135045,3.357245,3.160177,2.80488,3.6937559999999996,4.016038,4.028622,3.38065,3.768122
3-2806462,,,0,0.348882,0.5383859999999999,1.087696,2.517872,2.8259540000000003,3.0481529999999997,2.851086,2.495789,3.384665,3.706947,3.719531,3.071559,3.459031
4-2806463,,,,0,0.189504,0.7388140000000001,2.16899,2.477072,2.699271,2.502204,2.146906,3.0357830000000003,3.3580650000000003,3.370649,2.722677,3.1101490000000003
5-2806464,,,,,0,0.5493100000000001,1.979486,2.287569,2.509768,2.3127,1.9574029999999998,2.846279,3.168561,3.181145,2.5331740000000003,2.920645
6-2806465,,,,,,0,1.430177,1.738259,1.9604580000000003,1.763391,1.408094,2.29697,2.619252,2.8496360000000003,2.619394,3.0068650000000003
7-2806466,,,,,,,0,0.308083,0.5302819999999999,0.691096,0.33579899999999996,1.224675,1.546957,1.777341,2.425313,4.276041
8-2806467,,,,,,,,0,0.22219899999999998,0.440821,0.643882,1.532758,1.8550400000000002,2.085424,2.733396,4.584124
9-2806468,,,,,,,,,0,0.21862199999999998,0.573919,1.7549569999999999,2.077239,2.307623,2.955595,4.806323
10-2806469,,,,,,,,,,0,0.355297,1.5578889999999999,1.8801709999999998,2.1105549999999997,2.758527,4.609255
11-2806470,,,,,,,,,,,0,1.202592,1.524874,1.7552580000000002,2.4032299999999998,4.253958
12-2806471,,,,,,,,,,,,0,0.322283,0.552666,1.2006379999999999,3.051366
13-2806472,,,,,,,,,,,,,0,0.23038499999999998,0.8783559999999999,2.729085
14-2806473,,,,,,,,,,,,,,0,0.647972,2.498701
15-2806474,,,,,,,,,,,,,,,0,1.850729
16-2806475,,,,,,,,,,,,,,,,0
