순번_정류장ID,22-2802677,23-2802692,24-2805075,25-2802721,26-2802123,27-2802116,28-2802112,29-2802094,30-2802052,31-2802027,32-2801886,33-2801875,34-2801966,35-2801970,36-2801876,37-2801877
22-2802677,0,0.41535600000000006,0.7382350000000001,1.185202,1.437567,1.608257,1.776961,2.297978,2.042303,1.940496,2.1992580000000004,2.382663,2.2569630000000003,2.848538,3.0532779999999997,3.237142
23-2802692,,0,0.32287899999999997,0.769846,1.022211,1.192901,1.361605,1.882622,2.426341,2.354852,2.613614,2.7970189999999997,2.671318,3.262893,3.4676339999999994,3.651498
24-2805075,,,0,0.447967,0.700332,0.871022,1.039726,1.560743,2.104462,2.387853,2.646615,2.83002,2.926319,3.428894,3.633635,3.8174989999999998
25-2802721,,,,0,0.252366,0.42305600000000004,0.591759,1.1127770000000001,1.656496,1.939886,2.198648,2.382053,2.814353,2.980928,3.185668,3.369532
26-2802123,,,,,0,0.17069,0.33939400000000003,0.860411,1.4041299999999999,1.6875209999999998,1.9462830000000002,2.1296880000000002,2.561987,2.7285619999999997,2.933303,3.117167
27-2802116,,,,,,0,0.168704,0.689721,1.2334399999999999,1.516831,1.775593,1.958998,2.3912970000000002,2.557872,2.762612,2.9464770000000002
28-2802112,,,,,,,0,0.521018,1.064737,1.348127,1.60689,1.7902939999999998,2.222594,2.389169,2.593909,2.777774
29-2802094,,,,,,,,0,0.544719,0.82811,1.0868719999999998,1.270277,1.7025759999999999,1.8691509999999998,2.073891,2.257756
30-2802052,,,,,,,,,0,0.283391,0.542153,0.725558,1.157857,1.324432,1.529172,1.713037
31-2802027,,,,,,,,,,0,0.258763,0.44216700000000003,0.874467,1.041042,1.245782,1.429647
32-2801886,,,,,,,,,,,0,0.18340499999999998,0.615704,0.78228,0.9870200000000001,1.170884
33-2801875,,,,,,,,,,,,0,0.4323,0.598875,0.803615,0.9874790000000001
34-2801966,,,,,,,,,,,,,0,0.592575,0.797315,0.9811799999999999
35-2801970,,,,,,,,,,,,,,0,0.20474,0.38860500000000003
36-2801876,,,,,,,,,,,,,,,0,0.183865
37-2801877,,,,,,,,,,,,,,,,0
