순번_정류장ID,1-2800889,2-2800909,3-2800912,4-2806928,5-2800917,6-2800920,7-2805373,8-2806791,9-2806797,10-2806795,11-2806793,12-2800498,13-2800497,14-2800493,15-2800344,16-2800481,17-2805944,18-2807434,19-2800416,20-2804855,21-2800343,22-2800303,23-2800302
1-2800889,0,0.811305,1.1010950000000002,1.331544,1.958405,2.453993,3.107555,3.788529,5.07144,5.609438,5.985431,6.646461,6.928369,7.436699000000001,7.736499,7.985459,8.271252,8.812378,10.649453,11.062264,11.485417,11.614252,11.854042999999999
2-2800909,,0,0.28979,0.520239,1.1471,1.6426880000000001,2.29625,2.977224,4.260135,4.798133,5.174126,5.835156,6.117064,6.625394,6.925194,7.174154,7.4599470000000005,8.001073,9.838148,10.250959,10.674112,10.802947,11.042738
3-2800912,,,0,0.230449,0.85731,1.352898,2.0064610000000003,2.687434,3.9703449999999996,4.508343,4.884336,5.5453660000000005,5.8282739999999995,6.335605,6.636405,6.884364,7.170158,7.712283,9.548359,9.96117,10.384322000000001,10.514157,10.753949
4-2806928,,,,0,0.626861,1.122449,1.776011,2.456985,3.739896,4.277894,4.653887,5.3149169999999994,5.596825,6.106155,6.404955,6.653915,6.940709,7.480834,9.317909,9.730721,10.153872999999999,10.282708,10.523499000000001
5-2800917,,,,,0,0.49558800000000003,1.14915,1.830124,3.113035,3.651033,4.027026,4.688056,4.970964,5.478294,5.779094000000001,6.028054,6.313847,6.854972999999999,8.692048,9.10486,9.527012,9.656847,9.896638000000001
6-2800920,,,,,,0,0.653562,1.3345360000000002,2.6174470000000003,3.1554450000000003,3.5314379999999996,4.192468,4.474376,4.983706,5.282506,5.532466,5.81726,6.358385,8.19646,8.608272,9.031424000000001,9.161259,9.40005
7-2805373,,,,,,,0,0.680974,1.9638849999999999,2.5018830000000003,2.877875,3.538906,3.820814,4.330144000000001,4.629944,4.877904,5.164697,5.7058230000000005,7.541898,7.954708999999999,8.377862,8.506697,8.746488000000001
8-2806791,,,,,,,,0,1.2829110000000001,1.820909,2.196902,2.857932,3.1408400000000003,3.649171,3.948971,4.19693,4.483724,5.024849,6.861925,7.273736,7.697888000000001,7.826722999999999,8.066514999999999
9-2806797,,,,,,,,,0,0.537999,0.913991,1.575021,1.8579290000000002,2.36626,2.66606,2.91502,3.200813,3.741939,5.579014,5.991825,6.4149769999999995,6.543813,6.7836039999999995
10-2806795,,,,,,,,,,0,0.37599299999999997,1.037023,1.319931,1.8282619999999998,2.127062,2.3760209999999997,2.662815,3.2029400000000003,5.0400160000000005,5.4538269999999995,5.875979,6.004814,6.2456059999999995
11-2806793,,,,,,,,,,,0,0.66103,0.9439379999999999,1.452269,1.7520689999999999,2.001029,2.286822,2.827948,4.665023000000001,5.077833999999999,5.500986,5.629822,5.869612999999999
12-2800498,,,,,,,,,,,,0,0.282908,0.791239,1.0910389999999999,1.339999,1.625792,2.166918,4.003993,4.416804,4.839956,4.968792,5.208583
13-2800497,,,,,,,,,,,,,0,0.5083310000000001,0.808131,1.0570899999999999,1.342884,1.88401,3.721085,4.133896,4.557048,4.685884,4.925675
14-2800493,,,,,,,,,,,,,,0,0.3038,0.55276,0.8385540000000001,1.379679,3.216754,3.6295660000000005,4.052718,4.181553,4.421345
15-2800344,,,,,,,,,,,,,,,0,0.24896,0.534754,1.075879,2.912954,3.3257660000000002,3.748918,3.877753,4.117545
16-2800481,,,,,,,,,,,,,,,,0,0.285794,0.8269200000000001,2.663995,3.076806,3.4999580000000003,3.628794,3.868585
17-2805944,,,,,,,,,,,,,,,,,0,0.541126,2.378201,2.791012,3.214165,3.343,3.5827910000000003
18-2807434,,,,,,,,,,,,,,,,,,0,1.838075,2.250887,2.674039,2.802874,3.042665
19-2800416,,,,,,,,,,,,,,,,,,,0,0.412812,0.8359639999999999,0.970799,1.21059
20-2804855,,,,,,,,,,,,,,,,,,,,0,0.423153,0.557988,0.797779
21-2800343,,,,,,,,,,,,,,,,,,,,,0,0.13483499999999998,0.374627
22-2800303,,,,,,,,,,,,,,,,,,,,,,0,0.23979099999999998
23-2800302,,,,,,,,,,,,,,,,,,,,,,,0
