순번_정류장ID,53-2803132,54-2803135,55-2803124,56-2805595,57-2803123,58-2803131,59-2803137,60-2805441,61-2802629,62-2802719,63-2802709,64-2802703,65-2802693,66-2802688,67-2802684,68-2802681,69-2802676,70-2802670,71-2802023,72-2801985,73-2801806,74-2801954,75-2801957,76-2801963,77-2801978,78-2801975,79-2801972,80-2801991,81-2802003,82-2802033,83-2802057,84-2802105,85-2802127,86-2802109,87-2802087,88-2804799,89-2802048,90-2801823,91-2802110,92-2801894,93-2801896,94-2801893,95-2806425,96-2801852,97-2806772,98-2806513,99-2807111,100-2806771,101-2806429,102-2805649,103-2805906,104-2806422
53-2803132,0,0.434619,0.771891,1.153598,1.352725,1.659852,1.893225,2.135103,2.535857,2.785763,3.0788849999999996,3.5747449999999996,3.9732480000000003,4.202025,4.438267,4.642656,4.93079,5.417351999999999,5.910099,6.366933,6.59045,7.1119449999999995,7.572093,7.858302,8.400566,8.764611,9.098597999999999,9.554089999999999,9.778546,10.31454,10.427296,10.492044,11.004552,11.102350999999999,11.078221000000001,11.380275,11.694243,12.144598,12.473529,12.665966000000001,12.885594000000001,13.197509,13.084826,12.898352000000001,12.492272999999999,12.433669,12.732026,13.111366,13.487678,14.041338,14.200520000000001,14.540942999999999
54-2803135,,0,0.337273,0.7189800000000001,0.918106,1.225234,1.4576069999999999,1.699484,2.1002389999999997,2.3511439999999997,2.643267,3.140126,3.537629,3.766406,4.003648,4.207038,4.495171,4.9827330000000005,5.474480000000001,5.932314,6.155831,6.677326,7.136474000000001,7.422683,7.965947,8.329991999999999,8.66398,9.118471000000001,9.499927,10.035922,10.175282000000001,10.344467,10.858974,10.955772999999999,10.931643,11.232697,11.414624,11.86698,12.195910000000001,12.388347999999999,12.605975,12.919891,12.937249000000001,12.750775,12.344695,12.286092,12.584449000000001,12.964788,13.340101,13.89376,14.051943,14.394364999999999
55-2803124,,,0,0.381707,0.580833,0.8879610000000001,1.121334,1.363211,1.763966,2.014872,2.306994,2.8038540000000003,3.201357,3.430134,3.666376,3.870765,4.158899,4.646461,5.138207,5.595041999999999,5.819559,6.341053,6.8002009999999995,7.086411,7.629675,7.9937190000000005,8.326707,8.782198,9.164655,9.700649,9.83801,10.117153,10.629660000000001,10.729460000000001,10.70433,11.005383,11.078352,11.532707,11.861637,12.055075,12.270702,12.584617999999999,12.710935000000001,12.524461,12.117382000000001,12.058778,12.357135000000001,12.737474,13.112786999999999,13.731446,13.826629,14.168051
56-2805595,,,,0,0.199126,0.506254,0.739627,0.981504,1.382259,1.633165,1.925287,2.4221470000000003,2.81965,3.048427,3.284669,3.489058,3.777192,4.264754,4.7565,5.213335,5.4378519999999995,5.959346,6.418495,6.7047039999999996,7.247967999999999,7.612011999999999,7.945,8.400491,8.781948,9.317942,9.455303,9.734446,10.247954,10.345753,10.320623,10.623676,10.697645,11.151,11.478931,11.672367999999999,11.888995,12.201911,12.328228,12.140754,11.735675,11.676071,11.974428,12.353767,12.73108,13.346739000000001,13.443922,13.785344
57-2803123,,,,,0,0.307128,0.539501,0.781378,1.182133,1.433039,1.7251610000000002,2.222021,2.619524,2.8483009999999997,3.084543,3.288932,3.577065,4.064628,4.556374,5.0132080000000006,5.237726,5.75922,6.218368,6.5045779999999995,7.047842,7.411886,7.744874,8.200365,8.583822,9.116816,9.254177,9.53432,10.048827000000001,10.145626,10.120497,10.42255,10.498519,10.949874000000001,11.277804,11.471242,11.686869,12.000785,12.128102,11.940628,11.535548,11.474945,11.775302,12.154641,12.530954,13.147613,13.243796,13.586217999999999
58-2803131,,,,,,0,0.232373,0.47425,0.8750049999999999,1.125911,1.418033,1.914893,2.312396,2.541173,2.777415,2.981804,3.2699380000000002,3.7575,4.249246,4.706081,4.930598000000001,5.4520919999999995,5.91124,6.19745,6.740714,7.104758,7.437746000000001,7.893236999999999,8.274694,8.810688,8.948049000000001,9.229192,9.740699000000001,9.838499,9.813369,10.115422,10.189391,10.644746000000001,10.973676,11.164114,11.380741,11.694657000000001,11.819974,11.6335,11.227421000000001,11.168817,11.468174000000001,11.846513,12.222826,12.840485000000001,12.933667999999999,13.275089999999999
59-2803137,,,,,,,0,0.243877,0.644632,0.895538,1.18766,1.68452,2.082023,2.3108,2.547042,2.751431,3.039565,3.5271269999999997,4.018873,4.475708,4.700225,5.221719,5.680867,5.967077,6.510341,6.874385,7.207373,7.662864,8.043321,8.580314999999999,8.718676,8.997819,9.510327,9.608125999999999,9.583996,9.886049,9.959017999999999,10.412372999999999,10.741303,10.933741,11.150367999999999,11.464284,11.590601,11.403127,10.998047999999999,10.938444,11.237801,11.61714,11.993453,12.610111999999999,12.704295,13.045717
60-2805441,,,,,,,,0,0.40075500000000003,0.6516609999999999,0.949783,1.4466430000000001,1.8441459999999998,2.072923,2.309165,2.513554,2.801688,3.28925,3.780997,4.237831,4.462348,4.983843,5.442991,5.7292,6.272464,6.636508999999999,6.9694970000000005,7.424988000000001,7.807444,8.343439,8.480799000000001,8.760942,9.27445,9.372249,9.347119000000001,9.649173,9.722141,10.175496,10.504427,10.696864999999999,10.913492,11.227407000000001,11.353724,11.16725,10.761171000000001,10.701566999999999,11.000925,11.380264,11.756575999999999,12.373236,12.467417999999999,12.810841
61-2802629,,,,,,,,,0,0.250906,0.549028,1.045888,1.443391,1.672168,1.90841,2.1127990000000003,2.400933,2.8884950000000003,3.380242,3.837076,4.061593,4.583088,5.042236,5.328444999999999,5.871709,6.235754,6.568741999999999,7.024233000000001,7.404689,7.9416839999999995,8.079044,8.359187,8.872695,8.969494000000001,8.944364,9.246417999999998,9.320386,9.773741000000001,10.102672,10.295110000000001,10.511737,10.825652,10.951969,10.765495,10.359416,10.298812,10.59817,10.977509,11.354821000000001,11.972481,12.064663000000001,12.409086
62-2802719,,,,,,,,,,0,0.298122,0.794982,1.192485,1.421262,1.657504,1.861893,2.150027,2.6375889999999997,3.1293349999999998,3.5861699999999996,3.810687,4.332180999999999,4.79133,5.077539,5.6208029999999995,5.984847,6.317835,6.773325999999999,7.1557830000000004,7.689777,7.827138000000001,8.108281,8.621789,8.719588,8.694458000000001,8.996512,9.06948,9.522835,9.851766,10.044203,10.26083,10.573746,10.701063000000001,10.514588999999999,10.107510000000001,10.048906,10.348263000000001,10.727603,11.103914999999999,11.720575,11.812757000000001,12.158178999999999
