순번_정류장ID,1-2806577,2-2800268,3-2804133,4-2804131,5-2806884,6-2806882,7-2807172,8-2807174,9-2807175,10-2807176,11-2807177,12-2807178,13-2807179,14-2807173,15-2806881,16-2806883,17-2804130,18-2804132,19-2800267,20-2804032,1-2800269,2-2805488,3-2800272,4-2803582,5-2803603,6-2803602,7-2800274,8-2803847,9-2806301,10-2803848,11-2806298,12-2803849,13-2803851,14-2803852,15-2803854,16-2806296,17-2803605,18-2803855,19-2803856,20-2806231,21-2803857,22-2806293,23-2804201,24-2806291,25-2807291,26-2804203,27-2804206,28-2804332,29-2804208,30-2804210,31-2804212,32-2804579,33-2803703,34-2806885,35-2807292,36-2806887,37-2806889,38-2806892,39-2807121,40-2806979,41-2807407,42-2806980,43-2806981,44-2806982,45-2806983,46-2806984,47-2806985,48-2807003,49-2807294,50-2807295,51-2807411,52-2807002,53-2806989,54-2807000,55-2806992,56-2806993,57-2806995,58-2806997,59-2806998,60-2806999,61-2807296,62-2807412,63-2807297,64-2807298,65-2807125,66-2807126,67-2807128,68-2807130,69-2807132,70-2806962
1-2806577,0,0.8194049999999999,1.477717,1.6955689999999999,2.221158,2.716746,3.161325,3.536168,3.8546080000000003,4.160548,3.93382,3.7743599999999997,3.5203559999999996,3.146664,2.698256,2.206124,1.647986,1.442294,0.897957,0.26250999999999997,0.176222,0.548972,1.479344,1.8615669999999997,2.095564,2.269546,2.529489,2.883197,3.6648709999999998,3.986533,4.268517,4.781384,5.368945,5.850314,6.009328,6.343016,6.830893,7.15366,7.599874000000001,7.947761999999999,8.299666,8.829875,9.083287,9.465912,9.656399,9.889892,10.086687,10.628421000000001,11.181995,11.675481,12.010759,12.541955999999999,12.718057,12.919407000000001,13.494888000000001,13.851323,14.435296,14.944560999999998,16.730089000000003,17.33296,18.044725,18.671374,18.987394000000002,19.332054,19.578203,20.10277,20.353603,21.040084,21.913887,22.32583,24.475466,24.93586,25.895955999999998,25.78585,26.29784,26.672166999999998,28.097956,26.681541999999997,26.283826,25.776038,24.873428,24.41379,22.317359,21.904673000000003,21.515007,22.591374,23.144079,23.839554,24.597713,25.050189000000003
2-2800268,,0,0.659312,0.877165,1.4027530000000001,1.8983419999999998,2.342921,2.717763,3.036203,3.3421440000000002,3.115416,2.955955,2.701952,2.3282599999999998,1.879852,1.38772,0.8295819999999999,0.62389,0.167728,0.557895,0.7500939999999999,1.111656,2.0420279999999997,2.424251,2.658248,2.83223,3.092173,3.445881,4.227555000000001,4.549217,4.831201,5.344068,5.931629,6.412998,6.572012,6.905701,7.3935770000000005,7.716344,8.162558,8.510446,8.86235,9.392559,9.645971000000001,10.028596,10.219083,10.450576,10.649371,11.193105000000001,11.744679,12.238164999999999,12.575443,13.07264,13.198741,13.401091000000001,13.977572,14.334007000000001,14.917979999999998,15.427245000000001,17.212773000000002,17.815644,18.527409,19.154058,19.470078,19.813738,20.057887,20.585455,20.834287,21.522768,22.393570999999998,22.806514,24.95715,25.415544,26.379640000000002,26.265534000000002,26.777524,27.155851000000002,28.580640000000002,27.164226,26.766509999999997,26.254721999999997,25.353112,24.893473999999998,22.798043,22.387357,21.995691,23.073058,23.626764,24.322238,25.078397,25.530873
3-2804133,,,0,0.21785300000000002,0.743441,1.2390299999999999,1.683609,2.058451,2.376892,2.682832,2.4561040000000003,2.296643,2.04264,1.6689479999999999,1.22054,0.7284079999999999,0.443614,0.23792199999999997,0.57976,1.216207,1.407406,1.5236889999999998,2.4540599999999997,2.836284,3.07028,3.244262,3.504206,3.857913,4.639587000000001,4.961249,5.243233,5.756101,6.343661,6.82503,6.984044,7.3177330000000005,7.805609,8.128376,8.574589999999999,8.922479,9.274383,9.806592,10.060003,10.440628,10.633116000000001,10.864608,11.063404,11.603138000000001,12.154711,12.648197,12.985475,13.230672,13.355773999999998,13.557123,14.133604,14.490039000000001,15.074013,15.585277,17.371805,17.973676,18.686441000000002,19.312091,19.62911,19.96977,20.216919,20.742487,20.992319000000002,21.6788,22.549603,22.962546,25.113182000000002,25.571576,26.537671999999997,26.422566999999997,26.933556,27.310883,28.735671999999997,27.319258,26.922542,26.410753999999997,25.509144,25.050507,22.957075,22.54439,22.152723,23.22909,23.783796,24.481270000000002,25.235429,25.688905
4-2804131,,,,0,0.5255890000000001,1.021177,1.465756,1.840599,2.159039,2.464979,2.238251,2.078791,1.824787,1.451095,1.002687,0.510555,0.661467,0.455775,0.797613,1.434059,1.6262590000000001,1.741542,2.671913,3.054136,3.288133,3.4621150000000003,3.722059,4.075766000000001,4.85744,5.179101999999999,5.461086,5.973954,6.561514,7.042883,7.201897,7.535586,8.023462,8.346229,8.792442999999999,9.140332,9.492236,10.022445,10.275856,10.658481,10.848969,11.080461,11.279257000000001,11.822991,12.374564,12.86605,13.205328,13.447525,13.573626999999998,13.774976,14.351457,14.707892000000001,15.291866,15.801129999999999,17.586658,18.190529,18.901294,19.527944,19.843963000000002,20.189623,20.431772,20.96034,21.209172,21.897653,22.767456,23.180398999999998,25.331035,25.789429000000002,26.753525,26.640420000000002,27.152409000000002,27.528736,28.954525,27.538110999999997,27.141395000000003,26.629607,25.726997,25.26836,23.171928,22.762242999999998,22.370576,23.446943,24.000649,24.696123,25.452282,25.905758
5-2806884,,,,,0,0.49558900000000006,0.941167,1.3160100000000001,1.63445,1.94039,1.7136630000000002,1.554202,1.3001989999999999,0.926507,0.549675,0.10719300000000001,0.575172,0.780864,1.323201,1.959648,2.151847,2.26713,3.197502,3.579725,3.8137209999999997,3.9877029999999998,4.247647,4.601354,5.3830279999999995,5.70469,5.986674,6.499542,7.087102000000001,7.568471000000001,7.727485000000001,8.061174000000001,8.54905,8.871818,9.318031,9.66592,10.017824000000001,10.550033,10.801444,11.186069,11.376557,11.60805,11.806845,12.348578999999999,12.898152,13.393638000000001,13.728916,13.973113,14.100214999999999,14.300564000000001,14.879045000000001,15.233479999999998,15.817454000000001,16.326718,18.113246,18.716117,19.426882,20.053532,20.369551,20.713210999999998,20.95836,21.484928,21.73476,22.422241,23.295044,23.705987,25.858623,26.317018,27.278114000000002,27.165008,27.677996999999998,28.055324,29.479113,28.063699,27.667983000000003,27.154196000000002,26.252584999999996,25.792948000000003,23.697517,23.288831,22.897164,23.974532,24.526237,25.222711,25.97887,26.431346
6-2806882,,,,,,0,0.445579,0.820421,1.138862,1.4448020000000001,1.2180739999999999,1.058613,0.80461,0.430918,0.054086,0.546218,1.07076,1.2764520000000001,1.8187900000000001,2.455236,2.646436,2.7627189999999997,3.69309,4.0753129999999995,4.30931,4.483292,4.7432360000000005,5.0969430000000004,5.878617,6.200279,6.482263,6.995131,7.5826910000000005,8.064060000000001,8.223074,8.556763,9.044639,9.367405999999999,9.81362,10.161508999999999,10.513413,11.043622000000001,11.299033,11.679658,11.870146,12.101638000000001,12.302434,12.844168,13.395741000000001,13.887227,14.226505,14.468701999999999,14.595804000000001,14.798153,15.373634,15.732069000000001,16.315042000000002,16.825307000000002,18.608835,19.211706,19.924471,20.551121,20.86714,21.2108,21.454949,21.982517,22.231348999999998,22.919829999999997,23.790633,24.203576,26.354212,26.812606,27.775702000000003,27.663596999999996,28.175586,28.552913,29.977702,28.559288000000002,28.164571999999996,27.651784000000003,26.749174,26.290537,24.195104999999998,23.78442,23.392753,24.47012,25.023826,25.7193,26.475459000000004,26.927934999999998
7-2807172,,,,,,,0,0.374843,0.693283,0.999223,1.295944,1.4554049999999998,1.213592,0.8399,0.46306899999999995,0.955201,1.515339,1.7210310000000002,2.263368,2.8998150000000003,3.091014,3.207297,4.137669,4.519892,4.753889,4.927871,5.187814,5.5415209999999995,6.323196,6.644857000000001,6.9268410000000005,7.439709,8.02727,8.508639,8.667652,9.001341,9.489218,9.811985,10.258198,10.606086999999999,10.957991,11.4882,11.743611,12.124236999999999,12.314724,12.546217,12.745012,13.286745999999999,13.840319000000001,14.331806,14.669082999999999,14.913281,15.039382000000002,15.241732,15.819213000000001,16.174648,16.758620999999998,17.267885,19.054414,19.657284,20.37005,20.994699,21.312718,21.653379,21.898528,22.425095000000002,22.673927,23.362409,24.234212,24.649155,26.797790000000003,27.256185,28.220281,28.107175,28.619164,28.996492,30.422280999999998,29.004866999999997,28.608151,28.096363,27.194753000000002,26.736115,24.637684,24.226998000000002,23.835331,24.913698999999998,25.466404,26.164879,26.921038,27.372513
8-2807174,,,,,,,,0,0.31844,0.6243810000000001,0.9211010000000001,1.080562,1.334565,1.2147430000000001,0.8379110000000001,1.330044,1.890182,2.0958740000000002,2.638211,3.274658,3.465857,3.5821400000000003,4.512512,4.894735,5.128731,5.302713,5.562657,5.916364,6.698038,7.0197,7.301684,7.814552000000001,8.402111999999999,8.883482,9.042494999999999,9.376184,9.86406,10.186828,10.633041,10.98093,11.332834,11.863043,12.116454,12.499079,12.689567,12.92106,13.119855,13.661589000000001,14.213161999999999,14.706648000000001,15.043926,15.288123,15.415225,15.617574,16.194055,16.54949,17.132464000000002,17.643728,19.429256,20.032127,20.742893,21.368542,21.686560999999998,22.030221,22.274371,22.800938000000002,23.05077,23.739251,24.608054,25.022997,27.173633000000002,27.631028000000004,28.594124,28.482018,28.995007,29.371334,30.795122999999997,29.378709999999998,28.983992999999998,28.471206,27.569595,27.109958000000002,25.014526999999998,24.603841,24.210174,25.289542,25.842247,26.537722,27.293879999999998,27.747356
9-2807175,,,,,,,,,0,0.30594099999999996,0.602661,0.7621220000000001,1.016126,1.389817,1.156352,1.648484,2.208622,2.414314,2.956651,3.5930980000000003,3.784297,3.90058,4.830952,5.213175,5.447172,5.621154,5.8810970000000005,6.2348040000000005,7.0164789999999995,7.338139999999999,7.620124000000001,8.132992,8.720553,9.201922,9.360935000000001,9.694624000000001,10.1825,10.505268,10.951481,11.29937,11.651274,12.181483,12.436894,12.817519,13.008007000000001,13.2415,13.438295000000002,13.980029,14.531602,15.027088000000001,15.362366,15.606564,15.733665,15.935014,16.511495999999998,16.868931,17.452904,17.962168,19.747697,20.350567,21.062333,21.688982,22.005001,22.346660999999997,22.592810999999998,23.120378,23.36921,24.057691000000002,24.926494,25.340438,27.492072999999998,27.950468,28.912564,28.799458,29.311446999999998,29.688774,31.115564000000003,29.69715,29.301434000000004,28.789646,27.886034999999996,27.426398,25.332967,24.922280999999998,24.530614,25.606982000000002,26.161687,26.856162,27.61232,28.065796000000002
10-2807176,,,,,,,,,,0,0.296721,0.456182,0.7101850000000001,1.083877,1.462292,1.9544240000000002,2.5145619999999997,2.720254,3.262591,3.8990379999999996,4.090237,4.206519999999999,5.136892,5.519115,5.753112000000001,5.927094,6.187037,6.540744,7.322419,7.644081,7.926064,8.438932000000001,9.026492999999999,9.507862,9.666876,10.000564,10.488441,10.811208,11.257422,11.605310000000001,11.957214,12.487423,12.740835,13.123460000000001,13.313947,13.54544,13.744235,14.287969,14.837542000000001,15.331029000000001,15.668307,15.912504,16.038605,16.240955,16.818436,17.174871,17.758844,18.267109,20.052637,20.656507,21.368273000000002,21.994922,22.309942000000003,22.654602,22.897751,23.426318,23.675151,24.362632,25.232435,25.647378,27.798014000000002,28.255408000000003,29.218504,29.105397999999997,29.618388,29.996715000000002,31.421504,30.003090000000004,29.608373999999998,29.094586,28.192976,27.734338,25.637907000000002,25.227221,24.835555,25.912922000000002,26.466627000000003,27.163102000000002,27.919261,28.370737
