순번_정류장ID,1-2806962,2-2807131,3-2807129,4-2807127,5-2806963,6-2807124,7-2806986,8-2807294,9-2807295,10-2807411,11-2807002,12-2806989,13-2806991,14-2807000,15-2806992,16-2806993,17-2806995,18-2806997,19-2806998,20-2806999,21-2807001,22-2807002,23-2806989,24-2807296,25-2807412,26-2807297,27-2807298,28-2806964,29-2806987,30-2806965,31-2806966,32-2806967,33-2806968,34-2806969,35-2806970,36-2807408,37-2806971,38-2807122,39-2807113,40-2807410,41-2807114,42-2806973,43-2807115,44-2806952,45-2807116,46-2807117,47-2807120,48-2806975,49-2806976,50-2806977,51-2807136,52-2806955,53-2806956,54-2806945,55-2807161,56-2807162,57-2807163,58-2806957,59-2807146,60-2807164,61-2807159,62-2807160,63-2807158,64-2807165,65-2807133,66-2806958,67-2806959,68-2806978,69-2806960,70-2806961,1-2807226,2-2806618,3-2807497,4-2807227,5-2807553,6-2807546,7-2807542,8-2807517,9-2807514,10-2807503,11-2807224
1-2806962,0,0.45123599999999997,1.253011,1.963389,2.5788889999999998,3.5530199999999996,3.645432,4.137164,4.550107,6.700742999999999,7.159136999999999,8.122233,7.569088000000001,8.009127000000001,8.521117,8.898444,10.323233,8.906819,8.510102999999999,7.998315,7.563231,7.159136999999999,8.122233,7.096705,6.637067,4.5416360000000005,4.13095,3.6527230000000004,4.022463,4.707064,4.929106,5.485956,5.731662,6.078505000000001,6.395055999999999,7.000072,7.748214,8.3364,8.463607000000001,8.945762,9.444844,9.900391,8.88665,8.647286,8.233908,7.9878279999999995,7.115328999999999,6.56137,5.214983,4.911630000000001,4.603607,4.3624410000000005,3.9829,3.9884120000000003,4.2623370000000005,4.750363,5.2430449999999995,5.717961,6.956233,5.705144000000001,5.217199,4.726739,4.245223999999999,3.9750330000000003,3.6721220000000003,3.3205410000000004,2.963392,2.665444,2.3291,1.0300280000000002,84.690702,83.94079599999999,81.222002,76.463664,79.792233,81.929109,82.326614,84.45035,87.05623299999999,88.738874,89.890891
2-2807131,,0,0.801776,1.512154,2.127654,3.101784,3.194197,3.685928,4.098871,6.249507,6.707902000000001,7.671997999999999,7.117852,7.557892,8.070881,8.447208,9.871997,8.456583,8.059867,7.54708,7.112995,6.707902000000001,7.671997999999999,6.645469,6.1858319999999996,4.0904,3.6797150000000003,3.2014869999999997,3.571228,4.255829,4.477869999999999,5.034721,5.280426,5.627269999999999,5.943821,6.548836,7.296978,7.885164,8.012372000000001,8.494527,8.993609,9.638156,9.108419999999999,8.868056,8.455678,8.208598,7.3361,6.782139999999999,5.435753,5.1324,4.824376999999999,4.583211,4.20367,4.209182,4.483107,4.971133999999999,5.463815,5.938732,7.177003,5.925914,5.437969,4.947508999999999,4.465994,4.195804,3.892892,3.541311,3.1841619999999997,2.886215,2.549871,1.250799,84.240466,83.492561,80.772766,76.01442800000001,79.340997,81.482874,81.873378,83.999115,86.605997,88.285638,89.440656
3-2807129,,,0,0.710378,1.3258780000000001,2.300009,2.392421,2.884153,3.297096,5.447732,5.906126,6.870222,6.316077,6.757116000000001,7.2681059999999995,7.646433,9.070222,7.654808,7.257092,6.746303999999999,6.311219,5.906126,6.870222,5.843694,5.384056,3.288625,2.877939,2.399712,2.7694520000000002,3.454053,3.6760940000000004,4.232945,4.478651,4.825494,5.1420449999999995,5.747061,6.495202,7.083389,7.210596000000001,7.6927509999999995,8.191833,8.83638,9.466805,9.668830999999999,9.256453,9.010374,8.136875,7.582915,6.236528,5.9331760000000004,5.6261529999999995,5.384987000000001,5.005445,5.0109580000000005,5.284883,5.772908999999999,6.265591000000001,6.740507000000001,7.978778999999999,6.727689,6.239745,5.7492849999999995,5.26777,4.997579,4.694668,4.343087000000001,3.9859379999999995,3.68799,3.351646,2.0525740000000003,83.44069,82.68778499999999,79.96999100000001,75.21065300000001,78.537222,80.677098,81.068602,83.194339,85.807222,87.484863,88.63688
4-2807127,,,,0,0.6155,1.589631,1.682043,2.173775,2.586718,4.737354,5.195748,6.158844,5.6056989999999995,6.045738,6.557728,6.935055,8.359844,6.94343,6.546714,6.0349260000000005,5.5998410000000005,5.195748,6.158844,5.133316000000001,4.673678,2.578247,2.167561,1.6893340000000001,2.0590740000000003,2.743675,2.965716,3.522567,3.768273,4.115116,4.431667,5.036683,5.784825,6.373011,6.500218,6.982373,7.481455,8.126002,8.756427,8.996791,9.409169,9.656249,8.847253,8.293292999999998,6.946905999999999,6.644553999999999,6.336531,6.095365,5.715823,5.721336,5.995261,6.483287000000001,6.975967999999999,7.450885,8.689157000000002,7.438067,6.950123,6.459663,5.978148,5.707957,5.405046,5.053465,4.696316,4.398368,4.062024,2.762952,82.728313,81.977407,79.258613,74.502275,77.82884399999999,79.96772,80.358225,82.483961,85.09984399999999,86.775485,87.93150200000001
5-2806963,,,,,0,0.974131,1.066543,1.558275,1.9712180000000001,4.121854,4.580248,5.544344000000001,4.991199,5.431238,5.9432279999999995,6.320555000000001,7.745344,6.328930000000001,5.932214,5.420426,4.985342,4.580248,5.544344000000001,4.517816000000001,4.058178,1.962747,1.5520610000000001,1.073834,1.443574,2.128175,2.350217,2.9070669999999996,3.152773,3.4996160000000005,3.8161669999999996,4.421183,5.169325,5.757511,5.884718,6.366873,6.8659550000000005,7.510502000000001,8.140927,8.381291000000001,8.793669,9.040749,9.462753,8.908793,7.562406,7.259053999999999,6.952031,6.710864999999999,6.331323,6.336836,6.610761,7.098787,7.591467999999999,8.066385,9.304657,8.053567,7.5656229999999995,7.075162,6.593647,6.323457,6.020544999999999,5.668965,5.311815,5.013868,4.677524,3.378452,82.11081300000001,81.363907,78.647113,73.885775,77.21234399999999,79.35322,79.745725,81.87046099999999,84.479344,86.15998499999999,87.312002
6-2807124,,,,,,0,0.092413,0.584144,0.9970870000000001,3.147723,3.606118,4.569214,4.016068,4.456108,4.968097,5.3454239999999995,6.770213,5.3537989999999995,4.957083,4.445296,4.010211,3.606118,4.569214,3.543685,3.084048,0.988617,0.5779310000000001,0.099703,0.469444,1.154045,1.3760860000000001,1.932937,2.178642,2.525486,2.842037,3.447052,4.195194,4.78338,4.910588,5.392743,5.891825,6.536372,7.166796000000001,7.407161,7.819539,8.066618,8.935117,9.489077,8.536537,8.233184,7.9261610000000005,7.684995,7.305453999999999,7.3109660000000005,7.584891000000001,8.072917,8.565599,9.040515,10.278787,9.027698,8.539753,8.049292999999999,7.567778,7.297588,6.994675999999999,6.643095,6.285946,5.987998999999999,5.651655,4.352582,81.137682,80.386777,77.668982,72.912645,76.237214,78.38009,78.769594,80.895331,83.503213,85.18685500000001,86.338872
7-2806986,,,,,,,0,0.49173100000000003,0.904675,3.05531,3.5137050000000003,4.476801,3.923656,4.363695,4.875684,5.253012,6.677801,5.261387,4.8646709999999995,4.352883,3.9177980000000003,3.5137050000000003,4.476801,3.4512730000000005,2.991635,0.8962040000000001,0.5019170000000001,0.023688999999999998,0.39343,1.078031,1.300072,1.8569229999999999,2.1026279999999997,2.449472,2.766023,3.3710379999999995,4.11918,4.707366,4.834574,5.3167290000000005,5.815811,6.460358,7.090782000000001,7.3311470000000005,7.743525,7.990603999999999,8.859103,9.413063000000001,8.629949,8.326597,8.018574000000001,7.777408,7.3978660000000005,7.403378999999999,7.6773039999999995,8.16533,8.658011,9.132928,10.3712,9.12011,8.632166,8.141706,7.660191,7.39,7.0870880000000005,6.735508,6.378359,6.080411,5.744067,4.444995,81.06466800000001,80.312763,77.593968,72.83663100000001,76.1612,78.301076,78.69358000000001,80.82131700000001,83.4312,85.11084100000001,86.260858
8-2807294,,,,,,,,0,0.412943,2.5635790000000003,3.021973,3.985069,3.432924,3.872964,4.384953,4.7622800000000005,6.186069,4.7706550000000005,4.372939,3.861151,3.4270669999999996,3.021973,3.985069,2.959541,2.499904,0.404472,0.032352,0.515421,0.8851610000000001,1.569762,1.7918040000000002,2.3486540000000002,2.59436,2.941203,3.2577540000000003,3.86277,4.610912,5.199098,5.3263050000000005,5.808461,6.307542,6.952089,7.582514,7.822878,8.235256,8.482336,9.350833999999999,9.904794,9.120681,8.817328,8.510305,8.269139,7.8895979999999994,7.895110000000001,8.169035000000001,8.657061,9.149742999999999,9.624659,10.862931,9.611842,9.123897,8.633436999999999,8.151922,7.881732,7.5788199999999994,7.227239,6.870089999999999,6.572143,6.235799,4.936726,81.5524,80.800494,78.0847,73.327362,76.65593100000001,78.792807,79.188312,81.310048,83.921931,85.59857199999999,86.750589
9-2807295,,,,,,,,,0,2.150636,2.61003,3.5731260000000002,3.019981,3.460021,3.97201,4.349337,5.774126,4.357712,3.9609959999999997,3.449208,3.0141240000000002,2.61003,3.5731260000000002,2.546598,2.086961,0.065277,0.41915699999999995,0.928364,1.2981040000000001,1.982705,2.2047470000000002,2.761597,3.007303,3.354147,3.6706980000000002,4.275713,5.023855,5.6120410000000005,5.739248,6.221404,6.720485000000001,7.365032000000001,7.995457000000001,8.235821000000001,8.648199,8.895278999999999,9.763778,10.317737,9.534624,9.231271000000001,8.923248,8.682082000000001,8.302541,8.308053,8.581978,9.070005,9.562686,10.037602,11.275874,10.024785000000001,9.53684,9.046380000000001,8.564865,8.294675,7.991763000000001,7.640182000000001,7.2830330000000005,6.985086,6.6487419999999995,5.3496690000000005,81.96634300000001,81.215437,78.49764300000001,73.740305,77.065874,79.19975,79.600255,81.724991,84.333874,86.013515,87.165532
10-2807411,,,,,,,,,,0,0.458395,1.421491,0.868345,1.3083850000000001,1.8203740000000002,2.197701,3.62249,2.206076,1.8093599999999999,1.2975729999999999,0.8624879999999999,0.458395,1.421491,0.43801899999999994,0.8976559999999999,2.162107,2.5697919999999996,3.0789999999999997,3.4487400000000004,4.133341000000001,4.355383,4.9122330000000005,5.157939,5.504782,5.821333,6.426349,7.174491000000001,7.762677,7.8898839999999995,8.372039,8.871121,9.515668,10.146092999999999,10.386457,10.798835,11.045914999999999,11.914413,12.468373,11.685260000000001,11.381907,11.073884,10.832718,10.453177,10.458689,10.732614,11.22064,11.713322,12.188238,13.42651,12.175421,11.687476,11.197016,10.715501,10.445311,10.142399000000001,9.790818,9.433669,9.135721,8.799377,7.500305,84.113979,83.366073,80.646279,75.891941,79.22151,81.355386,81.748891,83.877627,86.48351,88.163151,89.316168
11-2807002,,,,,,,,,,,0,0.965096,0.493759,0.9337989999999999,1.4457879999999999,1.823115,3.247904,1.83149,1.434774,0.9229870000000001,0.48790200000000006,0.0,0.965096,0.063432,0.52307,2.620501,3.028187,3.5373940000000004,3.907135,4.591736,4.813777,5.370628,5.616333,5.963177,6.2797279999999995,6.884742999999999,7.632885000000001,8.221071,8.348279,8.830434,9.329516,9.974063000000001,10.604486999999999,10.844851,11.25723,11.504309,12.372808000000001,12.926768,12.143654,11.840302000000001,11.532278999999999,11.291112,10.911571,10.917084,11.191008,11.679035,12.171716,12.646633,13.884904999999998,12.633815,12.145871000000001,11.65541,11.173895,10.903705,10.600793,10.249212,9.892063,9.594116,9.257772000000001,7.9587,84.575373,83.825468,81.106673,76.34833499999999,79.67390400000001,81.815781,82.210285,84.333022,86.94190400000001,88.624546,89.772563
12-2806989,,,,,,,,,,,,0,1.456855,1.896895,2.408884,2.786211,4.211,2.7945860000000002,2.39787,1.886082,1.450998,0.965096,0.0,1.026528,1.4861659999999999,3.583597,3.991283,4.50049,4.8702309999999995,5.554832,5.776873,6.333724,6.579428999999999,6.926272999999999,7.242824000000001,7.847839,8.595981,9.184167,9.311375,9.79353,10.292612,10.937159,11.567583,11.807947,12.220326,12.467405,13.335904000000001,13.889864000000001,13.10675,12.803398,12.495374,12.254208,11.874667,11.880180000000001,12.154104,12.642131,13.134812,13.609729000000002,14.848001000000002,13.596910999999999,13.108966,12.618506,12.136991,11.866800999999999,11.563889,11.212308,10.855159,10.557212,10.220868,8.921796,85.53846899999999,84.78856400000001,82.06876899999999,77.31043100000001,80.639,82.779877,83.175381,85.29711800000001,87.90299999999999,89.583641,90.743659
13-2806991,,,,,,,,,,,,,0,0.440039,0.9520290000000001,1.329356,2.7541450000000003,1.337731,0.9410149999999999,0.429227,0.41914700000000005,0.493759,1.456855,0.473383,0.9330209999999999,3.030452,3.438138,3.947345,4.317085,5.001686,5.2237279999999995,5.780578,6.0262839999999995,6.3731279999999995,6.689678999999999,7.294694,8.042836,8.631022,8.758229,9.240385,9.739466,10.384013000000001,11.014438,11.254802,11.66718,11.91426,12.782759,13.336718,12.553605000000001,12.250252,11.942229,11.701063000000001,11.321522,11.327034,11.600959,12.088986,12.581667,13.056583,14.294854999999998,13.043766,12.555821,12.065361,11.583846000000001,11.313656,11.010744,10.659163000000001,10.302014,10.004067,9.667722999999999,8.36865,84.987324,84.237418,81.518624,76.761286,80.087855,82.223731,82.620236,84.745972,87.355855,89.036496,90.187513
