순번_정류장ID,39-2803875,40-2800253,41-2803871,42-2804720,43-2806360,44-2803868,45-2803866,46-2803863,47-2803864,48-2800255,49-2803615,50-2803614,51-2803859,52-2806227,53-2803858,54-2803611,55-2803609,56-2806232,57-2803608,58-2803607,59-2803606,60-2806297,61-2803616,62-2803853,63-2803850,64-2803617,65-2806299,66-2803618,67-2806300,68-2803600,69-2800273,70-2803601,71-2804331,72-2803581,73-2800271,74-2805489,75-2807150,76-2804581,77-2804582,78-2807389,79-2804032
39-2803875,0,0.31206,0.499163,0.843794,2.260415,2.6414,3.0052830000000004,3.4443099999999998,3.641569,3.7679050000000003,4.313174,5.2821,5.64881,5.87539,6.560805,6.909117,8.092761999999999,8.467849000000001,8.796491,9.3017,9.594091,10.145539999999999,10.465939,10.662494,11.060856,11.656326,12.181011,12.44742,12.762621000000001,13.450879999999998,13.910160999999999,14.120888,14.292596,14.550262,15.036710999999999,15.536575,15.910345000000001,16.238608,16.535564,16.670560000000002,16.480026000000002
40-2800253,,0,0.187103,0.531734,1.9483549999999998,2.32934,2.693223,3.13125,3.3285089999999995,3.454844,4.000113,4.969040000000001,5.33575,5.56233,6.247745,6.596057000000001,7.779702,8.154789,8.483431,8.990639999999999,9.28103,9.83248,10.150878,10.349434,10.745796,11.341266000000001,11.865950999999999,12.13236,12.449561,13.137819,13.597101,13.807828,13.979535999999998,14.239201999999999,14.721651000000001,15.221515,15.595285,15.923548,16.222503,16.3555,16.164966
41-2803871,,,0,0.344631,1.761252,2.1422380000000003,2.5051200000000002,2.9441479999999998,3.141406,3.2677419999999997,3.813011,4.781937999999999,5.148647,5.375228,6.060643,6.4089540000000005,7.592599000000001,7.967687,8.296327999999999,8.803538,9.095928,9.647378,9.965776,10.164330999999999,10.560692999999999,11.156163000000001,11.680848,11.947258,12.264458,12.950717,13.411999,13.622725,13.794433999999999,14.052098999999998,14.536548000000002,15.036413,15.410182999999998,15.738446,16.035401,16.170398000000002,15.979864000000001
42-2804720,,,,0,1.418621,1.798607,2.162489,2.601517,2.798775,2.9251110000000002,3.4703800000000005,4.439307,4.8060160000000005,5.032596,5.718011,6.066323000000001,7.249967999999999,7.625055000000001,7.953697,8.460907,8.753297,9.302747,9.621145,9.8197,10.216061999999999,10.811532000000001,11.336217,11.602627,11.919827,12.606086,13.067368,13.278094,13.449801999999998,13.707467999999999,14.191917000000002,14.691781,15.065551999999999,15.393814,15.69077,15.825767,15.635232
43-2806360,,,,,0,0.379986,0.743868,1.182896,1.380154,1.5064899999999999,2.051759,3.020686,3.3873949999999997,3.613975,4.29939,4.647702,5.831347,6.206434,6.535076,7.042286,7.332675999999999,7.884125999999999,8.202524,8.401079,8.797441000000001,9.392911,9.917596000000001,10.184006,10.501206,11.187465,11.648747,11.859473,12.031181,12.288847,12.773296,13.27316,13.646931,13.975192999999999,14.272148999999999,14.407146,14.216610999999999
44-2803868,,,,,,0,0.37788299999999997,0.81691,1.014169,1.1405040000000002,1.685773,2.6547,3.02141,3.24799,3.9334050000000005,4.2817169999999996,5.465362,5.840449,6.169091000000001,6.6763,6.96669,7.51814,7.838538000000001,8.037094,8.433456,9.028926,9.553611,9.82002,10.137221,10.821479,11.282761,11.495488,11.667196,11.924862,12.409311,12.909175,13.282945000000002,13.611208,13.906163000000001,14.041160000000001,13.852626
45-2803866,,,,,,,0,0.439028,0.636286,0.764622,1.309891,2.2788180000000002,2.645527,2.8721080000000003,3.557522,3.9058339999999996,5.089479,5.4645660000000005,5.793208,6.298418,6.590808,7.142258,7.460656,7.661211,8.057573,8.653042999999998,9.177728,9.442138,9.759338,10.447597,10.908878999999999,11.119605,11.291313,11.548979,12.031428,12.533292,12.907063,13.233325,13.530281,13.667278,13.474743
46-2803863,,,,,,,,0,0.197259,0.32559499999999997,0.8708629999999999,1.83979,2.2065,2.43308,3.1184950000000002,3.4668069999999997,4.650452,5.025539,5.354181,5.86139,6.1517800000000005,6.7032300000000005,7.021628999999999,7.220184,7.6165460000000005,8.212016,8.736701,9.003110000000001,9.320311,10.006569,10.467851,10.678578,10.850286,11.107952000000001,11.592400999999999,12.092265,12.466035,12.794298,13.091253,13.22625,13.035716
47-2803864,,,,,,,,,0,0.12833599999999998,0.673605,1.6425319999999999,2.009241,2.235821,2.921236,3.269548,4.453193,4.82828,5.156922,5.664132,5.9565220000000005,6.5079720000000005,6.82637,7.024925,7.4212869999999995,8.016757,8.541442,8.807852,9.125052,9.811311,10.272592999999999,10.483319,10.655027,10.912692999999999,11.397142,11.897006,12.270777,12.599039,12.895995,13.030992,12.840457
48-2800255,,,,,,,,,,0,0.54527,1.5141959999999999,1.8809060000000002,2.107486,2.7929009999999996,3.141213,4.324858,4.699945,5.028587,5.5357959999999995,5.828187000000001,6.379636,6.698035000000001,6.89659,7.2929520000000005,7.888422,8.413107,8.679516,8.996717,9.682976,10.144257000000001,10.354984,10.526692,10.784358000000001,11.268807,11.768671000000001,12.142441,12.470704,12.767660000000001,12.902656,12.712122
49-2803615,,,,,,,,,,,0,0.9689270000000001,1.335636,1.562217,2.247632,2.595944,3.779589,4.154676,4.4833169999999996,4.990526999999999,5.282916999999999,5.834366999999999,6.1527650000000005,6.351319999999999,6.747682000000001,7.343153,7.867837,8.134247,8.451447,9.137706,9.596988,9.809714,9.981423,10.239089,10.721537,11.223402,11.597172,11.925435,12.222389999999999,12.357387,12.166853
50-2803614,,,,,,,,,,,,0,0.36671,0.59329,1.278705,1.627017,2.8106619999999998,3.185749,3.5143910000000003,4.0196,4.313991000000001,4.86344,5.183839,5.382394000000001,5.778756,6.374226,6.896911,7.16332,7.480521,8.166780000000001,8.628061,8.840788,9.012496,9.270162,9.754611,10.252475,10.628245,10.954508,11.253464,11.386460000000001,11.197925999999999
51-2803859,,,,,,,,,,,,,0,0.226581,0.9119959999999999,1.260307,2.443952,2.819039,3.147681,3.6548910000000006,3.9452809999999996,4.498730999999999,4.817129,5.015683999999999,5.412046,6.005516,6.532201000000001,6.798611,7.115811,7.80007,8.263352000000001,8.474078,8.645786,8.903452,9.387901,9.887766000000001,10.259536,10.589799000000001,10.886754,11.021751,10.831217
52-2806227,,,,,,,,,,,,,,0,0.685415,1.033727,2.217372,2.592459,2.9211009999999997,3.42631,3.7187,4.27015,4.5885489999999995,4.787104,5.183466,5.778936,6.303621,6.57003,6.887231,7.57349,8.034771000000001,8.245498,8.417206,8.674872,9.159321,9.659185,10.032955000000001,10.361218,10.658174,10.79317,10.602636
53-2803858,,,,,,,,,,,,,,,0,0.348312,1.531957,1.907044,2.235686,2.740895,3.033286,3.584735,3.9051339999999994,4.101689,4.500051,5.095521,5.620206,5.886615,6.203816000000001,6.890075,7.351356,7.562083,7.731791,7.9914570000000005,8.473906,8.97377,9.347539999999999,9.675803,9.972759,10.109755,9.919221
54-2803611,,,,,,,,,,,,,,,,0,1.1866450000000002,1.561732,1.8903740000000002,2.397584,2.6899740000000003,3.2414240000000003,3.559822,3.758377,4.154739,4.750209,5.274894000000001,5.541303,5.858504,6.544763,7.006044999999999,7.2167710000000005,7.388478999999999,7.646145,8.130594,8.630458,9.004228,9.332491000000001,9.629447,9.764443,9.573909
55-2803609,,,,,,,,,,,,,,,,,0,0.375087,0.703729,1.208939,1.5013290000000001,2.052779,2.371177,2.569732,2.966094,3.5615639999999997,4.086249,4.352658,4.669859,5.356118,5.8174,6.028126,6.199834,6.4575,6.941949,7.441813000000001,7.815583,8.143846,8.440802,8.575797999999999,8.385264
56-2806232,,,,,,,,,,,,,,,,,,0,0.328642,0.833852,1.126242,1.6776919999999997,1.9960900000000001,2.194645,2.591007,3.186477,3.7111620000000003,3.9775709999999997,4.294772,4.981031,5.442312,5.653039,5.824747,6.082413,6.5668619999999995,7.066725999999999,7.440496,7.768758999999999,8.065714999999999,8.200711,8.010177
57-2803608,,,,,,,,,,,,,,,,,,,0,0.50521,0.7976,1.34905,1.667448,1.8660029999999999,2.262365,2.8578360000000003,3.3825199999999995,3.6489300000000005,3.96613,4.652389,5.113671,5.324397,5.496106,5.7537720000000006,6.23822,6.738085000000001,7.111855,7.440117999999999,7.737073,7.87207,7.681536
58-2803607,,,,,,,,,,,,,,,,,,,,0,0.29239,0.8448399999999999,1.163238,1.361793,1.758155,2.3536259999999998,2.87831,3.14472,3.4619199999999997,4.148179,4.6094610000000005,4.820188,4.991896,5.249562,5.73401,6.233875,6.607645,6.935908,7.232863,7.36786,7.177326
59-2803606,,,,,,,,,,,,,,,,,,,,,0,0.55245,0.870848,1.069403,1.465765,2.061236,2.58592,2.85233,3.16953,3.855789,4.317071,4.5277970000000005,4.6995059999999995,4.957172,5.4416199999999995,5.941485,6.3152550000000005,6.643517999999999,6.940473,7.07547,6.884936
60-2806297,,,,,,,,,,,,,,,,,,,,,,0,0.319399,0.517954,0.914316,1.509786,2.034471,2.30088,2.618081,3.3043400000000003,3.765621,3.976348,4.1480559999999995,4.405722,4.890171,5.390035,5.7638050000000005,6.092068,6.389024,6.52402,6.333486
