순번_정류장ID,1-2805876,2-2805875,3-2802007,4-2801989,5-2801958,6-2801947,7-2801939,8-2801934,9-2805271,10-2805273,11-2805275,12-2805278,13-2801967,14-2801973,15-2801974,16-2801964,17-2801953,18-2801952,19-2801788
1-2805876,0,0.141014,0.322977,0.640763,0.814025,1.0116319999999999,1.213072,1.431288,1.577459,1.692824,1.57334,1.291057,1.349741,1.6540720000000002,2.079617,2.431186,2.9664669999999997,3.3250379999999997,3.955629
2-2805875,,0,0.181963,0.499749,0.6730109999999999,0.870618,1.072058,1.290274,1.436445,1.551811,1.4323270000000001,1.150043,1.208727,1.513058,1.9386029999999999,2.290172,2.825454,3.184024,3.8146150000000003
3-2802007,,,0,0.317787,0.555048,0.752656,0.9540959999999999,1.172311,1.318483,1.369848,1.250364,0.9680799999999999,1.026765,1.3310959999999998,1.756641,2.1082099999999997,2.643491,3.002061,3.632653
4-2801989,,,,0,0.237262,0.43486899999999995,0.636309,0.854525,1.0006959999999998,1.263557,1.195959,0.913676,0.97236,1.276691,1.702236,2.053805,2.589086,2.947657,3.5782480000000003
5-2801958,,,,,0,0.197608,0.399048,0.617263,0.7634340000000001,1.0262950000000002,1.148779,1.150937,1.209622,1.513953,1.939497,2.291067,2.826348,3.184918,3.8155089999999996
6-2801947,,,,,,0,0.20144,0.41965600000000003,0.6609470000000001,0.923808,1.046292,1.194545,1.2532290000000001,1.55756,1.983105,2.334674,2.869956,3.228526,3.859117
7-2801939,,,,,,,0,0.218216,0.539387,0.802248,0.924732,1.204015,1.3726690000000001,1.6769999999999998,2.102545,2.454114,2.9893959999999997,3.3479660000000004,3.978557
8-2801934,,,,,,,,0,0.322171,0.585032,0.707516,0.9868,1.155454,1.459785,1.885329,2.236899,2.77218,3.13075,3.7613410000000003
9-2805271,,,,,,,,,0,0.264861,0.387345,0.666629,0.835282,1.139613,1.565158,1.916727,2.452009,2.810579,3.4411699999999996
10-2805273,,,,,,,,,,0,0.122484,0.40176799999999996,0.570421,0.8747530000000001,1.300297,1.6518669999999998,2.187148,2.545718,3.176309
11-2805275,,,,,,,,,,,0,0.28228400000000003,0.450937,0.755269,1.180813,1.532383,2.0676639999999997,2.426234,3.056825
12-2805278,,,,,,,,,,,,0,0.168654,0.47298500000000004,0.8985299999999999,1.250099,1.78538,2.143951,2.774542
13-2801967,,,,,,,,,,,,,0,0.309332,0.734876,1.086446,1.6217270000000001,1.9802970000000002,2.610888
14-2801973,,,,,,,,,,,,,,0,0.426545,0.7781140000000001,1.313396,1.671966,2.302557
15-2801974,,,,,,,,,,,,,,,0,0.35157,0.8868510000000001,1.245421,1.8760119999999998
16-2801964,,,,,,,,,,,,,,,,0,0.5352819999999999,0.8938520000000001,1.524443
17-2801953,,,,,,,,,,,,,,,,,0,0.36157,0.9921620000000001
18-2801952,,,,,,,,,,,,,,,,,,0,0.7054779999999999
19-2801788,,,,,,,,,,,,,,,,,,,0
