순번_정류장ID,1-2807578,2-2803343,3-2803340,4-2803339,5-2803331,6-2803325,7-2803320,8-2803314,9-2803311,10-2803316,11-2803319,12-2803328,13-2803305,14-2803293,15-2803281,16-2803275,17-2803257,18-2803253,19-2803249,20-2803226,21-2803132,22-2803135,23-2803124,24-2803100,25-2803087,26-2802667,27-2802631,28-2802668,29-2802655,30-2803050,31-2800814,32-2800787,33-2800773,34-2800760,35-2800741,36-2800725,37-2800691,38-2800684,39-2800676,40-2800667,41-2800657,42-2800340,43-2800624,44-2800619,45-2806214,46-2806242,47-2806244,48-2801157,49-2801155,50-2801151,51-2801145,52-2801140,53-2801302,54-2801321,55-2801307,56-2801299,57-2801315,58-2801356,59-2801414,60-2801492,61-2801524,62-2801602,63-2801647,64-2806781,65-2801573,66-2801558,67-2801532,68-2801571,69-2801641,70-2801649,71-2801651,72-2804430,73-2804914
1-2807578,0,0.323481,0.902694,1.154447,1.071759,1.3448149999999999,1.4870290000000002,1.676037,1.8018889999999999,2.160079,3.105195,3.4266360000000002,3.632942,4.119764,4.681113,5.0794120000000005,5.556758,5.997362,6.292979,6.772321000000001,6.702105,6.554527,6.8918,7.418413,7.7032869999999996,8.090849,8.500152,8.775013000000001,9.425059,9.608332,9.926679,10.418781,10.652525,10.921809,11.216175,11.311855,11.642099,11.874162,12.182377,12.521313000000001,12.697313000000001,12.984469,13.530956,13.812353,14.230077,14.821223999999999,15.134062,15.930579999999999,16.196238,16.481531,16.687926,17.00995,16.709689,16.589243,16.985977,17.28785,17.307654,16.871329,16.3343,16.009547,16.121281,15.653870999999999,15.425541,15.973056,16.223928,16.43787,16.826279,17.058158,16.517023000000002,16.755788,16.847466,17.140632999999998,17.68435
2-2803343,,0,0.579214,0.830966,1.369266,1.305706,1.163549,1.352557,1.830396,2.1895860000000003,3.134702,3.456143,3.6624489999999996,4.149271,4.71062,5.108919,5.586265,6.0268690000000005,6.3224860000000005,6.8018279999999995,6.731611999999999,6.584034,6.9213070000000005,7.44792,7.732794,8.120356,8.529658999999999,8.80452,9.454566,9.637839,9.957186,10.447288,10.683032,10.952316,11.245681,11.341361000000001,11.672606,11.901669,12.212883999999999,12.54982,12.72482,13.012976,13.558463,13.83886,14.259584,14.850731,15.164569,15.960087,16.226744,16.513038,16.717433,17.039457000000002,16.740195999999997,16.618748999999998,17.015484,17.318357000000002,17.336160999999997,16.900835999999998,16.363807,16.040054,16.148788,15.682378,15.453048,15.999563,16.253435,16.468377,16.856786,17.085665,16.546529999999997,16.783294,16.877973,17.17014,17.713857
3-2803340,,,0,0.251753,0.7900520000000001,0.726492,0.584335,0.773343,1.251182,1.610372,2.555489,2.876929,3.0832349999999997,3.570057,4.131407,4.529705,5.007051000000001,5.447655,5.743272,6.222615,6.152398000000001,6.00482,6.342093,6.8687059999999995,7.153580000000001,7.541142,7.950446,8.225306,8.875352000000001,9.059625,9.377972,9.870075,10.103817999999999,10.373103,10.666468,10.762148,11.095392,11.323455000000001,11.63367,11.971606,12.146606,12.436762,12.982249000000001,13.262645999999998,13.679371,14.274517000000001,14.584356,15.381873,15.647530999999999,15.933825,16.137219,16.459244,16.159982,16.039536,16.43627,16.738143,16.757947,16.320622,15.784593,15.459841,15.570573999999999,15.105164000000002,14.873834,15.420349,15.677221,15.889163,16.275573,16.509451000000002,15.967317000000001,16.204081,16.295759,16.587927,17.131643
4-2803339,,,,0,0.5423,0.813645,0.671489,0.860497,1.27243,1.6306200000000002,2.575736,2.897177,3.103483,3.5903050000000003,4.151654,4.5499529999999995,5.027299,5.467903,5.76352,6.242862000000001,6.172644999999999,6.025068,6.3623400000000006,6.888953999999999,7.173828,7.561389,7.970692999999999,8.245553999999998,8.8956,9.079873,9.397219999999999,9.888322,10.124066000000001,10.39435,10.686715,10.783395,11.11464,11.343703,11.653917999999999,11.991854,12.167854,12.455010000000001,13.001497,13.280894,13.701618,14.292764000000002,14.605603,15.402120000000002,15.663778,15.952072,16.157466,16.479491,16.181229000000002,16.059783,16.456518,16.75839,16.778195,16.340870000000002,15.804839999999999,15.480088,15.590822,15.123410999999999,14.895082,15.442597,15.695469000000001,15.909410999999999,16.29682,16.530698,15.984564,16.224328,16.317007,16.608173999999998,17.151889999999998
5-2803331,,,,,0,0.273056,0.563284,0.7522909999999999,0.7301310000000001,1.0883200000000002,2.0334369999999997,2.354877,2.561183,3.048005,3.6093550000000003,4.0076529999999995,4.484999,4.925603,5.22122,5.700563,5.630346,5.482769,5.820041000000001,6.346655,6.631529,7.019089999999999,7.428394,7.703253999999999,8.3533,8.536572999999999,8.85492,9.347023,9.580766,9.852051,10.145416,10.239096,10.57034,10.799404,11.109618,11.451555,11.625554,11.911710000000001,12.458198,12.738594,13.159319,13.751465,14.064304000000002,14.861820999999999,15.126479000000002,15.409773000000001,15.616167,15.937192000000001,15.638929999999998,15.518483999999999,15.914218,16.216091,16.235896,15.798570000000002,15.262541,14.938789000000002,15.051522,14.582112,14.351783,14.901297,15.153169,15.367110999999998,15.752521,15.988399,15.443265,15.683029000000001,15.775707,16.067875,16.610591
6-2803325,,,,,,0,0.29022800000000004,0.47923599999999994,0.638691,0.9968809999999999,1.9419970000000002,2.2634380000000003,2.469744,2.956566,3.5179150000000003,3.916214,4.39356,4.834162999999999,5.1297809999999995,5.609123,5.538906,5.391329,5.728601,6.255215,6.540089,6.92765,7.3369539999999995,7.611814999999999,8.26186,8.445134,8.763481,9.255583,9.489327000000001,9.758611,10.052976,10.149656,10.478900999999999,10.709964,11.020178999999999,11.356114999999999,11.532115,11.820269999999999,12.364758,12.648155000000001,13.067879,13.658025,13.971864000000002,14.768381,15.034039000000002,15.319332999999999,15.522727,15.845752,15.546489999999999,15.426044000000001,15.822779,16.124651,16.143456,15.70713,15.171101,14.847349,14.956083,14.491672,14.263342999999999,14.806857999999998,15.060729,15.272672,15.662081,15.894959,15.352825,15.590589000000001,15.682267999999999,15.976435,16.520151000000002
7-2803320,,,,,,,0,0.18900799999999998,0.6668470000000001,1.026037,1.971153,2.292594,2.4989,2.985722,3.547071,3.9453699999999996,4.422716,4.86332,5.158937,5.638279,5.5680629999999995,5.420485,5.757758,6.284371,6.569245,6.956807,7.366110000000001,7.640971,8.291017,8.47429,8.792637,9.284739,9.519483000000001,9.788767,10.082132000000001,10.178811999999999,10.507057000000001,10.737119999999999,11.049335000000001,11.387271,11.560271,11.851427000000001,12.395914,12.677311,13.097035,13.688182000000001,14.00102,14.796538,15.059195,15.347489000000001,15.552883999999999,15.874908,15.575647,15.4562,15.851935000000001,16.154808,16.172612,15.737287,15.200257999999998,14.876504999999998,14.986239000000001,14.518829,14.290498999999999,14.837014000000002,15.091885999999999,15.303828,15.691237,15.924116,15.379980999999999,15.622745000000002,15.714424,16.005591,16.549308
8-2803314,,,,,,,,0,0.47784,0.8370290000000001,1.782146,2.103586,2.3098919999999996,2.796714,3.358064,3.756362,4.233708,4.6743120000000005,4.9699290000000005,5.449272000000001,5.379055,5.231478,5.56875,6.095364,6.380237999999999,6.767799,7.177103,7.451963,8.102008999999999,8.285282,8.603629,9.095732,9.331475,9.59976,9.893125,9.988805000000001,10.320049000000001,10.550113,10.860327,11.199264,11.374263000000001,11.663419000000001,12.204907,12.489303999999999,12.906028,13.497174,13.810013,14.608529999999998,14.874188,15.159482,15.362876000000002,15.686901,15.387639000000002,15.266193,15.662927,15.9658,15.984604999999998,15.548279,15.01225,14.688498000000001,14.795231,14.331821,14.102492000000002,14.650006,14.900878,15.111820000000002,15.503229999999999,15.733107999999998,15.190973999999999,15.430738,15.522416,15.816583999999999,16.3583
9-2803311,,,,,,,,,0,0.35919,1.3043069999999999,1.6257469999999998,1.832053,2.318875,2.880225,3.2785230000000003,3.755869,4.196473,4.49209,4.971432,4.901216000000001,4.753638,5.090911,5.6175239999999995,5.902398000000001,6.28996,6.699263,6.974124000000001,7.6241699999999994,7.808443,8.12579,8.617892,8.852636,9.12092,9.415286,9.510966,9.843210000000001,10.073273,10.383488,10.719424,10.895424,11.18558,11.729067,12.010464,12.428189,13.021335,13.334173999999999,14.128691,14.393348999999999,14.680643,14.887037,15.208060999999999,14.9088,14.789354000000001,15.186088,15.486960999999999,15.506765,15.07044,14.534410999999999,14.208658999999999,14.319392,13.850982,13.621652,14.170167000000001,14.424039000000002,14.636981,15.02339,15.257269,14.715135,14.953899,15.044576999999999,15.338745000000001,15.880460999999999
10-2803316,,,,,,,,,,0,0.945117,1.266557,1.4728629999999998,1.959685,2.521035,2.919333,3.3966790000000002,3.837283,4.1329,4.612243,4.542026,4.394448000000001,4.731721,5.258334,5.543208,5.93077,6.3400739999999995,6.614934,7.26498,7.448253,7.7666,8.258703,8.493446,8.762731,9.055096,9.151776,9.48302,9.713083000000001,10.023297999999999,10.361234,10.535233999999999,10.82439,11.369877,11.650274000000001,12.070999,12.661145,12.973984,13.770501000000001,14.036159,14.322453,14.525847,14.847872,14.549610000000001,14.430164000000001,14.825898,15.127771,15.146575,14.71025,14.174221,13.850469,13.962202,13.494792000000002,13.266461999999999,13.811976999999999,14.067848999999999,14.278791,14.665201000000001,14.898079000000001,14.355945000000002,14.593709,14.688386999999999,14.978554999999998,15.521270999999999
11-2803319,,,,,,,,,,,0,0.321441,0.5277470000000001,1.014569,1.575919,1.9742169999999999,2.451563,2.8921669999999997,3.187784,3.667126,3.59691,3.449332,3.786605,4.313218,4.598091999999999,4.985654,5.394958,5.669818,6.319864,6.504137,6.822483999999999,7.312587,7.5473300000000005,7.816615,8.10998,8.20866,8.539904,8.766967,9.077182,9.416117999999999,9.591118,9.880274,10.423761,10.706158,11.125883,11.717029,12.028868,12.826385,13.089042999999998,13.376337,13.581731,13.903754999999999,13.605494,13.484048000000001,13.881782000000001,14.183654999999998,14.202459,13.766134,13.230104999999998,12.905353,13.014086,12.548675999999999,12.320346,12.866861,13.121732999999999,13.332675,13.722085,13.953963,13.411829000000001,13.649593,13.743271,14.035439000000002,14.579154999999998
12-2803328,,,,,,,,,,,,0,0.445565,0.9323870000000001,1.493737,1.892035,2.369381,2.8099849999999997,3.105602,3.584944,3.514728,3.36715,3.7044230000000002,4.2310360000000005,4.51591,4.903472,5.312775,5.587636,6.237682,6.4219550000000005,6.740302000000001,7.230403999999999,7.466148,7.735432,8.028798,8.124478,8.455722,8.685785000000001,8.996,9.332936,9.508936,9.797092,10.342578999999999,10.623975999999999,11.043700999999999,11.634847,11.946686,12.744203,13.005861,13.293154999999999,13.500549,13.822573,13.522312,13.402866,13.7996,14.101473,14.120277,13.683952,13.147923,12.824171,12.932903999999999,12.463494,12.236164,12.781678999999999,13.039551,13.252493,13.637901999999999,13.869781,13.326647,13.566410999999999,13.659089000000002,13.953257,14.496973
