순번_정류장ID,7-2803140,8-2806580,9-2805549,10-2805547
7-2803140,0,1.093617,2.059354,6.382942
8-2806580,,0,1.1547379999999998,5.478325
9-2805549,,,0,4.324587
10-2805547,,,,0
