순번_정류장ID,14-2802694,15-2802689,16-2802708,17-2802731,18-2802755,19-2802776,20-2802813,21-2802853,22-2802878,23-2802904,24-2802924
14-2802694,0,0.10639900000000001,0.535522,0.8994719999999999,1.159015,1.567485,2.035428,2.278282,2.535663,2.920846,3.1805950000000003
15-2802689,,0,0.6419199999999999,1.00587,1.265413,1.6738830000000002,2.141827,2.38368,2.641061,3.027245,3.285993
16-2802708,,,0,0.36495,0.6244930000000001,1.0329629999999999,1.4999069999999999,1.7437599999999998,2.000141,2.387325,2.645073
17-2802731,,,,0,0.25954299999999997,0.668013,1.1359569999999999,1.37881,1.636191,2.021375,2.281123
18-2802755,,,,,0,0.41047,0.8784129999999999,1.121267,1.3786479999999999,1.763832,2.02258
19-2802776,,,,,,0,0.46794399999999997,0.7107979999999999,0.9681790000000001,1.3533620000000002,1.61211
20-2802813,,,,,,,0,0.242854,0.500235,0.8864190000000001,1.145167
21-2802853,,,,,,,,0,0.262381,0.647565,0.9063129999999999
22-2802878,,,,,,,,,0,0.385184,0.643932
23-2802904,,,,,,,,,,0,0.25874899999999995
24-2802924,,,,,,,,,,,0
