순번_정류장ID,1-2801867,2-2801915,3-2801923,4-2801926,5-2801922,6-2801930,7-2801937,8-2801951,9-2801962,10-2801979,11-2801967,12-2801973,13-2801974,14-2801964,15-2801953,16-2801977,17-2805598,18-2802051,19-2802098,20-2802129,21-2802152,22-2802161,23-2802171,24-2802816,25-2802618
1-2801867,0,0.098577,0.870469,0.995166,1.3635469999999998,1.489637,1.732773,2.00489,2.23197,2.552016,2.615185,2.919516,3.345061,3.6966300000000003,4.231911,4.712517,4.356345,4.37866,4.8315660000000005,5.204998000000001,5.540325,5.941564,6.254906,6.471324,6.281724
2-2801915,,0,0.771891,0.896589,1.2649700000000001,1.39106,1.634196,1.9063130000000001,2.133393,2.453439,2.516608,2.820939,3.246483,3.5980529999999997,4.133334,4.613939,4.257768,4.280083,4.732989,5.106421,5.638902,6.0401419999999995,6.353483,6.569901,6.380301
3-2801923,,,0,0.124698,0.493079,0.619169,0.8623049999999999,1.134422,1.361502,1.681548,1.744716,2.049048,2.474592,2.826161,3.361443,3.842048,3.485876,3.5081910000000005,3.9610980000000002,4.333529,4.9868879999999995,5.388127,5.700469,5.949887,5.760287
4-2801926,,,,0,0.368381,0.494471,0.737607,1.009724,1.236804,1.55685,1.620019,1.92435,2.349894,2.701464,3.236745,3.71735,3.361179,3.3834940000000002,3.8364,4.209830999999999,4.86219,5.263429,5.575771,5.825189,5.6355889999999995
5-2801922,,,,,0,0.12609,0.371226,0.6433439999999999,0.870423,1.190469,1.253638,1.5579690000000002,1.983514,2.335083,2.870364,3.35097,2.994798,3.017113,3.470019,3.8434510000000004,4.49481,4.896049,5.20939,5.458808,5.269208
6-2801930,,,,,,0,0.24513600000000002,0.517253,0.744333,1.0643790000000002,1.127548,1.4318790000000001,1.857423,2.208993,2.7442740000000003,3.2248799999999997,2.8687080000000003,2.891023,3.343929,3.716361,4.3687190000000005,4.769959,5.0833,5.332718,5.143118
7-2801937,,,,,,,0,0.272117,0.499197,0.819243,0.952926,1.257258,1.6828020000000001,2.0343720000000003,2.5696529999999997,3.0502580000000004,2.6940869999999997,2.716401,3.169308,3.5417389999999997,4.194098,4.595337000000001,4.908679,5.158097,4.968497
8-2801951,,,,,,,,0,0.22708000000000003,0.548126,0.798294,1.102626,1.52817,1.8797400000000002,2.415021,2.895626,2.539455,2.56177,3.0146759999999997,3.387107,4.039466,4.441705000000001,4.754047,5.003465,4.813865
9-2801962,,,,,,,,,0,0.321046,0.5712149999999999,0.8755459999999999,1.301091,1.6526599999999998,2.187941,2.6685470000000002,2.312375,2.33469,2.7875959999999997,3.161028,3.813386,4.214626,4.527966999999999,4.776384999999999,4.586785
10-2801979,,,,,,,,,,0,0.25016900000000003,0.5545,0.980045,1.3316139999999999,1.8668959999999999,2.347501,1.9913290000000001,2.0136439999999998,2.466551,2.839982,3.492341,3.8935800000000005,4.205922,4.455339,4.26574
11-2801967,,,,,,,,,,,0,0.309332,0.734876,1.086446,1.6217270000000001,2.102332,1.746161,1.768475,2.221382,2.5948130000000003,3.246172,3.648411,3.960753,4.210171,4.020571
12-2801973,,,,,,,,,,,,0,0.426545,0.7781140000000001,1.313396,1.7940009999999997,1.437829,1.460144,1.9130509999999998,2.285482,2.938841,3.3390800000000005,3.653422,3.901839,3.71224
13-2801974,,,,,,,,,,,,,0,0.35157,0.8868510000000001,1.367456,1.362374,1.3846889999999998,1.837595,2.210027,2.8623849999999997,3.263625,3.5769660000000005,3.8263839999999996,3.6367839999999996
14-2801964,,,,,,,,,,,,,,0,0.5352819999999999,1.015887,1.0847149999999999,1.10703,1.5599370000000001,1.932368,2.585727,2.986966,3.2993080000000004,3.551725,3.385126
15-2801953,,,,,,,,,,,,,,,0,0.48360600000000004,0.861776,1.1077489999999999,1.560655,1.933087,2.585445,2.986685,3.3000260000000003,3.5524440000000004,3.384844
16-2801977,,,,,,,,,,,,,,,,0,0.37817,0.6241439999999999,1.07705,1.449481,2.10184,2.503079,2.816421,3.068839,2.901239
17-2805598,,,,,,,,,,,,,,,,,0,0.245973,0.6988800000000001,1.0713110000000001,1.72367,2.124909,2.4382509999999997,2.690668,2.523069
18-2802051,,,,,,,,,,,,,,,,,,0,0.45390699999999995,0.8273379999999999,1.479697,1.8809360000000002,2.1942779999999997,2.446695,2.279096
19-2802098,,,,,,,,,,,,,,,,,,,0,0.37443200000000004,1.0267899999999999,1.42803,1.741371,1.993789,1.8261889999999998
20-2802129,,,,,,,,,,,,,,,,,,,,0,0.653359,1.054598,1.36794,1.620358,1.452758
21-2802152,,,,,,,,,,,,,,,,,,,,,0,0.401239,0.714581,0.9669989999999999,1.05792
22-2802161,,,,,,,,,,,,,,,,,,,,,,0,0.313342,0.687081,0.8776809999999999
23-2802171,,,,,,,,,,,,,,,,,,,,,,,0,0.37374,0.564339
24-2802816,,,,,,,,,,,,,,,,,,,,,,,,0,0.1906
25-2802618,,,,,,,,,,,,,,,,,,,,,,,,,0
